group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,BasedPermutation,8,,,1013974.0,ns,22561
permutation__cmp__simple_application,BasedPermutation,8,,,2008748.0,ns,45122
permutation__cmp__simple_application,BasedPermutation,8,,,2993819.0,ns,67683
permutation__cmp__simple_application,BasedPermutation,8,,,3867484.0,ns,90244
permutation__cmp__simple_application,BasedPermutation,8,,,4801452.0,ns,112805
permutation__cmp__simple_application,BasedPermutation,8,,,5397896.0,ns,135366
permutation__cmp__simple_application,BasedPermutation,8,,,6518278.0,ns,157927
permutation__cmp__simple_application,BasedPermutation,8,,,8129496.0,ns,180488
permutation__cmp__simple_application,BasedPermutation,8,,,8281707.0,ns,203049
permutation__cmp__simple_application,BasedPermutation,8,,,9734913.0,ns,225610
permutation__cmp__simple_application,BasedPermutation,8,,,10525372.0,ns,248171
permutation__cmp__simple_application,BasedPermutation,8,,,11761863.0,ns,270732
permutation__cmp__simple_application,BasedPermutation,8,,,12508217.0,ns,293293
permutation__cmp__simple_application,BasedPermutation,8,,,14081933.0,ns,315854
permutation__cmp__simple_application,BasedPermutation,8,,,14797085.0,ns,338415
permutation__cmp__simple_application,BasedPermutation,8,,,15926168.0,ns,360976
permutation__cmp__simple_application,BasedPermutation,8,,,16355599.0,ns,383537
permutation__cmp__simple_application,BasedPermutation,8,,,17110755.0,ns,406098
permutation__cmp__simple_application,BasedPermutation,8,,,18994893.0,ns,428659
permutation__cmp__simple_application,BasedPermutation,8,,,19437825.0,ns,451220
permutation__cmp__simple_application,BasedPermutation,8,,,20858630.0,ns,473781
permutation__cmp__simple_application,BasedPermutation,8,,,21669589.0,ns,496342
permutation__cmp__simple_application,BasedPermutation,8,,,22543953.0,ns,518903
permutation__cmp__simple_application,BasedPermutation,8,,,23894852.0,ns,541464
permutation__cmp__simple_application,BasedPermutation,8,,,24939329.0,ns,564025
permutation__cmp__simple_application,BasedPermutation,8,,,25722686.0,ns,586586
permutation__cmp__simple_application,BasedPermutation,8,,,26645654.0,ns,609147
permutation__cmp__simple_application,BasedPermutation,8,,,28003953.0,ns,631708
permutation__cmp__simple_application,BasedPermutation,8,,,28854616.0,ns,654269
permutation__cmp__simple_application,BasedPermutation,8,,,29923394.0,ns,676830
permutation__cmp__simple_application,BasedPermutation,8,,,30813959.0,ns,699391
permutation__cmp__simple_application,BasedPermutation,8,,,32070852.0,ns,721952
permutation__cmp__simple_application,BasedPermutation,8,,,33109128.0,ns,744513
permutation__cmp__simple_application,BasedPermutation,8,,,33859583.0,ns,767074
permutation__cmp__simple_application,BasedPermutation,8,,,35482201.0,ns,789635
permutation__cmp__simple_application,BasedPermutation,8,,,35954136.0,ns,812196
permutation__cmp__simple_application,BasedPermutation,8,,,37551453.0,ns,834757
permutation__cmp__simple_application,BasedPermutation,8,,,38177499.0,ns,857318
permutation__cmp__simple_application,BasedPermutation,8,,,39214776.0,ns,879879
permutation__cmp__simple_application,BasedPermutation,8,,,40768889.0,ns,902440
permutation__cmp__simple_application,BasedPermutation,8,,,40732287.0,ns,925001
permutation__cmp__simple_application,BasedPermutation,8,,,42604224.0,ns,947562
permutation__cmp__simple_application,BasedPermutation,8,,,42822540.0,ns,970123
permutation__cmp__simple_application,BasedPermutation,8,,,43723506.0,ns,992684
permutation__cmp__simple_application,BasedPermutation,8,,,44866290.0,ns,1015245
permutation__cmp__simple_application,BasedPermutation,8,,,45952170.0,ns,1037806
permutation__cmp__simple_application,BasedPermutation,8,,,46353899.0,ns,1060367
permutation__cmp__simple_application,BasedPermutation,8,,,47773803.0,ns,1082928
permutation__cmp__simple_application,BasedPermutation,8,,,48960290.0,ns,1105489
permutation__cmp__simple_application,BasedPermutation,8,,,50838428.0,ns,1128050
permutation__cmp__simple_application,BasedPermutation,8,,,50672516.0,ns,1150611
permutation__cmp__simple_application,BasedPermutation,8,,,52765569.0,ns,1173172
permutation__cmp__simple_application,BasedPermutation,8,,,52092620.0,ns,1195733
permutation__cmp__simple_application,BasedPermutation,8,,,53560028.0,ns,1218294
permutation__cmp__simple_application,BasedPermutation,8,,,56308028.0,ns,1240855
permutation__cmp__simple_application,BasedPermutation,8,,,55856795.0,ns,1263416
permutation__cmp__simple_application,BasedPermutation,8,,,56555547.0,ns,1285977
permutation__cmp__simple_application,BasedPermutation,8,,,58096460.0,ns,1308538
permutation__cmp__simple_application,BasedPermutation,8,,,58241670.0,ns,1331099
permutation__cmp__simple_application,BasedPermutation,8,,,60552341.0,ns,1353660
permutation__cmp__simple_application,BasedPermutation,8,,,60639946.0,ns,1376221
permutation__cmp__simple_application,BasedPermutation,8,,,62438879.0,ns,1398782
permutation__cmp__simple_application,BasedPermutation,8,,,63811579.0,ns,1421343
permutation__cmp__simple_application,BasedPermutation,8,,,64929861.0,ns,1443904
permutation__cmp__simple_application,BasedPermutation,8,,,65945136.0,ns,1466465
permutation__cmp__simple_application,BasedPermutation,8,,,64983565.0,ns,1489026
permutation__cmp__simple_application,BasedPermutation,8,,,66453273.0,ns,1511587
permutation__cmp__simple_application,BasedPermutation,8,,,67692063.0,ns,1534148
permutation__cmp__simple_application,BasedPermutation,8,,,69135170.0,ns,1556709
permutation__cmp__simple_application,BasedPermutation,8,,,69328484.0,ns,1579270
permutation__cmp__simple_application,BasedPermutation,8,,,70439665.0,ns,1601831
permutation__cmp__simple_application,BasedPermutation,8,,,70754988.0,ns,1624392
permutation__cmp__simple_application,BasedPermutation,8,,,72844742.0,ns,1646953
permutation__cmp__simple_application,BasedPermutation,8,,,72839841.0,ns,1669514
permutation__cmp__simple_application,BasedPermutation,8,,,74679876.0,ns,1692075
