group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,MapPermutation,128,,,996174.0,ns,437
permutation__cmp__simple_application,MapPermutation,128,,,1976147.0,ns,874
permutation__cmp__simple_application,MapPermutation,128,,,2992422.0,ns,1311
permutation__cmp__simple_application,MapPermutation,128,,,3952194.0,ns,1748
permutation__cmp__simple_application,MapPermutation,128,,,4925766.0,ns,2185
permutation__cmp__simple_application,MapPermutation,128,,,5941842.0,ns,2622
permutation__cmp__simple_application,MapPermutation,128,,,7019522.0,ns,3059
permutation__cmp__simple_application,MapPermutation,128,,,8048199.0,ns,3496
permutation__cmp__simple_application,MapPermutation,128,,,8917464.0,ns,3933
permutation__cmp__simple_application,MapPermutation,128,,,10086850.0,ns,4370
permutation__cmp__simple_application,MapPermutation,128,,,11044421.0,ns,4807
permutation__cmp__simple_application,MapPermutation,128,,,12105600.0,ns,5244
permutation__cmp__simple_application,MapPermutation,128,,,12830354.0,ns,5681
permutation__cmp__simple_application,MapPermutation,128,,,13761524.0,ns,6118
permutation__cmp__simple_application,MapPermutation,128,,,14834203.0,ns,6555
permutation__cmp__simple_application,MapPermutation,128,,,15871881.0,ns,6992
permutation__cmp__simple_application,MapPermutation,128,,,17025666.0,ns,7429
permutation__cmp__simple_application,MapPermutation,128,,,18059744.0,ns,7866
permutation__cmp__simple_application,MapPermutation,128,,,18718193.0,ns,8303
permutation__cmp__simple_application,MapPermutation,128,,,20013489.0,ns,8740
permutation__cmp__simple_application,MapPermutation,128,,,21090369.0,ns,9177
permutation__cmp__simple_application,MapPermutation,128,,,22390265.0,ns,9614
permutation__cmp__simple_application,MapPermutation,128,,,22435369.0,ns,10051
permutation__cmp__simple_application,MapPermutation,128,,,22800296.0,ns,10488
permutation__cmp__simple_application,MapPermutation,128,,,24499522.0,ns,10925
permutation__cmp__simple_application,MapPermutation,128,,,26100442.0,ns,11362
permutation__cmp__simple_application,MapPermutation,128,,,26994009.0,ns,11799
permutation__cmp__simple_application,MapPermutation,128,,,28129692.0,ns,12236
permutation__cmp__simple_application,MapPermutation,128,,,28793042.0,ns,12673
permutation__cmp__simple_application,MapPermutation,128,,,29968130.0,ns,13110
permutation__cmp__simple_application,MapPermutation,128,,,30255651.0,ns,13547
permutation__cmp__simple_application,MapPermutation,128,,,31875171.0,ns,13984
permutation__cmp__simple_application,MapPermutation,128,,,32715534.0,ns,14421
permutation__cmp__simple_application,MapPermutation,128,,,33423987.0,ns,14858
permutation__cmp__simple_application,MapPermutation,128,,,34406360.0,ns,15295
permutation__cmp__simple_application,MapPermutation,128,,,35411134.0,ns,15732
permutation__cmp__simple_application,MapPermutation,128,,,36909945.0,ns,16169
permutation__cmp__simple_application,MapPermutation,128,,,37685603.0,ns,16606
permutation__cmp__simple_application,MapPermutation,128,,,38393156.0,ns,17043
permutation__cmp__simple_application,MapPermutation,128,,,39423033.0,ns,17480
permutation__cmp__simple_application,MapPermutation,128,,,40727630.0,ns,17917
permutation__cmp__simple_application,MapPermutation,128,,,42616071.0,ns,18354
permutation__cmp__simple_application,MapPermutation,128,,,43156511.0,ns,18791
permutation__cmp__simple_application,MapPermutation,128,,,43553340.0,ns,19228
permutation__cmp__simple_application,MapPermutation,128,,,44371701.0,ns,19665
permutation__cmp__simple_application,MapPermutation,128,,,46231339.0,ns,20102
permutation__cmp__simple_application,MapPermutation,128,,,47420228.0,ns,20539
permutation__cmp__simple_application,MapPermutation,128,,,47644145.0,ns,20976
permutation__cmp__simple_application,MapPermutation,128,,,49525485.0,ns,21413
permutation__cmp__simple_application,MapPermutation,128,,,50519858.0,ns,21850
permutation__cmp__simple_application,MapPermutation,128,,,51383722.0,ns,22287
