group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,MapPermutation,512,,,1028476.0,ns,55
permutation__cmp__simple_application,MapPermutation,512,,,2037250.0,ns,110
permutation__cmp__simple_application,MapPermutation,512,,,2966719.0,ns,165
permutation__cmp__simple_application,MapPermutation,512,,,3960192.0,ns,220
permutation__cmp__simple_application,MapPermutation,512,,,5104376.0,ns,275
permutation__cmp__simple_application,MapPermutation,512,,,6000943.0,ns,330
permutation__cmp__simple_application,MapPermutation,512,,,6980514.0,ns,385
permutation__cmp__simple_application,MapPermutation,512,,,7583459.0,ns,440
permutation__cmp__simple_application,MapPermutation,512,,,9107971.0,ns,495
permutation__cmp__simple_application,MapPermutation,512,,,10182551.0,ns,550
permutation__cmp__simple_application,MapPermutation,512,,,11351236.0,ns,605
permutation__cmp__simple_application,MapPermutation,512,,,11994584.0,ns,660
permutation__cmp__simple_application,MapPermutation,512,,,12933553.0,ns,715
permutation__cmp__simple_application,MapPermutation,512,,,14026333.0,ns,770
permutation__cmp__simple_application,MapPermutation,512,,,15006706.0,ns,825
permutation__cmp__simple_application,MapPermutation,512,,,15900472.0,ns,880
permutation__cmp__simple_application,MapPermutation,512,,,16853842.0,ns,935
permutation__cmp__simple_application,MapPermutation,512,,,18216643.0,ns,990
permutation__cmp__simple_application,MapPermutation,512,,,19339125.0,ns,1045
permutation__cmp__simple_application,MapPermutation,512,,,20427905.0,ns,1100
permutation__cmp__simple_application,MapPermutation,512,,,21095554.0,ns,1155
permutation__cmp__simple_application,MapPermutation,512,,,22218037.0,ns,1210
permutation__cmp__simple_application,MapPermutation,512,,,23373923.0,ns,1265
permutation__cmp__simple_application,MapPermutation,512,,,24219485.0,ns,1320
permutation__cmp__simple_application,MapPermutation,512,,,25309865.0,ns,1375
permutation__cmp__simple_application,MapPermutation,512,,,25801501.0,ns,1430
permutation__cmp__simple_application,MapPermutation,512,,,26997389.0,ns,1485
permutation__cmp__simple_application,MapPermutation,512,,,27767847.0,ns,1540
permutation__cmp__simple_application,MapPermutation,512,,,28447096.0,ns,1595
permutation__cmp__simple_application,MapPermutation,512,,,29700589.0,ns,1650
permutation__cmp__simple_application,MapPermutation,512,,,31321208.0,ns,1705
permutation__cmp__simple_application,MapPermutation,512,,,32120567.0,ns,1760
permutation__cmp__simple_application,MapPermutation,512,,,33168344.0,ns,1815
permutation__cmp__simple_application,MapPermutation,512,,,34272926.0,ns,1870
permutation__cmp__simple_application,MapPermutation,512,,,35201694.0,ns,1925
permutation__cmp__simple_application,MapPermutation,512,,,35983652.0,ns,1980
permutation__cmp__simple_application,MapPermutation,512,,,35870144.0,ns,2035
permutation__cmp__simple_application,MapPermutation,512,,,37240445.0,ns,2090
permutation__cmp__simple_application,MapPermutation,512,,,38730454.0,ns,2145
permutation__cmp__simple_application,MapPermutation,512,,,38483336.0,ns,2200
permutation__cmp__simple_application,MapPermutation,512,,,40048051.0,ns,2255
permutation__cmp__simple_application,MapPermutation,512,,,41065326.0,ns,2310
permutation__cmp__simple_application,MapPermutation,512,,,42155607.0,ns,2365
permutation__cmp__simple_application,MapPermutation,512,,,44931611.0,ns,2420
permutation__cmp__simple_application,MapPermutation,512,,,45451949.0,ns,2475
permutation__cmp__simple_application,MapPermutation,512,,,45395645.0,ns,2530
permutation__cmp__simple_application,MapPermutation,512,,,46523729.0,ns,2585
permutation__cmp__simple_application,MapPermutation,512,,,48253956.0,ns,2640
permutation__cmp__simple_application,MapPermutation,512,,,47740918.0,ns,2695
permutation__cmp__simple_application,MapPermutation,512,,,49982283.0,ns,2750
permutation__cmp__simple_application,MapPermutation,512,,,51705811.0,ns,2805
permutation__cmp__simple_application,MapPermutation,512,,,52454465.0,ns,2860
