group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,StandardPermutation,32,,,985998.0,ns,9517
permutation__cmp__simple_application,StandardPermutation,32,,,1989096.0,ns,19034
permutation__cmp__simple_application,StandardPermutation,32,,,3050501.0,ns,28551
permutation__cmp__simple_application,StandardPermutation,32,,,3957890.0,ns,38068
permutation__cmp__simple_application,StandardPermutation,32,,,4935986.0,ns,47585
permutation__cmp__simple_application,StandardPermutation,32,,,5956387.0,ns,57102
permutation__cmp__simple_application,StandardPermutation,32,,,6962686.0,ns,66619
permutation__cmp__simple_application,StandardPermutation,32,,,7912779.0,ns,76136
permutation__cmp__simple_application,StandardPermutation,32,,,8870274.0,ns,85653
permutation__cmp__simple_application,StandardPermutation,32,,,9932178.0,ns,95170
permutation__cmp__simple_application,StandardPermutation,32,,,10914476.0,ns,104687
permutation__cmp__simple_application,StandardPermutation,32,,,11902472.0,ns,114204
permutation__cmp__simple_application,StandardPermutation,32,,,12885269.0,ns,123721
permutation__cmp__simple_application,StandardPermutation,32,,,14262705.0,ns,133238
permutation__cmp__simple_application,StandardPermutation,32,,,14841062.0,ns,142755
permutation__cmp__simple_application,StandardPermutation,32,,,15870263.0,ns,152272
permutation__cmp__simple_application,StandardPermutation,32,,,16826358.0,ns,161789
permutation__cmp__simple_application,StandardPermutation,32,,,17761450.0,ns,171306
permutation__cmp__simple_application,StandardPermutation,32,,,18795052.0,ns,180823
permutation__cmp__simple_application,StandardPermutation,32,,,19780249.0,ns,190340
permutation__cmp__simple_application,StandardPermutation,32,,,20641133.0,ns,199857
permutation__cmp__simple_application,StandardPermutation,32,,,21614329.0,ns,209374
permutation__cmp__simple_application,StandardPermutation,32,,,22639830.0,ns,218891
permutation__cmp__simple_application,StandardPermutation,32,,,23806745.0,ns,228408
permutation__cmp__simple_application,StandardPermutation,32,,,24795843.0,ns,237925
permutation__cmp__simple_application,StandardPermutation,32,,,25728735.0,ns,247442
