group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,StandardPermutation,64,,,1023176.0,ns,6302
permutation__cmp__simple_application,StandardPermutation,64,,,2016749.0,ns,12604
permutation__cmp__simple_application,StandardPermutation,64,,,3048627.0,ns,18906
permutation__cmp__simple_application,StandardPermutation,64,,,3985295.0,ns,25208
permutation__cmp__simple_application,StandardPermutation,64,,,5041174.0,ns,31510
permutation__cmp__simple_application,StandardPermutation,64,,,6048649.0,ns,37812
permutation__cmp__simple_application,StandardPermutation,64,,,7013920.0,ns,44114
permutation__cmp__simple_application,StandardPermutation,64,,,8043697.0,ns,50416
permutation__cmp__simple_application,StandardPermutation,64,,,9073973.0,ns,56718
permutation__cmp__simple_application,StandardPermutation,64,,,10092448.0,ns,63020
permutation__cmp__simple_application,StandardPermutation,64,,,11107123.0,ns,69322
permutation__cmp__simple_application,StandardPermutation,64,,,12020391.0,ns,75624
permutation__cmp__simple_application,StandardPermutation,64,,,13079470.0,ns,81926
permutation__cmp__simple_application,StandardPermutation,64,,,14137949.0,ns,88228
permutation__cmp__simple_application,StandardPermutation,64,,,14717492.0,ns,94530
permutation__cmp__simple_application,StandardPermutation,64,,,16028589.0,ns,100832
permutation__cmp__simple_application,StandardPermutation,64,,,17155072.0,ns,107134
permutation__cmp__simple_application,StandardPermutation,64,,,18065540.0,ns,113436
permutation__cmp__simple_application,StandardPermutation,64,,,19073115.0,ns,119738
permutation__cmp__simple_application,StandardPermutation,64,,,20140394.0,ns,126040
permutation__cmp__simple_application,StandardPermutation,64,,,20938353.0,ns,132342
permutation__cmp__simple_application,StandardPermutation,64,,,21738413.0,ns,138644
permutation__cmp__simple_application,StandardPermutation,64,,,23148817.0,ns,144946
permutation__cmp__simple_application,StandardPermutation,64,,,24196395.0,ns,151248
permutation__cmp__simple_application,StandardPermutation,64,,,25214371.0,ns,157550
permutation__cmp__simple_application,StandardPermutation,64,,,26223145.0,ns,163852
permutation__cmp__simple_application,StandardPermutation,64,,,27067008.0,ns,170154
permutation__cmp__simple_application,StandardPermutation,64,,,27928772.0,ns,176456
permutation__cmp__simple_application,StandardPermutation,64,,,28815037.0,ns,182758
permutation__cmp__simple_application,StandardPermutation,64,,,28781234.0,ns,189060
permutation__cmp__simple_application,StandardPermutation,64,,,28261196.0,ns,195362
permutation__cmp__simple_application,StandardPermutation,64,,,31972471.0,ns,201664
permutation__cmp__simple_application,StandardPermutation,64,,,33174260.0,ns,207966
permutation__cmp__simple_application,StandardPermutation,64,,,33846710.0,ns,214268
permutation__cmp__simple_application,StandardPermutation,64,,,35305219.0,ns,220570
permutation__cmp__simple_application,StandardPermutation,64,,,36201185.0,ns,226872
permutation__cmp__simple_application,StandardPermutation,64,,,37134954.0,ns,233174
permutation__cmp__simple_application,StandardPermutation,64,,,37192559.0,ns,239476
permutation__cmp__simple_application,StandardPermutation,64,,,39073298.0,ns,245778
permutation__cmp__simple_application,StandardPermutation,64,,,39894359.0,ns,252080
permutation__cmp__simple_application,StandardPermutation,64,,,41010742.0,ns,258382
permutation__cmp__simple_application,StandardPermutation,64,,,40832829.0,ns,264684
permutation__cmp__simple_application,StandardPermutation,64,,,41614687.0,ns,270986
permutation__cmp__simple_application,StandardPermutation,64,,,44319587.0,ns,277288
permutation__cmp__simple_application,StandardPermutation,64,,,44985737.0,ns,283590
permutation__cmp__simple_application,StandardPermutation,64,,,45562280.0,ns,289892
permutation__cmp__simple_application,StandardPermutation,64,,,47157198.0,ns,296194
permutation__cmp__simple_application,StandardPermutation,64,,,47812846.0,ns,302496
permutation__cmp__simple_application,StandardPermutation,64,,,49027836.0,ns,308798
permutation__cmp__simple_application,StandardPermutation,64,,,50077714.0,ns,315100
permutation__cmp__simple_application,StandardPermutation,64,,,50982882.0,ns,321402
permutation__cmp__simple_application,StandardPermutation,64,,,51186296.0,ns,327704
permutation__cmp__simple_application,StandardPermutation,64,,,52179070.0,ns,334006
permutation__cmp__simple_application,StandardPermutation,64,,,52625904.0,ns,340308
permutation__cmp__simple_application,StandardPermutation,64,,,53549672.0,ns,346610
permutation__cmp__simple_application,StandardPermutation,64,,,56296076.0,ns,352912
permutation__cmp__simple_application,StandardPermutation,64,,,57282649.0,ns,359214
permutation__cmp__simple_application,StandardPermutation,64,,,58146813.0,ns,365516
permutation__cmp__simple_application,StandardPermutation,64,,,59308399.0,ns,371818
permutation__cmp__simple_application,StandardPermutation,64,,,59911744.0,ns,378120
permutation__cmp__simple_application,StandardPermutation,64,,,61469260.0,ns,384422
permutation__cmp__simple_application,StandardPermutation,64,,,62418130.0,ns,390724
permutation__cmp__simple_application,StandardPermutation,64,,,63389002.0,ns,397026
permutation__cmp__simple_application,StandardPermutation,64,,,64383975.0,ns,403328
permutation__cmp__simple_application,StandardPermutation,64,,,65522159.0,ns,409630
permutation__cmp__simple_application,StandardPermutation,64,,,66187209.0,ns,415932
permutation__cmp__simple_application,StandardPermutation,64,,,66735650.0,ns,422234
permutation__cmp__simple_application,StandardPermutation,64,,,67726023.0,ns,428536
permutation__cmp__simple_application,StandardPermutation,64,,,69570660.0,ns,434838
permutation__cmp__simple_application,StandardPermutation,64,,,69549658.0,ns,441140
permutation__cmp__simple_application,StandardPermutation,64,,,74183302.0,ns,447442
permutation__cmp__simple_application,StandardPermutation,64,,,71804626.0,ns,453744
permutation__cmp__simple_application,StandardPermutation,64,,,73401545.0,ns,460046
permutation__cmp__simple_application,StandardPermutation,64,,,74538729.0,ns,466348
permutation__cmp__simple_application,StandardPermutation,64,,,75278884.0,ns,472650
permutation__cmp__simple_application,StandardPermutation,64,,,76011838.0,ns,478952
permutation__cmp__simple_application,StandardPermutation,64,,,76665586.0,ns,485254
permutation__cmp__simple_application,StandardPermutation,64,,,77428443.0,ns,491556
permutation__cmp__simple_application,StandardPermutation,64,,,78344911.0,ns,497858
permutation__cmp__simple_application,StandardPermutation,64,,,79809720.0,ns,504160
permutation__cmp__simple_application,StandardPermutation,64,,,80584177.0,ns,510462
permutation__cmp__simple_application,StandardPermutation,64,,,80507871.0,ns,516764
permutation__cmp__simple_application,StandardPermutation,64,,,81559950.0,ns,523066
permutation__cmp__simple_application,StandardPermutation,64,,,81091515.0,ns,529368
permutation__cmp__simple_application,StandardPermutation,64,,,84845893.0,ns,535670
permutation__cmp__simple_application,StandardPermutation,64,,,86210295.0,ns,541972
permutation__cmp__simple_application,StandardPermutation,64,,,86920647.0,ns,548274
permutation__cmp__simple_application,StandardPermutation,64,,,87244571.0,ns,554576
permutation__cmp__simple_application,StandardPermutation,64,,,89156412.0,ns,560878
permutation__cmp__simple_application,StandardPermutation,64,,,89793560.0,ns,567180
permutation__cmp__simple_application,StandardPermutation,64,,,90732530.0,ns,573482
permutation__cmp__simple_application,StandardPermutation,64,,,92445040.0,ns,579784
permutation__cmp__simple_application,StandardPermutation,64,,,92894961.0,ns,586086
permutation__cmp__simple_application,StandardPermutation,64,,,91258046.0,ns,592388
permutation__cmp__simple_application,StandardPermutation,64,,,95595151.0,ns,598690
permutation__cmp__simple_application,StandardPermutation,64,,,95699958.0,ns,604992
permutation__cmp__simple_application,StandardPermutation,64,,,97790506.0,ns,611294
permutation__cmp__simple_application,StandardPermutation,64,,,97177563.0,ns,617596
permutation__cmp__simple_application,StandardPermutation,64,,,98660777.0,ns,623898
permutation__cmp__simple_application,StandardPermutation,64,,,100046875.0,ns,630200
