group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,SyncPermutation,32,,,988169.0,ns,10120
permutation__cmp__simple_application,SyncPermutation,32,,,2020342.0,ns,20240
permutation__cmp__simple_application,SyncPermutation,32,,,3054314.0,ns,30360
permutation__cmp__simple_application,SyncPermutation,32,,,3990481.0,ns,40480
permutation__cmp__simple_application,SyncPermutation,32,,,5062456.0,ns,50600
permutation__cmp__simple_application,SyncPermutation,32,,,6059326.0,ns,60720
permutation__cmp__simple_application,SyncPermutation,32,,,6999892.0,ns,70840
permutation__cmp__simple_application,SyncPermutation,32,,,7836550.0,ns,80960
permutation__cmp__simple_application,SyncPermutation,32,,,9057036.0,ns,91080
permutation__cmp__simple_application,SyncPermutation,32,,,9959100.0,ns,101200
permutation__cmp__simple_application,SyncPermutation,32,,,11050776.0,ns,111320
permutation__cmp__simple_application,SyncPermutation,32,,,11956940.0,ns,121440
permutation__cmp__simple_application,SyncPermutation,32,,,13123322.0,ns,131560
permutation__cmp__simple_application,SyncPermutation,32,,,14107791.0,ns,141680
permutation__cmp__simple_application,SyncPermutation,32,,,14868245.0,ns,151800
permutation__cmp__simple_application,SyncPermutation,32,,,16063328.0,ns,161920
permutation__cmp__simple_application,SyncPermutation,32,,,16928289.0,ns,172040
permutation__cmp__simple_application,SyncPermutation,32,,,17801451.0,ns,182160
permutation__cmp__simple_application,SyncPermutation,32,,,19275054.0,ns,192280
permutation__cmp__simple_application,SyncPermutation,32,,,19732387.0,ns,202400
permutation__cmp__simple_application,SyncPermutation,32,,,20252223.0,ns,212520
permutation__cmp__simple_application,SyncPermutation,32,,,21942141.0,ns,222640
permutation__cmp__simple_application,SyncPermutation,32,,,22939911.0,ns,232760
permutation__cmp__simple_application,SyncPermutation,32,,,23915581.0,ns,242880
permutation__cmp__simple_application,SyncPermutation,32,,,24854946.0,ns,253000
permutation__cmp__simple_application,SyncPermutation,32,,,25780011.0,ns,263120
permutation__cmp__simple_application,SyncPermutation,32,,,27052000.0,ns,273240
permutation__cmp__simple_application,SyncPermutation,32,,,27488131.0,ns,283360
permutation__cmp__simple_application,SyncPermutation,32,,,29012038.0,ns,293480
permutation__cmp__simple_application,SyncPermutation,32,,,30270027.0,ns,303600
permutation__cmp__simple_application,SyncPermutation,32,,,31106286.0,ns,313720
permutation__cmp__simple_application,SyncPermutation,32,,,32018749.0,ns,323840
permutation__cmp__simple_application,SyncPermutation,32,,,32635693.0,ns,333960
permutation__cmp__simple_application,SyncPermutation,32,,,34139798.0,ns,344080
permutation__cmp__simple_application,SyncPermutation,32,,,34834448.0,ns,354200
permutation__cmp__simple_application,SyncPermutation,32,,,35975627.0,ns,364320
permutation__cmp__simple_application,SyncPermutation,32,,,37016701.0,ns,374440
permutation__cmp__simple_application,SyncPermutation,32,,,36692278.0,ns,384560
permutation__cmp__simple_application,SyncPermutation,32,,,37344824.0,ns,394680
permutation__cmp__simple_application,SyncPermutation,32,,,39469373.0,ns,404800
permutation__cmp__simple_application,SyncPermutation,32,,,39423670.0,ns,414920
permutation__cmp__simple_application,SyncPermutation,32,,,42151061.0,ns,425040
permutation__cmp__simple_application,SyncPermutation,32,,,42697101.0,ns,435160
permutation__cmp__simple_application,SyncPermutation,32,,,43392450.0,ns,445280
permutation__cmp__simple_application,SyncPermutation,32,,,44025494.0,ns,455400
permutation__cmp__simple_application,SyncPermutation,32,,,45721413.0,ns,465520
permutation__cmp__simple_application,SyncPermutation,32,,,46859794.0,ns,475640
permutation__cmp__simple_application,SyncPermutation,32,,,47738756.0,ns,485760
permutation__cmp__simple_application,SyncPermutation,32,,,47852063.0,ns,495880
permutation__cmp__simple_application,SyncPermutation,32,,,50024116.0,ns,506000
permutation__cmp__simple_application,SyncPermutation,32,,,50537852.0,ns,516120
permutation__cmp__simple_application,SyncPermutation,32,,,51064790.0,ns,526240
permutation__cmp__simple_application,SyncPermutation,32,,,52504690.0,ns,536360
permutation__cmp__simple_application,SyncPermutation,32,,,53420054.0,ns,546480
permutation__cmp__simple_application,SyncPermutation,32,,,55052570.0,ns,556600
permutation__cmp__simple_application,SyncPermutation,32,,,55563406.0,ns,566720
permutation__cmp__simple_application,SyncPermutation,32,,,54700345.0,ns,576840
