group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,SyncPermutation,8,,,970272.0,ns,23955
permutation__cmp__simple_application,SyncPermutation,8,,,2016549.0,ns,47910
permutation__cmp__simple_application,SyncPermutation,8,,,2917516.0,ns,71865
permutation__cmp__simple_application,SyncPermutation,8,,,3920789.0,ns,95820
permutation__cmp__simple_application,SyncPermutation,8,,,4964667.0,ns,119775
permutation__cmp__simple_application,SyncPermutation,8,,,5882435.0,ns,143730
permutation__cmp__simple_application,SyncPermutation,8,,,6948013.0,ns,167685
permutation__cmp__simple_application,SyncPermutation,8,,,7801577.0,ns,191640
permutation__cmp__simple_application,SyncPermutation,8,,,8997864.0,ns,215595
permutation__cmp__simple_application,SyncPermutation,8,,,9935434.0,ns,239550
permutation__cmp__simple_application,SyncPermutation,8,,,10693590.0,ns,263505
permutation__cmp__simple_application,SyncPermutation,8,,,11839075.0,ns,287460
permutation__cmp__simple_application,SyncPermutation,8,,,12885552.0,ns,311415
permutation__cmp__simple_application,SyncPermutation,8,,,14065639.0,ns,335370
permutation__cmp__simple_application,SyncPermutation,8,,,14692886.0,ns,359325
permutation__cmp__simple_application,SyncPermutation,8,,,15823569.0,ns,383280
permutation__cmp__simple_application,SyncPermutation,8,,,17009956.0,ns,407235
permutation__cmp__simple_application,SyncPermutation,8,,,17721109.0,ns,431190
permutation__cmp__simple_application,SyncPermutation,8,,,18761986.0,ns,455145
permutation__cmp__simple_application,SyncPermutation,8,,,19598147.0,ns,479100
permutation__cmp__simple_application,SyncPermutation,8,,,20822939.0,ns,503055
permutation__cmp__simple_application,SyncPermutation,8,,,21793710.0,ns,527010
permutation__cmp__simple_application,SyncPermutation,8,,,22656374.0,ns,550965
permutation__cmp__simple_application,SyncPermutation,8,,,23646746.0,ns,574920
permutation__cmp__simple_application,SyncPermutation,8,,,24827034.0,ns,598875
permutation__cmp__simple_application,SyncPermutation,8,,,25942016.0,ns,622830
permutation__cmp__simple_application,SyncPermutation,8,,,26788579.0,ns,646785
permutation__cmp__simple_application,SyncPermutation,8,,,27734949.0,ns,670740
permutation__cmp__simple_application,SyncPermutation,8,,,28469003.0,ns,694695
permutation__cmp__simple_application,SyncPermutation,8,,,30029619.0,ns,718650
permutation__cmp__simple_application,SyncPermutation,8,,,30867980.0,ns,742605
permutation__cmp__simple_application,SyncPermutation,8,,,31723944.0,ns,766560
permutation__cmp__simple_application,SyncPermutation,8,,,32703016.0,ns,790515
permutation__cmp__simple_application,SyncPermutation,8,,,34080217.0,ns,814470
permutation__cmp__simple_application,SyncPermutation,8,,,34655160.0,ns,838425
permutation__cmp__simple_application,SyncPermutation,8,,,35651133.0,ns,862380
permutation__cmp__simple_application,SyncPermutation,8,,,36702011.0,ns,886335
permutation__cmp__simple_application,SyncPermutation,8,,,37890399.0,ns,910290
permutation__cmp__simple_application,SyncPermutation,8,,,38382535.0,ns,934245
permutation__cmp__simple_application,SyncPermutation,8,,,40013955.0,ns,958200
permutation__cmp__simple_application,SyncPermutation,8,,,39997354.0,ns,982155
permutation__cmp__simple_application,SyncPermutation,8,,,41245447.0,ns,1006110
permutation__cmp__simple_application,SyncPermutation,8,,,42764560.0,ns,1030065
permutation__cmp__simple_application,SyncPermutation,8,,,43078682.0,ns,1054020
permutation__cmp__simple_application,SyncPermutation,8,,,44456684.0,ns,1077975
permutation__cmp__simple_application,SyncPermutation,8,,,44278771.0,ns,1101930
permutation__cmp__simple_application,SyncPermutation,8,,,46322322.0,ns,1125885
permutation__cmp__simple_application,SyncPermutation,8,,,47942442.0,ns,1149840
permutation__cmp__simple_application,SyncPermutation,8,,,48211462.0,ns,1173795
