group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,WordPermutation,32,,,981593.0,ns,7302
permutation__cmp__simple_application,WordPermutation,32,,,1972386.0,ns,14604
permutation__cmp__simple_application,WordPermutation,32,,,2944577.0,ns,21906
permutation__cmp__simple_application,WordPermutation,32,,,3943571.0,ns,29208
permutation__cmp__simple_application,WordPermutation,32,,,4955367.0,ns,36510
permutation__cmp__simple_application,WordPermutation,32,,,5920758.0,ns,43812
permutation__cmp__simple_application,WordPermutation,32,,,6924653.0,ns,51114
permutation__cmp__simple_application,WordPermutation,32,,,7916446.0,ns,58416
permutation__cmp__simple_application,WordPermutation,32,,,8891037.0,ns,65718
permutation__cmp__simple_application,WordPermutation,32,,,8871835.0,ns,73020
permutation__cmp__simple_application,WordPermutation,32,,,10901726.0,ns,80322
permutation__cmp__simple_application,WordPermutation,32,,,11889920.0,ns,87624
permutation__cmp__simple_application,WordPermutation,32,,,12866211.0,ns,94926
permutation__cmp__simple_application,WordPermutation,32,,,13885007.0,ns,102228
permutation__cmp__simple_application,WordPermutation,32,,,14872400.0,ns,109530
permutation__cmp__simple_application,WordPermutation,32,,,15869794.0,ns,116832
permutation__cmp__simple_application,WordPermutation,32,,,16846785.0,ns,124134
permutation__cmp__simple_application,WordPermutation,32,,,17807276.0,ns,131436
permutation__cmp__simple_application,WordPermutation,32,,,18801670.0,ns,138738
permutation__cmp__simple_application,WordPermutation,32,,,19828266.0,ns,146040
permutation__cmp__simple_application,WordPermutation,32,,,20795557.0,ns,153342
permutation__cmp__simple_application,WordPermutation,32,,,21808253.0,ns,160644
permutation__cmp__simple_application,WordPermutation,32,,,22742141.0,ns,167946
permutation__cmp__simple_application,WordPermutation,32,,,23747636.0,ns,175248
permutation__cmp__simple_application,WordPermutation,32,,,24740129.0,ns,182550
permutation__cmp__simple_application,WordPermutation,32,,,25767425.0,ns,189852
permutation__cmp__simple_application,WordPermutation,32,,,26757419.0,ns,197154
permutation__cmp__simple_application,WordPermutation,32,,,27765214.0,ns,204456
permutation__cmp__simple_application,WordPermutation,32,,,28744906.0,ns,211758
permutation__cmp__simple_application,WordPermutation,32,,,29728998.0,ns,219060
permutation__cmp__simple_application,WordPermutation,32,,,30636283.0,ns,226362
permutation__cmp__simple_application,WordPermutation,32,,,31727686.0,ns,233664
permutation__cmp__simple_application,WordPermutation,32,,,32691078.0,ns,240966
permutation__cmp__simple_application,WordPermutation,32,,,33611664.0,ns,248268
permutation__cmp__simple_application,WordPermutation,32,,,34655662.0,ns,255570
permutation__cmp__simple_application,WordPermutation,32,,,35668458.0,ns,262872
permutation__cmp__simple_application,WordPermutation,32,,,36648950.0,ns,270174
permutation__cmp__simple_application,WordPermutation,32,,,37643443.0,ns,277476
permutation__cmp__simple_application,WordPermutation,32,,,38637837.0,ns,284778
permutation__cmp__simple_application,WordPermutation,32,,,39627730.0,ns,292080
permutation__cmp__simple_application,WordPermutation,32,,,40585820.0,ns,299382
permutation__cmp__simple_application,WordPermutation,32,,,41609316.0,ns,306684
permutation__cmp__simple_application,WordPermutation,32,,,42638414.0,ns,313986
permutation__cmp__simple_application,WordPermutation,32,,,43631407.0,ns,321288
permutation__cmp__simple_application,WordPermutation,32,,,44602299.0,ns,328590
permutation__cmp__simple_application,WordPermutation,32,,,45551886.0,ns,335892
permutation__cmp__simple_application,WordPermutation,32,,,46538977.0,ns,343194
permutation__cmp__simple_application,WordPermutation,32,,,47582275.0,ns,350496
permutation__cmp__simple_application,WordPermutation,32,,,48532965.0,ns,357798
permutation__cmp__simple_application,WordPermutation,32,,,49495256.0,ns,365100
permutation__cmp__simple_application,WordPermutation,32,,,50543554.0,ns,372402
permutation__cmp__simple_application,WordPermutation,32,,,51542248.0,ns,379704
permutation__cmp__simple_application,WordPermutation,32,,,52504738.0,ns,387006
permutation__cmp__simple_application,WordPermutation,32,,,53516833.0,ns,394308
permutation__cmp__simple_application,WordPermutation,32,,,54475424.0,ns,401610
permutation__cmp__simple_application,WordPermutation,32,,,55468517.0,ns,408912
permutation__cmp__simple_application,WordPermutation,32,,,56495914.0,ns,416214
permutation__cmp__simple_application,WordPermutation,32,,,57519010.0,ns,423516
permutation__cmp__simple_application,WordPermutation,32,,,58477300.0,ns,430818
permutation__cmp__simple_application,WordPermutation,32,,,59393086.0,ns,438120
permutation__cmp__simple_application,WordPermutation,32,,,60385780.0,ns,445422
permutation__cmp__simple_application,WordPermutation,32,,,61445679.0,ns,452724
permutation__cmp__simple_application,WordPermutation,32,,,62327962.0,ns,460026
permutation__cmp__simple_application,WordPermutation,32,,,63445267.0,ns,467328
permutation__cmp__simple_application,WordPermutation,32,,,64425055.0,ns,474630
permutation__cmp__simple_application,WordPermutation,32,,,65400446.0,ns,481932
permutation__cmp__simple_application,WordPermutation,32,,,66431043.0,ns,489234
permutation__cmp__simple_application,WordPermutation,32,,,67316227.0,ns,496536
permutation__cmp__simple_application,WordPermutation,32,,,68359724.0,ns,503838
permutation__cmp__simple_application,WordPermutation,32,,,69404823.0,ns,511140
permutation__cmp__simple_application,WordPermutation,32,,,70340111.0,ns,518442
permutation__cmp__simple_application,WordPermutation,32,,,71259597.0,ns,525744
permutation__cmp__simple_application,WordPermutation,32,,,72273092.0,ns,533046
permutation__cmp__simple_application,WordPermutation,32,,,73299689.0,ns,540348
permutation__cmp__simple_application,WordPermutation,32,,,74162670.0,ns,547650
permutation__cmp__simple_application,WordPermutation,32,,,75287276.0,ns,554952
permutation__cmp__simple_application,WordPermutation,32,,,76250966.0,ns,562254
permutation__cmp__simple_application,WordPermutation,32,,,77295164.0,ns,569556
permutation__cmp__simple_application,WordPermutation,32,,,78239747.0,ns,576858
permutation__cmp__simple_application,WordPermutation,32,,,79352852.0,ns,584160
permutation__cmp__simple_application,WordPermutation,32,,,80213033.0,ns,591462
permutation__cmp__simple_application,WordPermutation,32,,,81287534.0,ns,598764
permutation__cmp__simple_application,WordPermutation,32,,,82273326.0,ns,606066
permutation__cmp__simple_application,WordPermutation,32,,,83283521.0,ns,613368
permutation__cmp__simple_application,WordPermutation,32,,,84217108.0,ns,620670
permutation__cmp__simple_application,WordPermutation,32,,,85248806.0,ns,627972
permutation__cmp__simple_application,WordPermutation,32,,,86243899.0,ns,635274
permutation__cmp__simple_application,WordPermutation,32,,,87497817.0,ns,642576
permutation__cmp__simple_application,WordPermutation,32,,,88259189.0,ns,649878
permutation__cmp__simple_application,WordPermutation,32,,,89127869.0,ns,657180
permutation__cmp__simple_application,WordPermutation,32,,,90169461.0,ns,664482
permutation__cmp__simple_application,WordPermutation,32,,,91140953.0,ns,671784
permutation__cmp__simple_application,WordPermutation,32,,,92130845.0,ns,679086
permutation__cmp__simple_application,WordPermutation,32,,,93187744.0,ns,686388
permutation__cmp__simple_application,WordPermutation,32,,,94197539.0,ns,693690
permutation__cmp__simple_application,WordPermutation,32,,,95094223.0,ns,700992
permutation__cmp__simple_application,WordPermutation,32,,,96099817.0,ns,708294
permutation__cmp__simple_application,WordPermutation,32,,,97155916.0,ns,715596
permutation__cmp__simple_application,WordPermutation,32,,,98119607.0,ns,722898
permutation__cmp__simple_application,WordPermutation,32,,,99030192.0,ns,730200
