group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,WordPermutation,32,,,1008571.0,ns,6672
permutation__cmp__simple_application,WordPermutation,32,,,1994441.0,ns,13344
permutation__cmp__simple_application,WordPermutation,32,,,2853803.0,ns,20016
permutation__cmp__simple_application,WordPermutation,32,,,4014085.0,ns,26688
permutation__cmp__simple_application,WordPermutation,32,,,5006356.0,ns,33360
permutation__cmp__simple_application,WordPermutation,32,,,6069831.0,ns,40032
permutation__cmp__simple_application,WordPermutation,32,,,6996498.0,ns,46704
permutation__cmp__simple_application,WordPermutation,32,,,7983368.0,ns,53376
permutation__cmp__simple_application,WordPermutation,32,,,8909133.0,ns,60048
permutation__cmp__simple_application,WordPermutation,32,,,10068116.0,ns,66720
permutation__cmp__simple_application,WordPermutation,32,,,10083517.0,ns,73392
permutation__cmp__simple_application,WordPermutation,32,,,11663129.0,ns,80064
permutation__cmp__simple_application,WordPermutation,32,,,12904817.0,ns,86736
permutation__cmp__simple_application,WordPermutation,32,,,14043998.0,ns,93408
permutation__cmp__simple_application,WordPermutation,32,,,14685745.0,ns,100080
permutation__cmp__simple_application,WordPermutation,32,,,16029040.0,ns,106752
permutation__cmp__simple_application,WordPermutation,32,,,16570078.0,ns,113424
permutation__cmp__simple_application,WordPermutation,32,,,18064985.0,ns,120096
permutation__cmp__simple_application,WordPermutation,32,,,18922846.0,ns,126768
permutation__cmp__simple_application,WordPermutation,32,,,19975020.0,ns,133440
permutation__cmp__simple_application,WordPermutation,32,,,21007794.0,ns,140112
permutation__cmp__simple_application,WordPermutation,32,,,21831553.0,ns,146784
permutation__cmp__simple_application,WordPermutation,32,,,23103443.0,ns,153456
permutation__cmp__simple_application,WordPermutation,32,,,23701385.0,ns,160128
permutation__cmp__simple_application,WordPermutation,32,,,24963775.0,ns,166800
permutation__cmp__simple_application,WordPermutation,32,,,25977447.0,ns,173472
permutation__cmp__simple_application,WordPermutation,32,,,26852410.0,ns,180144
