group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,BasedPermutation,16,,,953660.0,ns,2884
permutation__cmp__single_mult,BasedPermutation,16,,,1803813.0,ns,5768
permutation__cmp__single_mult,BasedPermutation,16,,,2821178.0,ns,8652
permutation__cmp__single_mult,BasedPermutation,16,,,3819840.0,ns,11536
permutation__cmp__single_mult,BasedPermutation,16,,,4980013.0,ns,14420
permutation__cmp__single_mult,BasedPermutation,16,,,8588841.0,ns,17304
permutation__cmp__single_mult,BasedPermutation,16,,,6928635.0,ns,20188
permutation__cmp__single_mult,BasedPermutation,16,,,11403517.0,ns,23072
permutation__cmp__single_mult,BasedPermutation,16,,,8592040.0,ns,25956
permutation__cmp__single_mult,BasedPermutation,16,,,9689310.0,ns,28840
permutation__cmp__single_mult,BasedPermutation,16,,,10965289.0,ns,31724
permutation__cmp__single_mult,BasedPermutation,16,,,12244570.0,ns,34608
permutation__cmp__single_mult,BasedPermutation,16,,,12376578.0,ns,37492
permutation__cmp__single_mult,BasedPermutation,16,,,18861186.0,ns,40376
permutation__cmp__single_mult,BasedPermutation,16,,,13616857.0,ns,43260
permutation__cmp__single_mult,BasedPermutation,16,,,15369266.0,ns,46144
permutation__cmp__single_mult,BasedPermutation,16,,,14805531.0,ns,49028
permutation__cmp__single_mult,BasedPermutation,16,,,17657111.0,ns,51912
permutation__cmp__single_mult,BasedPermutation,16,,,17791819.0,ns,54796
permutation__cmp__single_mult,BasedPermutation,16,,,17684412.0,ns,57680
permutation__cmp__single_mult,BasedPermutation,16,,,19552029.0,ns,60564
permutation__cmp__single_mult,BasedPermutation,16,,,20762406.0,ns,63448
permutation__cmp__single_mult,BasedPermutation,16,,,21838273.0,ns,66332
permutation__cmp__single_mult,BasedPermutation,16,,,22255799.0,ns,69216
permutation__cmp__single_mult,BasedPermutation,16,,,22352805.0,ns,72100
permutation__cmp__single_mult,BasedPermutation,16,,,25468501.0,ns,74984
permutation__cmp__single_mult,BasedPermutation,16,,,26088140.0,ns,77868
permutation__cmp__single_mult,BasedPermutation,16,,,27648138.0,ns,80752
permutation__cmp__single_mult,BasedPermutation,16,,,27180709.0,ns,83636
permutation__cmp__single_mult,BasedPermutation,16,,,27743144.0,ns,86520
permutation__cmp__single_mult,BasedPermutation,16,,,30318406.0,ns,89404
permutation__cmp__single_mult,BasedPermutation,16,,,27163408.0,ns,92288
permutation__cmp__single_mult,BasedPermutation,16,,,32009113.0,ns,95172
permutation__cmp__single_mult,BasedPermutation,16,,,33044578.0,ns,98056
permutation__cmp__single_mult,BasedPermutation,16,,,34154347.0,ns,100940
permutation__cmp__single_mult,BasedPermutation,16,,,35399026.0,ns,103824
permutation__cmp__single_mult,BasedPermutation,16,,,35729747.0,ns,106708
permutation__cmp__single_mult,BasedPermutation,16,,,32509944.0,ns,109592
permutation__cmp__single_mult,BasedPermutation,16,,,34199150.0,ns,112476
permutation__cmp__single_mult,BasedPermutation,16,,,36830215.0,ns,115360
permutation__cmp__single_mult,BasedPermutation,16,,,39126060.0,ns,118244
permutation__cmp__single_mult,BasedPermutation,16,,,40739361.0,ns,121128
permutation__cmp__single_mult,BasedPermutation,16,,,41778327.0,ns,124012
permutation__cmp__single_mult,BasedPermutation,16,,,38187001.0,ns,126896
permutation__cmp__single_mult,BasedPermutation,16,,,44619406.0,ns,129780
permutation__cmp__single_mult,BasedPermutation,16,,,40351537.0,ns,132664
permutation__cmp__single_mult,BasedPermutation,16,,,46483023.0,ns,135548
permutation__cmp__single_mult,BasedPermutation,16,,,69642979.0,ns,138432
permutation__cmp__single_mult,BasedPermutation,16,,,48865171.0,ns,141316
permutation__cmp__single_mult,BasedPermutation,16,,,44466495.0,ns,144200
permutation__cmp__single_mult,BasedPermutation,16,,,48765065.0,ns,147084
permutation__cmp__single_mult,BasedPermutation,16,,,50461972.0,ns,149968
permutation__cmp__single_mult,BasedPermutation,16,,,47193466.0,ns,152852
permutation__cmp__single_mult,BasedPermutation,16,,,53018232.0,ns,155736
permutation__cmp__single_mult,BasedPermutation,16,,,80033831.0,ns,158620
permutation__cmp__single_mult,BasedPermutation,16,,,52877724.0,ns,161504
permutation__cmp__single_mult,BasedPermutation,16,,,54210208.0,ns,164388
permutation__cmp__single_mult,BasedPermutation,16,,,56828072.0,ns,167272
permutation__cmp__single_mult,BasedPermutation,16,,,79634306.0,ns,170156
permutation__cmp__single_mult,BasedPermutation,16,,,52706513.0,ns,173040
permutation__cmp__single_mult,BasedPermutation,16,,,56149829.0,ns,175924
permutation__cmp__single_mult,BasedPermutation,16,,,57565319.0,ns,178808
permutation__cmp__single_mult,BasedPermutation,16,,,56991383.0,ns,181692
permutation__cmp__single_mult,BasedPermutation,16,,,62151507.0,ns,184576
permutation__cmp__single_mult,BasedPermutation,16,,,61692078.0,ns,187460
permutation__cmp__single_mult,BasedPermutation,16,,,64108330.0,ns,190344
permutation__cmp__single_mult,BasedPermutation,16,,,67626350.0,ns,193228
permutation__cmp__single_mult,BasedPermutation,16,,,63562595.0,ns,196112
permutation__cmp__single_mult,BasedPermutation,16,,,95451199.0,ns,198996
permutation__cmp__single_mult,BasedPermutation,16,,,102264728.0,ns,201880
permutation__cmp__single_mult,BasedPermutation,16,,,68653815.0,ns,204764
permutation__cmp__single_mult,BasedPermutation,16,,,65618724.0,ns,207648
permutation__cmp__single_mult,BasedPermutation,16,,,62085002.0,ns,210532
permutation__cmp__single_mult,BasedPermutation,16,,,70684343.0,ns,213416
permutation__cmp__single_mult,BasedPermutation,16,,,74782300.0,ns,216300
permutation__cmp__single_mult,BasedPermutation,16,,,75572349.0,ns,219184
permutation__cmp__single_mult,BasedPermutation,16,,,71944721.0,ns,222068
permutation__cmp__single_mult,BasedPermutation,16,,,76852030.0,ns,224952
permutation__cmp__single_mult,BasedPermutation,16,,,115374550.0,ns,227836
permutation__cmp__single_mult,BasedPermutation,16,,,74787700.0,ns,230720
permutation__cmp__single_mult,BasedPermutation,16,,,80472957.0,ns,233604
permutation__cmp__single_mult,BasedPermutation,16,,,79683907.0,ns,236488
permutation__cmp__single_mult,BasedPermutation,16,,,78946760.0,ns,239372
permutation__cmp__single_mult,BasedPermutation,16,,,81218903.0,ns,242256
permutation__cmp__single_mult,BasedPermutation,16,,,82899509.0,ns,245140
permutation__cmp__single_mult,BasedPermutation,16,,,80955587.0,ns,248024
permutation__cmp__single_mult,BasedPermutation,16,,,83326536.0,ns,250908
permutation__cmp__single_mult,BasedPermutation,16,,,86343225.0,ns,253792
permutation__cmp__single_mult,BasedPermutation,16,,,84595616.0,ns,256676
permutation__cmp__single_mult,BasedPermutation,16,,,87770015.0,ns,259560
permutation__cmp__single_mult,BasedPermutation,16,,,83260132.0,ns,262444
permutation__cmp__single_mult,BasedPermutation,16,,,86890058.0,ns,265328
permutation__cmp__single_mult,BasedPermutation,16,,,128383365.0,ns,268212
permutation__cmp__single_mult,BasedPermutation,16,,,88779678.0,ns,271096
permutation__cmp__single_mult,BasedPermutation,16,,,92779328.0,ns,273980
permutation__cmp__single_mult,BasedPermutation,16,,,92339501.0,ns,276864
permutation__cmp__single_mult,BasedPermutation,16,,,93138251.0,ns,279748
permutation__cmp__single_mult,BasedPermutation,16,,,96022533.0,ns,282632
permutation__cmp__single_mult,BasedPermutation,16,,,86368826.0,ns,285516
permutation__cmp__single_mult,BasedPermutation,16,,,96844384.0,ns,288400
