group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,BasedPermutation,256,,,987559.0,ns,221
permutation__cmp__single_mult,BasedPermutation,256,,,1979919.0,ns,442
permutation__cmp__single_mult,BasedPermutation,256,,,3043383.0,ns,663
permutation__cmp__single_mult,BasedPermutation,256,,,3837630.0,ns,884
permutation__cmp__single_mult,BasedPermutation,256,,,4961998.0,ns,1105
permutation__cmp__single_mult,BasedPermutation,256,,,5970959.0,ns,1326
permutation__cmp__single_mult,BasedPermutation,256,,,6692102.0,ns,1547
permutation__cmp__single_mult,BasedPermutation,256,,,7789468.0,ns,1768
permutation__cmp__single_mult,BasedPermutation,256,,,8841631.0,ns,1989
permutation__cmp__single_mult,BasedPermutation,256,,,10234915.0,ns,2210
permutation__cmp__single_mult,BasedPermutation,256,,,11148169.0,ns,2431
permutation__cmp__single_mult,BasedPermutation,256,,,11963618.0,ns,2652
permutation__cmp__single_mult,BasedPermutation,256,,,12656160.0,ns,2873
permutation__cmp__single_mult,BasedPermutation,256,,,13899234.0,ns,3094
permutation__cmp__single_mult,BasedPermutation,256,,,15385224.0,ns,3315
permutation__cmp__single_mult,BasedPermutation,256,,,15763046.0,ns,3536
permutation__cmp__single_mult,BasedPermutation,256,,,16594097.0,ns,3757
permutation__cmp__single_mult,BasedPermutation,256,,,17646160.0,ns,3978
permutation__cmp__single_mult,BasedPermutation,256,,,19184251.0,ns,4199
permutation__cmp__single_mult,BasedPermutation,256,,,20251316.0,ns,4420
permutation__cmp__single_mult,BasedPermutation,256,,,21353682.0,ns,4641
permutation__cmp__single_mult,BasedPermutation,256,,,22153630.0,ns,4862
permutation__cmp__single_mult,BasedPermutation,256,,,22701263.0,ns,5083
permutation__cmp__single_mult,BasedPermutation,256,,,23810429.0,ns,5304
permutation__cmp__single_mult,BasedPermutation,256,,,24160251.0,ns,5525
permutation__cmp__single_mult,BasedPermutation,256,,,26082167.0,ns,5746
permutation__cmp__single_mult,BasedPermutation,256,,,27176032.0,ns,5967
permutation__cmp__single_mult,BasedPermutation,256,,,27883274.0,ns,6188
permutation__cmp__single_mult,BasedPermutation,256,,,29422066.0,ns,6409
permutation__cmp__single_mult,BasedPermutation,256,,,29830191.0,ns,6630
permutation__cmp__single_mult,BasedPermutation,256,,,31810710.0,ns,6851
permutation__cmp__single_mult,BasedPermutation,256,,,32449948.0,ns,7072
permutation__cmp__single_mult,BasedPermutation,256,,,32463249.0,ns,7293
permutation__cmp__single_mult,BasedPermutation,256,,,34575476.0,ns,7514
permutation__cmp__single_mult,BasedPermutation,256,,,34885494.0,ns,7735
permutation__cmp__single_mult,BasedPermutation,256,,,35453229.0,ns,7956
permutation__cmp__single_mult,BasedPermutation,256,,,36950519.0,ns,8177
permutation__cmp__single_mult,BasedPermutation,256,,,38310200.0,ns,8398
permutation__cmp__single_mult,BasedPermutation,256,,,40109808.0,ns,8619
permutation__cmp__single_mult,BasedPermutation,256,,,39857093.0,ns,8840
permutation__cmp__single_mult,BasedPermutation,256,,,40290319.0,ns,9061
permutation__cmp__single_mult,BasedPermutation,256,,,42107928.0,ns,9282
permutation__cmp__single_mult,BasedPermutation,256,,,42536454.0,ns,9503
permutation__cmp__single_mult,BasedPermutation,256,,,43062685.0,ns,9724
permutation__cmp__single_mult,BasedPermutation,256,,,45229516.0,ns,9945
permutation__cmp__single_mult,BasedPermutation,256,,,45797350.0,ns,10166
permutation__cmp__single_mult,BasedPermutation,256,,,46696604.0,ns,10387
permutation__cmp__single_mult,BasedPermutation,256,,,45916657.0,ns,10608
permutation__cmp__single_mult,BasedPermutation,256,,,49452069.0,ns,10829
permutation__cmp__single_mult,BasedPermutation,256,,,51520993.0,ns,11050
permutation__cmp__single_mult,BasedPermutation,256,,,50685743.0,ns,11271
permutation__cmp__single_mult,BasedPermutation,256,,,53449409.0,ns,11492
permutation__cmp__single_mult,BasedPermutation,256,,,53616919.0,ns,11713
permutation__cmp__single_mult,BasedPermutation,256,,,53972040.0,ns,11934
permutation__cmp__single_mult,BasedPermutation,256,,,54232156.0,ns,12155
permutation__cmp__single_mult,BasedPermutation,256,,,55438528.0,ns,12376
permutation__cmp__single_mult,BasedPermutation,256,,,56952519.0,ns,12597
permutation__cmp__single_mult,BasedPermutation,256,,,57664062.0,ns,12818
permutation__cmp__single_mult,BasedPermutation,256,,,57933478.0,ns,13039
permutation__cmp__single_mult,BasedPermutation,256,,,60709045.0,ns,13260
permutation__cmp__single_mult,BasedPermutation,256,,,59780389.0,ns,13481
permutation__cmp__single_mult,BasedPermutation,256,,,62614159.0,ns,13702
permutation__cmp__single_mult,BasedPermutation,256,,,63774329.0,ns,13923
permutation__cmp__single_mult,BasedPermutation,256,,,66115370.0,ns,14144
permutation__cmp__single_mult,BasedPermutation,256,,,65619639.0,ns,14365
permutation__cmp__single_mult,BasedPermutation,256,,,68714725.0,ns,14586
permutation__cmp__single_mult,BasedPermutation,256,,,67158632.0,ns,14807
permutation__cmp__single_mult,BasedPermutation,256,,,70604439.0,ns,15028
permutation__cmp__single_mult,BasedPermutation,256,,,66602198.0,ns,15249
permutation__cmp__single_mult,BasedPermutation,256,,,69634681.0,ns,15470
permutation__cmp__single_mult,BasedPermutation,256,,,71080367.0,ns,15691
permutation__cmp__single_mult,BasedPermutation,256,,,73944839.0,ns,15912
permutation__cmp__single_mult,BasedPermutation,256,,,74923297.0,ns,16133
permutation__cmp__single_mult,BasedPermutation,256,,,74067046.0,ns,16354
permutation__cmp__single_mult,BasedPermutation,256,,,75015003.0,ns,16575
permutation__cmp__single_mult,BasedPermutation,256,,,74954900.0,ns,16796
permutation__cmp__single_mult,BasedPermutation,256,,,77275239.0,ns,17017
permutation__cmp__single_mult,BasedPermutation,256,,,79559276.0,ns,17238
permutation__cmp__single_mult,BasedPermutation,256,,,80257918.0,ns,17459
permutation__cmp__single_mult,BasedPermutation,256,,,79842893.0,ns,17680
permutation__cmp__single_mult,BasedPermutation,256,,,80345823.0,ns,17901
permutation__cmp__single_mult,BasedPermutation,256,,,80908956.0,ns,18122
permutation__cmp__single_mult,BasedPermutation,256,,,82811171.0,ns,18343
permutation__cmp__single_mult,BasedPermutation,256,,,82620059.0,ns,18564
permutation__cmp__single_mult,BasedPermutation,256,,,85567636.0,ns,18785
permutation__cmp__single_mult,BasedPermutation,256,,,85590238.0,ns,19006
permutation__cmp__single_mult,BasedPermutation,256,,,84664682.0,ns,19227
permutation__cmp__single_mult,BasedPermutation,256,,,88623720.0,ns,19448
permutation__cmp__single_mult,BasedPermutation,256,,,86945119.0,ns,19669
permutation__cmp__single_mult,BasedPermutation,256,,,88245797.0,ns,19890
permutation__cmp__single_mult,BasedPermutation,256,,,91025363.0,ns,20111
permutation__cmp__single_mult,BasedPermutation,256,,,92463649.0,ns,20332
permutation__cmp__single_mult,BasedPermutation,256,,,90341322.0,ns,20553
permutation__cmp__single_mult,BasedPermutation,256,,,94503471.0,ns,20774
permutation__cmp__single_mult,BasedPermutation,256,,,93553015.0,ns,20995
permutation__cmp__single_mult,BasedPermutation,256,,,93590017.0,ns,21216
permutation__cmp__single_mult,BasedPermutation,256,,,98709924.0,ns,21437
permutation__cmp__single_mult,BasedPermutation,256,,,96304580.0,ns,21658
permutation__cmp__single_mult,BasedPermutation,256,,,101484091.0,ns,21879
permutation__cmp__single_mult,BasedPermutation,256,,,99108149.0,ns,22100
