group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,MapPermutation,16,,,1041377.0,ns,977
permutation__cmp__single_mult,MapPermutation,16,,,2085754.0,ns,1954
permutation__cmp__single_mult,MapPermutation,16,,,2764603.0,ns,2931
permutation__cmp__single_mult,MapPermutation,16,,,3616566.0,ns,3908
permutation__cmp__single_mult,MapPermutation,16,,,5011769.0,ns,4885
permutation__cmp__single_mult,MapPermutation,16,,,6108350.0,ns,5862
permutation__cmp__single_mult,MapPermutation,16,,,7409546.0,ns,6839
permutation__cmp__single_mult,MapPermutation,16,,,7934284.0,ns,7816
permutation__cmp__single_mult,MapPermutation,16,,,9428394.0,ns,8793
permutation__cmp__single_mult,MapPermutation,16,,,9237080.0,ns,9770
permutation__cmp__single_mult,MapPermutation,16,,,11131019.0,ns,10747
permutation__cmp__single_mult,MapPermutation,16,,,12211199.0,ns,11724
permutation__cmp__single_mult,MapPermutation,16,,,12988356.0,ns,12701
permutation__cmp__single_mult,MapPermutation,16,,,14557672.0,ns,13678
permutation__cmp__single_mult,MapPermutation,16,,,15389634.0,ns,14655
permutation__cmp__single_mult,MapPermutation,16,,,16305501.0,ns,15632
permutation__cmp__single_mult,MapPermutation,16,,,17343777.0,ns,16609
permutation__cmp__single_mult,MapPermutation,16,,,18068230.0,ns,17586
permutation__cmp__single_mult,MapPermutation,16,,,19134109.0,ns,18563
permutation__cmp__single_mult,MapPermutation,16,,,19357525.0,ns,19540
permutation__cmp__single_mult,MapPermutation,16,,,20481308.0,ns,20517
permutation__cmp__single_mult,MapPermutation,16,,,21901112.0,ns,21494
permutation__cmp__single_mult,MapPermutation,16,,,22950689.0,ns,22471
permutation__cmp__single_mult,MapPermutation,16,,,22762176.0,ns,23448
permutation__cmp__single_mult,MapPermutation,16,,,23770550.0,ns,24425
permutation__cmp__single_mult,MapPermutation,16,,,28117671.0,ns,25402
permutation__cmp__single_mult,MapPermutation,16,,,25242959.0,ns,26379
permutation__cmp__single_mult,MapPermutation,16,,,26173027.0,ns,27356
permutation__cmp__single_mult,MapPermutation,16,,,26952685.0,ns,28333
permutation__cmp__single_mult,MapPermutation,16,,,29900802.0,ns,29310
permutation__cmp__single_mult,MapPermutation,16,,,29317159.0,ns,30287
permutation__cmp__single_mult,MapPermutation,16,,,31621729.0,ns,31264
permutation__cmp__single_mult,MapPermutation,16,,,30012410.0,ns,32241
permutation__cmp__single_mult,MapPermutation,16,,,31464017.0,ns,33218
permutation__cmp__single_mult,MapPermutation,16,,,32020158.0,ns,34195
permutation__cmp__single_mult,MapPermutation,16,,,33069435.0,ns,35172
permutation__cmp__single_mult,MapPermutation,16,,,35126187.0,ns,36149
permutation__cmp__single_mult,MapPermutation,16,,,36602595.0,ns,37126
permutation__cmp__single_mult,MapPermutation,16,,,35025379.0,ns,38103
permutation__cmp__single_mult,MapPermutation,16,,,39139281.0,ns,39080
permutation__cmp__single_mult,MapPermutation,16,,,41475354.0,ns,40057
permutation__cmp__single_mult,MapPermutation,16,,,39414902.0,ns,41034
permutation__cmp__single_mult,MapPermutation,16,,,45464548.0,ns,42011
permutation__cmp__single_mult,MapPermutation,16,,,43897533.0,ns,42988
permutation__cmp__single_mult,MapPermutation,16,,,44486975.0,ns,43965
permutation__cmp__single_mult,MapPermutation,16,,,46036490.0,ns,44942
permutation__cmp__single_mult,MapPermutation,16,,,46840649.0,ns,45919
permutation__cmp__single_mult,MapPermutation,16,,,46510425.0,ns,46896
permutation__cmp__single_mult,MapPermutation,16,,,47919128.0,ns,47873
permutation__cmp__single_mult,MapPermutation,16,,,51475390.0,ns,48850
permutation__cmp__single_mult,MapPermutation,16,,,45027016.0,ns,49827
permutation__cmp__single_mult,MapPermutation,16,,,50179595.0,ns,50804
permutation__cmp__single_mult,MapPermutation,16,,,50012983.0,ns,51781
permutation__cmp__single_mult,MapPermutation,16,,,55828011.0,ns,52758
permutation__cmp__single_mult,MapPermutation,16,,,52547669.0,ns,53735
permutation__cmp__single_mult,MapPermutation,16,,,54666126.0,ns,54712
permutation__cmp__single_mult,MapPermutation,16,,,55377678.0,ns,55689
permutation__cmp__single_mult,MapPermutation,16,,,54207091.0,ns,56666
permutation__cmp__single_mult,MapPermutation,16,,,58803730.0,ns,57643
permutation__cmp__single_mult,MapPermutation,16,,,60597562.0,ns,58620
permutation__cmp__single_mult,MapPermutation,16,,,54593620.0,ns,59597
permutation__cmp__single_mult,MapPermutation,16,,,59411575.0,ns,60574
permutation__cmp__single_mult,MapPermutation,16,,,62510203.0,ns,61551
permutation__cmp__single_mult,MapPermutation,16,,,65016887.0,ns,62528
permutation__cmp__single_mult,MapPermutation,16,,,66790618.0,ns,63505
permutation__cmp__single_mult,MapPermutation,16,,,62593709.0,ns,64482
permutation__cmp__single_mult,MapPermutation,16,,,64054216.0,ns,65459
permutation__cmp__single_mult,MapPermutation,16,,,72186015.0,ns,66436
permutation__cmp__single_mult,MapPermutation,16,,,67521572.0,ns,67413
permutation__cmp__single_mult,MapPermutation,16,,,67305356.0,ns,68390
permutation__cmp__single_mult,MapPermutation,16,,,71098536.0,ns,69367
permutation__cmp__single_mult,MapPermutation,16,,,69720133.0,ns,70344
permutation__cmp__single_mult,MapPermutation,16,,,65098593.0,ns,71321
permutation__cmp__single_mult,MapPermutation,16,,,71133438.0,ns,72298
permutation__cmp__single_mult,MapPermutation,16,,,79755973.0,ns,73275
permutation__cmp__single_mult,MapPermutation,16,,,77916237.0,ns,74252
permutation__cmp__single_mult,MapPermutation,16,,,76289217.0,ns,75229
permutation__cmp__single_mult,MapPermutation,16,,,75411753.0,ns,76206
permutation__cmp__single_mult,MapPermutation,16,,,73615621.0,ns,77183
permutation__cmp__single_mult,MapPermutation,16,,,81883129.0,ns,78160
permutation__cmp__single_mult,MapPermutation,16,,,74599693.0,ns,79137
permutation__cmp__single_mult,MapPermutation,16,,,80365617.0,ns,80114
permutation__cmp__single_mult,MapPermutation,16,,,72378929.0,ns,81091
permutation__cmp__single_mult,MapPermutation,16,,,87568947.0,ns,82068
permutation__cmp__single_mult,MapPermutation,16,,,89540693.0,ns,83045
permutation__cmp__single_mult,MapPermutation,16,,,77692321.0,ns,84022
permutation__cmp__single_mult,MapPermutation,16,,,87705158.0,ns,84999
permutation__cmp__single_mult,MapPermutation,16,,,84335410.0,ns,85976
permutation__cmp__single_mult,MapPermutation,16,,,76820758.0,ns,86953
permutation__cmp__single_mult,MapPermutation,16,,,78426876.0,ns,87930
permutation__cmp__single_mult,MapPermutation,16,,,90443860.0,ns,88907
permutation__cmp__single_mult,MapPermutation,16,,,94159034.0,ns,89884
permutation__cmp__single_mult,MapPermutation,16,,,96403400.0,ns,90861
permutation__cmp__single_mult,MapPermutation,16,,,90126037.0,ns,91838
permutation__cmp__single_mult,MapPermutation,16,,,84023588.0,ns,92815
permutation__cmp__single_mult,MapPermutation,16,,,94335547.0,ns,93792
permutation__cmp__single_mult,MapPermutation,16,,,94459956.0,ns,94769
permutation__cmp__single_mult,MapPermutation,16,,,96384298.0,ns,95746
permutation__cmp__single_mult,MapPermutation,16,,,108459387.0,ns,96723
permutation__cmp__single_mult,MapPermutation,16,,,110985573.0,ns,97700
