group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,MapPermutation,32,,,1008862.0,ns,371
permutation__cmp__single_mult,MapPermutation,32,,,1919119.0,ns,742
permutation__cmp__single_mult,MapPermutation,32,,,2750070.0,ns,1113
permutation__cmp__single_mult,MapPermutation,32,,,3970346.0,ns,1484
permutation__cmp__single_mult,MapPermutation,32,,,4849500.0,ns,1855
permutation__cmp__single_mult,MapPermutation,32,,,5942468.0,ns,2226
permutation__cmp__single_mult,MapPermutation,32,,,6839623.0,ns,2597
permutation__cmp__single_mult,MapPermutation,32,,,7642872.0,ns,2968
permutation__cmp__single_mult,MapPermutation,32,,,8724539.0,ns,3339
permutation__cmp__single_mult,MapPermutation,32,,,9798206.0,ns,3710
permutation__cmp__single_mult,MapPermutation,32,,,10116926.0,ns,4081
permutation__cmp__single_mult,MapPermutation,32,,,11730825.0,ns,4452
permutation__cmp__single_mult,MapPermutation,32,,,13012305.0,ns,4823
permutation__cmp__single_mult,MapPermutation,32,,,14427292.0,ns,5194
permutation__cmp__single_mult,MapPermutation,32,,,14795414.0,ns,5565
permutation__cmp__single_mult,MapPermutation,32,,,16042492.0,ns,5936
permutation__cmp__single_mult,MapPermutation,32,,,16779338.0,ns,6307
permutation__cmp__single_mult,MapPermutation,32,,,16459018.0,ns,6678
permutation__cmp__single_mult,MapPermutation,32,,,18891368.0,ns,7049
permutation__cmp__single_mult,MapPermutation,32,,,19663716.0,ns,7420
permutation__cmp__single_mult,MapPermutation,32,,,19219688.0,ns,7791
permutation__cmp__single_mult,MapPermutation,32,,,20765684.0,ns,8162
permutation__cmp__single_mult,MapPermutation,32,,,23210335.0,ns,8533
permutation__cmp__single_mult,MapPermutation,32,,,22807610.0,ns,8904
permutation__cmp__single_mult,MapPermutation,32,,,24583620.0,ns,9275
permutation__cmp__single_mult,MapPermutation,32,,,23951382.0,ns,9646
permutation__cmp__single_mult,MapPermutation,32,,,26746554.0,ns,10017
permutation__cmp__single_mult,MapPermutation,32,,,26804058.0,ns,10388
permutation__cmp__single_mult,MapPermutation,32,,,28423257.0,ns,10759
permutation__cmp__single_mult,MapPermutation,32,,,28516163.0,ns,11130
permutation__cmp__single_mult,MapPermutation,32,,,26232922.0,ns,11501
permutation__cmp__single_mult,MapPermutation,32,,,30089260.0,ns,11872
permutation__cmp__single_mult,MapPermutation,32,,,32591715.0,ns,12243
permutation__cmp__single_mult,MapPermutation,32,,,34115609.0,ns,12614
permutation__cmp__single_mult,MapPermutation,32,,,33323060.0,ns,12985
permutation__cmp__single_mult,MapPermutation,32,,,35555199.0,ns,13356
permutation__cmp__single_mult,MapPermutation,32,,,33180251.0,ns,13727
permutation__cmp__single_mult,MapPermutation,32,,,36184437.0,ns,14098
permutation__cmp__single_mult,MapPermutation,32,,,37821239.0,ns,14469
permutation__cmp__single_mult,MapPermutation,32,,,39854064.0,ns,14840
permutation__cmp__single_mult,MapPermutation,32,,,39445438.0,ns,15211
permutation__cmp__single_mult,MapPermutation,32,,,41473864.0,ns,15582
permutation__cmp__single_mult,MapPermutation,32,,,41506667.0,ns,15953
permutation__cmp__single_mult,MapPermutation,32,,,43300877.0,ns,16324
permutation__cmp__single_mult,MapPermutation,32,,,43534291.0,ns,16695
permutation__cmp__single_mult,MapPermutation,32,,,43164068.0,ns,17066
permutation__cmp__single_mult,MapPermutation,32,,,45358404.0,ns,17437
permutation__cmp__single_mult,MapPermutation,32,,,46231558.0,ns,17808
permutation__cmp__single_mult,MapPermutation,32,,,49486060.0,ns,18179
permutation__cmp__single_mult,MapPermutation,32,,,48706212.0,ns,18550
permutation__cmp__single_mult,MapPermutation,32,,,48934625.0,ns,18921
permutation__cmp__single_mult,MapPermutation,32,,,51173164.0,ns,19292
permutation__cmp__single_mult,MapPermutation,32,,,52164525.0,ns,19663
permutation__cmp__single_mult,MapPermutation,32,,,50288209.0,ns,20034
permutation__cmp__single_mult,MapPermutation,32,,,51892508.0,ns,20405
permutation__cmp__single_mult,MapPermutation,32,,,53491907.0,ns,20776
permutation__cmp__single_mult,MapPermutation,32,,,56724006.0,ns,21147
permutation__cmp__single_mult,MapPermutation,32,,,54899394.0,ns,21518
permutation__cmp__single_mult,MapPermutation,32,,,58010486.0,ns,21889
permutation__cmp__single_mult,MapPermutation,32,,,57897879.0,ns,22260
permutation__cmp__single_mult,MapPermutation,32,,,56352184.0,ns,22631
permutation__cmp__single_mult,MapPermutation,32,,,60734954.0,ns,23002
permutation__cmp__single_mult,MapPermutation,32,,,61764018.0,ns,23373
permutation__cmp__single_mult,MapPermutation,32,,,61034273.0,ns,23744
permutation__cmp__single_mult,MapPermutation,32,,,65777766.0,ns,24115
permutation__cmp__single_mult,MapPermutation,32,,,62837384.0,ns,24486
permutation__cmp__single_mult,MapPermutation,32,,,64451284.0,ns,24857
permutation__cmp__single_mult,MapPermutation,32,,,64594193.0,ns,25228
permutation__cmp__single_mult,MapPermutation,32,,,69599402.0,ns,25599
permutation__cmp__single_mult,MapPermutation,32,,,67373664.0,ns,25970
permutation__cmp__single_mult,MapPermutation,32,,,64599592.0,ns,26341
permutation__cmp__single_mult,MapPermutation,32,,,72512081.0,ns,26712
permutation__cmp__single_mult,MapPermutation,32,,,73111519.0,ns,27083
permutation__cmp__single_mult,MapPermutation,32,,,67599478.0,ns,27454
permutation__cmp__single_mult,MapPermutation,32,,,75988197.0,ns,27825
permutation__cmp__single_mult,MapPermutation,32,,,76080402.0,ns,28196
permutation__cmp__single_mult,MapPermutation,32,,,76100803.0,ns,28567
permutation__cmp__single_mult,MapPermutation,32,,,77251274.0,ns,28938
permutation__cmp__single_mult,MapPermutation,32,,,79973543.0,ns,29309
permutation__cmp__single_mult,MapPermutation,32,,,76533630.0,ns,29680
permutation__cmp__single_mult,MapPermutation,32,,,80061048.0,ns,30051
permutation__cmp__single_mult,MapPermutation,32,,,81057709.0,ns,30422
permutation__cmp__single_mult,MapPermutation,32,,,81124213.0,ns,30793
permutation__cmp__single_mult,MapPermutation,32,,,79620020.0,ns,31164
permutation__cmp__single_mult,MapPermutation,32,,,81650445.0,ns,31535
permutation__cmp__single_mult,MapPermutation,32,,,89500530.0,ns,31906
permutation__cmp__single_mult,MapPermutation,32,,,87650716.0,ns,32277
permutation__cmp__single_mult,MapPermutation,32,,,82455695.0,ns,32648
permutation__cmp__single_mult,MapPermutation,32,,,85899608.0,ns,33019
permutation__cmp__single_mult,MapPermutation,32,,,84339111.0,ns,33390
permutation__cmp__single_mult,MapPermutation,32,,,87071580.0,ns,33761
permutation__cmp__single_mult,MapPermutation,32,,,92210298.0,ns,34132
permutation__cmp__single_mult,MapPermutation,32,,,87871430.0,ns,34503
permutation__cmp__single_mult,MapPermutation,32,,,91402048.0,ns,34874
permutation__cmp__single_mult,MapPermutation,32,,,89900154.0,ns,35245
permutation__cmp__single_mult,MapPermutation,32,,,90193572.0,ns,35616
permutation__cmp__single_mult,MapPermutation,32,,,99280133.0,ns,35987
permutation__cmp__single_mult,MapPermutation,32,,,99560851.0,ns,36358
permutation__cmp__single_mult,MapPermutation,32,,,100118186.0,ns,36729
permutation__cmp__single_mult,MapPermutation,32,,,87657216.0,ns,37100
