group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,StandardPermutation,32,,,1004063.0,ns,7568
permutation__cmp__single_mult,StandardPermutation,32,,,2003825.0,ns,15136
permutation__cmp__single_mult,StandardPermutation,32,,,2941284.0,ns,22704
permutation__cmp__single_mult,StandardPermutation,32,,,4020851.0,ns,30272
permutation__cmp__single_mult,StandardPermutation,32,,,5009812.0,ns,37840
permutation__cmp__single_mult,StandardPermutation,32,,,6018876.0,ns,45408
permutation__cmp__single_mult,StandardPermutation,32,,,7032838.0,ns,52976
permutation__cmp__single_mult,StandardPermutation,32,,,8036401.0,ns,60544
permutation__cmp__single_mult,StandardPermutation,32,,,9033963.0,ns,68112
permutation__cmp__single_mult,StandardPermutation,32,,,10034526.0,ns,75680
permutation__cmp__single_mult,StandardPermutation,32,,,11041589.0,ns,83248
permutation__cmp__single_mult,StandardPermutation,32,,,12023950.0,ns,90816
permutation__cmp__single_mult,StandardPermutation,32,,,13066515.0,ns,98384
permutation__cmp__single_mult,StandardPermutation,32,,,14042975.0,ns,105952
permutation__cmp__single_mult,StandardPermutation,32,,,15045638.0,ns,113520
permutation__cmp__single_mult,StandardPermutation,32,,,16073602.0,ns,121088
permutation__cmp__single_mult,StandardPermutation,32,,,17054664.0,ns,128656
permutation__cmp__single_mult,StandardPermutation,32,,,18071127.0,ns,136224
permutation__cmp__single_mult,StandardPermutation,32,,,19071089.0,ns,143792
permutation__cmp__single_mult,StandardPermutation,32,,,20081952.0,ns,151360
permutation__cmp__single_mult,StandardPermutation,32,,,21066613.0,ns,158928
permutation__cmp__single_mult,StandardPermutation,32,,,22073177.0,ns,166496
permutation__cmp__single_mult,StandardPermutation,32,,,23085139.0,ns,174064
permutation__cmp__single_mult,StandardPermutation,32,,,23861587.0,ns,181632
permutation__cmp__single_mult,StandardPermutation,32,,,25092964.0,ns,189200
permutation__cmp__single_mult,StandardPermutation,32,,,26109528.0,ns,196768
permutation__cmp__single_mult,StandardPermutation,32,,,27061887.0,ns,204336
permutation__cmp__single_mult,StandardPermutation,32,,,28109553.0,ns,211904
permutation__cmp__single_mult,StandardPermutation,32,,,29110015.0,ns,219472
permutation__cmp__single_mult,StandardPermutation,32,,,30105677.0,ns,227040
permutation__cmp__single_mult,StandardPermutation,32,,,31143342.0,ns,234608
permutation__cmp__single_mult,StandardPermutation,32,,,32107302.0,ns,242176
permutation__cmp__single_mult,StandardPermutation,32,,,33129566.0,ns,249744
permutation__cmp__single_mult,StandardPermutation,32,,,34116027.0,ns,257312
permutation__cmp__single_mult,StandardPermutation,32,,,35128791.0,ns,264880
permutation__cmp__single_mult,StandardPermutation,32,,,35556417.0,ns,272448
permutation__cmp__single_mult,StandardPermutation,32,,,37086913.0,ns,280016
permutation__cmp__single_mult,StandardPermutation,32,,,38086174.0,ns,287584
permutation__cmp__single_mult,StandardPermutation,32,,,39059335.0,ns,295152
