group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,StandardPermutation,8,,,984663.0,ns,11286
permutation__cmp__single_mult,StandardPermutation,8,,,1986527.0,ns,22572
permutation__cmp__single_mult,StandardPermutation,8,,,2902387.0,ns,33858
permutation__cmp__single_mult,StandardPermutation,8,,,3862448.0,ns,45144
permutation__cmp__single_mult,StandardPermutation,8,,,4895915.0,ns,56430
permutation__cmp__single_mult,StandardPermutation,8,,,5786772.0,ns,67716
permutation__cmp__single_mult,StandardPermutation,8,,,6837640.0,ns,79002
permutation__cmp__single_mult,StandardPermutation,8,,,7552186.0,ns,90288
permutation__cmp__single_mult,StandardPermutation,8,,,8868770.0,ns,101574
permutation__cmp__single_mult,StandardPermutation,8,,,9871335.0,ns,112860
permutation__cmp__single_mult,StandardPermutation,8,,,10838297.0,ns,124146
permutation__cmp__single_mult,StandardPermutation,8,,,12070376.0,ns,135432
permutation__cmp__single_mult,StandardPermutation,8,,,12591309.0,ns,146718
permutation__cmp__single_mult,StandardPermutation,8,,,13867092.0,ns,158004
permutation__cmp__single_mult,StandardPermutation,8,,,14518933.0,ns,169290
permutation__cmp__single_mult,StandardPermutation,8,,,15631905.0,ns,180576
permutation__cmp__single_mult,StandardPermutation,8,,,16556064.0,ns,191862
permutation__cmp__single_mult,StandardPermutation,8,,,17271210.0,ns,203148
permutation__cmp__single_mult,StandardPermutation,8,,,19251437.0,ns,214434
permutation__cmp__single_mult,StandardPermutation,8,,,19847676.0,ns,225720
permutation__cmp__single_mult,StandardPermutation,8,,,20298305.0,ns,237006
permutation__cmp__single_mult,StandardPermutation,8,,,21425677.0,ns,248292
permutation__cmp__single_mult,StandardPermutation,8,,,22345437.0,ns,259578
permutation__cmp__single_mult,StandardPermutation,8,,,24071448.0,ns,270864
permutation__cmp__single_mult,StandardPermutation,8,,,24689987.0,ns,282150
permutation__cmp__single_mult,StandardPermutation,8,,,26269789.0,ns,293436
permutation__cmp__single_mult,StandardPermutation,8,,,25758356.0,ns,304722
permutation__cmp__single_mult,StandardPermutation,8,,,27122144.0,ns,316008
permutation__cmp__single_mult,StandardPermutation,8,,,28155010.0,ns,327294
permutation__cmp__single_mult,StandardPermutation,8,,,29111372.0,ns,338580
permutation__cmp__single_mult,StandardPermutation,8,,,30030531.0,ns,349866
permutation__cmp__single_mult,StandardPermutation,8,,,31033895.0,ns,361152
permutation__cmp__single_mult,StandardPermutation,8,,,32077863.0,ns,372438
permutation__cmp__single_mult,StandardPermutation,8,,,33038624.0,ns,383724
permutation__cmp__single_mult,StandardPermutation,8,,,34065290.0,ns,395010
permutation__cmp__single_mult,StandardPermutation,8,,,35051354.0,ns,406296
permutation__cmp__single_mult,StandardPermutation,8,,,37302598.0,ns,417582
permutation__cmp__single_mult,StandardPermutation,8,,,38025145.0,ns,428868
permutation__cmp__single_mult,StandardPermutation,8,,,38462573.0,ns,440154
permutation__cmp__single_mult,StandardPermutation,8,,,39490239.0,ns,451440
permutation__cmp__single_mult,StandardPermutation,8,,,40477502.0,ns,462726
permutation__cmp__single_mult,StandardPermutation,8,,,41486866.0,ns,474012
permutation__cmp__single_mult,StandardPermutation,8,,,42971663.0,ns,485298
permutation__cmp__single_mult,StandardPermutation,8,,,43419891.0,ns,496584
permutation__cmp__single_mult,StandardPermutation,8,,,44477758.0,ns,507870
permutation__cmp__single_mult,StandardPermutation,8,,,45414419.0,ns,519156
permutation__cmp__single_mult,StandardPermutation,8,,,46418683.0,ns,530442
permutation__cmp__single_mult,StandardPermutation,8,,,47926881.0,ns,541728
permutation__cmp__single_mult,StandardPermutation,8,,,47536756.0,ns,553014
permutation__cmp__single_mult,StandardPermutation,8,,,48611124.0,ns,564300
permutation__cmp__single_mult,StandardPermutation,8,,,50514447.0,ns,575586
permutation__cmp__single_mult,StandardPermutation,8,,,50599953.0,ns,586872
permutation__cmp__single_mult,StandardPermutation,8,,,51502710.0,ns,598158
permutation__cmp__single_mult,StandardPermutation,8,,,54338393.0,ns,609444
permutation__cmp__single_mult,StandardPermutation,8,,,54571808.0,ns,620730
permutation__cmp__single_mult,StandardPermutation,8,,,55501467.0,ns,632016
permutation__cmp__single_mult,StandardPermutation,8,,,56356723.0,ns,643302
permutation__cmp__single_mult,StandardPermutation,8,,,57307783.0,ns,654588
permutation__cmp__single_mult,StandardPermutation,8,,,58229442.0,ns,665874
permutation__cmp__single_mult,StandardPermutation,8,,,60417484.0,ns,677160
permutation__cmp__single_mult,StandardPermutation,8,,,60331377.0,ns,688446
permutation__cmp__single_mult,StandardPermutation,8,,,62507417.0,ns,699732
permutation__cmp__single_mult,StandardPermutation,8,,,61298839.0,ns,711018
permutation__cmp__single_mult,StandardPermutation,8,,,62271702.0,ns,722304
permutation__cmp__single_mult,StandardPermutation,8,,,63281367.0,ns,733590
permutation__cmp__single_mult,StandardPermutation,8,,,64244128.0,ns,744876
permutation__cmp__single_mult,StandardPermutation,8,,,67623946.0,ns,756162
permutation__cmp__single_mult,StandardPermutation,8,,,67118213.0,ns,767448
permutation__cmp__single_mult,StandardPermutation,8,,,69317954.0,ns,778734
permutation__cmp__single_mult,StandardPermutation,8,,,69180046.0,ns,790020
permutation__cmp__single_mult,StandardPermutation,8,,,69973797.0,ns,801306
permutation__cmp__single_mult,StandardPermutation,8,,,71862918.0,ns,812592
permutation__cmp__single_mult,StandardPermutation,8,,,73280309.0,ns,823878
permutation__cmp__single_mult,StandardPermutation,8,,,73214005.0,ns,835164
permutation__cmp__single_mult,StandardPermutation,8,,,74054859.0,ns,846450
permutation__cmp__single_mult,StandardPermutation,8,,,75052722.0,ns,857736
permutation__cmp__single_mult,StandardPermutation,8,,,76776332.0,ns,869022
permutation__cmp__single_mult,StandardPermutation,8,,,76932243.0,ns,880308
permutation__cmp__single_mult,StandardPermutation,8,,,78664754.0,ns,891594
permutation__cmp__single_mult,StandardPermutation,8,,,79019276.0,ns,902880
permutation__cmp__single_mult,StandardPermutation,8,,,79983138.0,ns,914166
permutation__cmp__single_mult,StandardPermutation,8,,,81902462.0,ns,925452
permutation__cmp__single_mult,StandardPermutation,8,,,82431896.0,ns,936738
permutation__cmp__single_mult,StandardPermutation,8,,,84766746.0,ns,948024
permutation__cmp__single_mult,StandardPermutation,8,,,82492700.0,ns,959310
permutation__cmp__single_mult,StandardPermutation,8,,,86585163.0,ns,970596
permutation__cmp__single_mult,StandardPermutation,8,,,87288507.0,ns,981882
permutation__cmp__single_mult,StandardPermutation,8,,,86912882.0,ns,993168
permutation__cmp__single_mult,StandardPermutation,8,,,87682731.0,ns,1004454
permutation__cmp__single_mult,StandardPermutation,8,,,88808005.0,ns,1015740
permutation__cmp__single_mult,StandardPermutation,8,,,90113088.0,ns,1027026
permutation__cmp__single_mult,StandardPermutation,8,,,90694925.0,ns,1038312
permutation__cmp__single_mult,StandardPermutation,8,,,91696290.0,ns,1049598
permutation__cmp__single_mult,StandardPermutation,8,,,92773759.0,ns,1060884
permutation__cmp__single_mult,StandardPermutation,8,,,93717519.0,ns,1072170
permutation__cmp__single_mult,StandardPermutation,8,,,96738414.0,ns,1083456
permutation__cmp__single_mult,StandardPermutation,8,,,94189550.0,ns,1094742
permutation__cmp__single_mult,StandardPermutation,8,,,97330451.0,ns,1106028
permutation__cmp__single_mult,StandardPermutation,8,,,96209579.0,ns,1117314
permutation__cmp__single_mult,StandardPermutation,8,,,97249544.0,ns,1128600
