group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,SyncPermutation,256,,,999176.0,ns,716
permutation__cmp__single_mult,SyncPermutation,256,,,2043956.0,ns,1432
permutation__cmp__single_mult,SyncPermutation,256,,,3032331.0,ns,2148
permutation__cmp__single_mult,SyncPermutation,256,,,4029708.0,ns,2864
permutation__cmp__single_mult,SyncPermutation,256,,,5034585.0,ns,3580
permutation__cmp__single_mult,SyncPermutation,256,,,5828045.0,ns,4296
permutation__cmp__single_mult,SyncPermutation,256,,,6780418.0,ns,5012
permutation__cmp__single_mult,SyncPermutation,256,,,7639583.0,ns,5728
permutation__cmp__single_mult,SyncPermutation,256,,,8783371.0,ns,6444
permutation__cmp__single_mult,SyncPermutation,256,,,9895156.0,ns,7160
permutation__cmp__single_mult,SyncPermutation,256,,,10928435.0,ns,7876
permutation__cmp__single_mult,SyncPermutation,256,,,12032419.0,ns,8592
permutation__cmp__single_mult,SyncPermutation,256,,,12953689.0,ns,9308
permutation__cmp__single_mult,SyncPermutation,256,,,13846357.0,ns,10024
permutation__cmp__single_mult,SyncPermutation,256,,,14822632.0,ns,10740
permutation__cmp__single_mult,SyncPermutation,256,,,15443579.0,ns,11456
permutation__cmp__single_mult,SyncPermutation,256,,,16842487.0,ns,12172
permutation__cmp__single_mult,SyncPermutation,256,,,18094082.0,ns,12888
permutation__cmp__single_mult,SyncPermutation,256,,,18996551.0,ns,13604
permutation__cmp__single_mult,SyncPermutation,256,,,20061032.0,ns,14320
permutation__cmp__single_mult,SyncPermutation,256,,,20988003.0,ns,15036
permutation__cmp__single_mult,SyncPermutation,256,,,22064885.0,ns,15752
permutation__cmp__single_mult,SyncPermutation,256,,,22842845.0,ns,16468
permutation__cmp__single_mult,SyncPermutation,256,,,23588901.0,ns,17184
permutation__cmp__single_mult,SyncPermutation,256,,,24925503.0,ns,17900
permutation__cmp__single_mult,SyncPermutation,256,,,25629158.0,ns,18616
permutation__cmp__single_mult,SyncPermutation,256,,,26825548.0,ns,19332
permutation__cmp__single_mult,SyncPermutation,256,,,27513502.0,ns,20048
permutation__cmp__single_mult,SyncPermutation,256,,,28060444.0,ns,20764
permutation__cmp__single_mult,SyncPermutation,256,,,29883882.0,ns,21480
permutation__cmp__single_mult,SyncPermutation,256,,,30534732.0,ns,22196
permutation__cmp__single_mult,SyncPermutation,256,,,31520208.0,ns,22912
permutation__cmp__single_mult,SyncPermutation,256,,,32465179.0,ns,23628
permutation__cmp__single_mult,SyncPermutation,256,,,33576365.0,ns,24344
permutation__cmp__single_mult,SyncPermutation,256,,,34488134.0,ns,25060
permutation__cmp__single_mult,SyncPermutation,256,,,35152485.0,ns,25776
permutation__cmp__single_mult,SyncPermutation,256,,,36485287.0,ns,26492
permutation__cmp__single_mult,SyncPermutation,256,,,37687778.0,ns,27208
permutation__cmp__single_mult,SyncPermutation,256,,,38901171.0,ns,27924
permutation__cmp__single_mult,SyncPermutation,256,,,39880846.0,ns,28640
permutation__cmp__single_mult,SyncPermutation,256,,,41055136.0,ns,29356
permutation__cmp__single_mult,SyncPermutation,256,,,41465867.0,ns,30072
permutation__cmp__single_mult,SyncPermutation,256,,,41382461.0,ns,30788
permutation__cmp__single_mult,SyncPermutation,256,,,43061089.0,ns,31504
permutation__cmp__single_mult,SyncPermutation,256,,,44228077.0,ns,32220
permutation__cmp__single_mult,SyncPermutation,256,,,45748894.0,ns,32936
permutation__cmp__single_mult,SyncPermutation,256,,,47089096.0,ns,33652
permutation__cmp__single_mult,SyncPermutation,256,,,47978164.0,ns,34368
permutation__cmp__single_mult,SyncPermutation,256,,,49095850.0,ns,35084
permutation__cmp__single_mult,SyncPermutation,256,,,49484379.0,ns,35800
permutation__cmp__single_mult,SyncPermutation,256,,,53568891.0,ns,36516
permutation__cmp__single_mult,SyncPermutation,256,,,52066676.0,ns,37232
permutation__cmp__single_mult,SyncPermutation,256,,,52370900.0,ns,37948
permutation__cmp__single_mult,SyncPermutation,256,,,53178862.0,ns,38664
permutation__cmp__single_mult,SyncPermutation,256,,,54126434.0,ns,39380
permutation__cmp__single_mult,SyncPermutation,256,,,56019778.0,ns,40096
permutation__cmp__single_mult,SyncPermutation,256,,,55886068.0,ns,40812
permutation__cmp__single_mult,SyncPermutation,256,,,58152142.0,ns,41528
permutation__cmp__single_mult,SyncPermutation,256,,,59048409.0,ns,42244
permutation__cmp__single_mult,SyncPermutation,256,,,60098689.0,ns,42960
permutation__cmp__single_mult,SyncPermutation,256,,,61054663.0,ns,43676
permutation__cmp__single_mult,SyncPermutation,256,,,60854647.0,ns,44392
permutation__cmp__single_mult,SyncPermutation,256,,,62824299.0,ns,45108
permutation__cmp__single_mult,SyncPermutation,256,,,63440945.0,ns,45824
permutation__cmp__single_mult,SyncPermutation,256,,,64966961.0,ns,46540
permutation__cmp__single_mult,SyncPermutation,256,,,65846829.0,ns,47256
permutation__cmp__single_mult,SyncPermutation,256,,,66549583.0,ns,47972
permutation__cmp__single_mult,SyncPermutation,256,,,66957114.0,ns,48688
permutation__cmp__single_mult,SyncPermutation,256,,,68844758.0,ns,49404
permutation__cmp__single_mult,SyncPermutation,256,,,69264690.0,ns,50120
permutation__cmp__single_mult,SyncPermutation,256,,,68207309.0,ns,50836
permutation__cmp__single_mult,SyncPermutation,256,,,69281691.0,ns,51552
permutation__cmp__single_mult,SyncPermutation,256,,,71300945.0,ns,52268
permutation__cmp__single_mult,SyncPermutation,256,,,74033354.0,ns,52984
permutation__cmp__single_mult,SyncPermutation,256,,,75222045.0,ns,53700
permutation__cmp__single_mult,SyncPermutation,256,,,76131715.0,ns,54416
permutation__cmp__single_mult,SyncPermutation,256,,,76942776.0,ns,55132
permutation__cmp__single_mult,SyncPermutation,256,,,75892496.0,ns,55848
permutation__cmp__single_mult,SyncPermutation,256,,,76664555.0,ns,56564
permutation__cmp__single_mult,SyncPermutation,256,,,79485970.0,ns,57280
permutation__cmp__single_mult,SyncPermutation,256,,,80787270.0,ns,57996
permutation__cmp__single_mult,SyncPermutation,256,,,81143098.0,ns,58712
permutation__cmp__single_mult,SyncPermutation,256,,,82933033.0,ns,59428
permutation__cmp__single_mult,SyncPermutation,256,,,83659589.0,ns,60144
permutation__cmp__single_mult,SyncPermutation,256,,,83824502.0,ns,60860
permutation__cmp__single_mult,SyncPermutation,256,,,85243110.0,ns,61576
permutation__cmp__single_mult,SyncPermutation,256,,,87089852.0,ns,62292
permutation__cmp__single_mult,SyncPermutation,256,,,86933039.0,ns,63008
permutation__cmp__single_mult,SyncPermutation,256,,,88892389.0,ns,63724
permutation__cmp__single_mult,SyncPermutation,256,,,89018399.0,ns,64440
permutation__cmp__single_mult,SyncPermutation,256,,,90984449.0,ns,65156
permutation__cmp__single_mult,SyncPermutation,256,,,92231844.0,ns,65872
permutation__cmp__single_mult,SyncPermutation,256,,,93126313.0,ns,66588
