group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,SyncPermutation,32,,,1007975.0,ns,3222
permutation__cmp__single_mult,SyncPermutation,32,,,2044052.0,ns,6444
permutation__cmp__single_mult,SyncPermutation,32,,,3038525.0,ns,9666
permutation__cmp__single_mult,SyncPermutation,32,,,4042000.0,ns,12888
permutation__cmp__single_mult,SyncPermutation,32,,,4829558.0,ns,16110
permutation__cmp__single_mult,SyncPermutation,32,,,6109853.0,ns,19332
permutation__cmp__single_mult,SyncPermutation,32,,,7056924.0,ns,22554
permutation__cmp__single_mult,SyncPermutation,32,,,8256813.0,ns,25776
permutation__cmp__single_mult,SyncPermutation,32,,,9057272.0,ns,28998
permutation__cmp__single_mult,SyncPermutation,32,,,10237460.0,ns,32220
permutation__cmp__single_mult,SyncPermutation,32,,,10834304.0,ns,35442
permutation__cmp__single_mult,SyncPermutation,32,,,12378719.0,ns,38664
permutation__cmp__single_mult,SyncPermutation,32,,,12875956.0,ns,41886
permutation__cmp__single_mult,SyncPermutation,32,,,14649287.0,ns,45108
permutation__cmp__single_mult,SyncPermutation,32,,,14914307.0,ns,48330
permutation__cmp__single_mult,SyncPermutation,32,,,16443420.0,ns,51552
permutation__cmp__single_mult,SyncPermutation,32,,,17202476.0,ns,54774
permutation__cmp__single_mult,SyncPermutation,32,,,18690288.0,ns,57996
permutation__cmp__single_mult,SyncPermutation,32,,,18655384.0,ns,61218
permutation__cmp__single_mult,SyncPermutation,32,,,20511122.0,ns,64440
permutation__cmp__single_mult,SyncPermutation,32,,,20628531.0,ns,67662
permutation__cmp__single_mult,SyncPermutation,32,,,22814994.0,ns,70884
permutation__cmp__single_mult,SyncPermutation,32,,,22060037.0,ns,74106
permutation__cmp__single_mult,SyncPermutation,32,,,24017483.0,ns,77328
permutation__cmp__single_mult,SyncPermutation,32,,,24669431.0,ns,80550
permutation__cmp__single_mult,SyncPermutation,32,,,26456364.0,ns,83772
permutation__cmp__single_mult,SyncPermutation,32,,,25902422.0,ns,86994
permutation__cmp__single_mult,SyncPermutation,32,,,27910371.0,ns,90216
permutation__cmp__single_mult,SyncPermutation,32,,,29252971.0,ns,93438
permutation__cmp__single_mult,SyncPermutation,32,,,29233769.0,ns,96660
permutation__cmp__single_mult,SyncPermutation,32,,,31335025.0,ns,99882
permutation__cmp__single_mult,SyncPermutation,32,,,31831063.0,ns,103104
permutation__cmp__single_mult,SyncPermutation,32,,,33139860.0,ns,106326
permutation__cmp__single_mult,SyncPermutation,32,,,34066128.0,ns,109548
permutation__cmp__single_mult,SyncPermutation,32,,,35318422.0,ns,112770
permutation__cmp__single_mult,SyncPermutation,32,,,35970869.0,ns,115992
permutation__cmp__single_mult,SyncPermutation,32,,,36830233.0,ns,119214
permutation__cmp__single_mult,SyncPermutation,32,,,37986820.0,ns,122436
permutation__cmp__single_mult,SyncPermutation,32,,,38591764.0,ns,125658
permutation__cmp__single_mult,SyncPermutation,32,,,40196883.0,ns,128880
permutation__cmp__single_mult,SyncPermutation,32,,,39878459.0,ns,132102
permutation__cmp__single_mult,SyncPermutation,32,,,42021518.0,ns,135324
permutation__cmp__single_mult,SyncPermutation,32,,,42695568.0,ns,138546
permutation__cmp__single_mult,SyncPermutation,32,,,43369418.0,ns,141768
permutation__cmp__single_mult,SyncPermutation,32,,,42631363.0,ns,144990
permutation__cmp__single_mult,SyncPermutation,32,,,40594213.0,ns,148212
permutation__cmp__single_mult,SyncPermutation,32,,,48596107.0,ns,151434
permutation__cmp__single_mult,SyncPermutation,32,,,46480949.0,ns,154656
permutation__cmp__single_mult,SyncPermutation,32,,,49998010.0,ns,157878
permutation__cmp__single_mult,SyncPermutation,32,,,50441143.0,ns,161100
permutation__cmp__single_mult,SyncPermutation,32,,,51590929.0,ns,164322
permutation__cmp__single_mult,SyncPermutation,32,,,51359411.0,ns,167544
permutation__cmp__single_mult,SyncPermutation,32,,,54697259.0,ns,170766
permutation__cmp__single_mult,SyncPermutation,32,,,54139118.0,ns,173988
permutation__cmp__single_mult,SyncPermutation,32,,,55903248.0,ns,177210
permutation__cmp__single_mult,SyncPermutation,32,,,53575476.0,ns,180432
permutation__cmp__single_mult,SyncPermutation,32,,,58758061.0,ns,183654
permutation__cmp__single_mult,SyncPermutation,32,,,57121640.0,ns,186876
permutation__cmp__single_mult,SyncPermutation,32,,,51222701.0,ns,190098
permutation__cmp__single_mult,SyncPermutation,32,,,60194267.0,ns,193320
permutation__cmp__single_mult,SyncPermutation,32,,,60781011.0,ns,196542
permutation__cmp__single_mult,SyncPermutation,32,,,62326225.0,ns,199764
permutation__cmp__single_mult,SyncPermutation,32,,,62693852.0,ns,202986
permutation__cmp__single_mult,SyncPermutation,32,,,64522188.0,ns,206208
permutation__cmp__single_mult,SyncPermutation,32,,,64881015.0,ns,209430
permutation__cmp__single_mult,SyncPermutation,32,,,66030801.0,ns,212652
permutation__cmp__single_mult,SyncPermutation,32,,,65472259.0,ns,215874
permutation__cmp__single_mult,SyncPermutation,32,,,68929816.0,ns,219096
permutation__cmp__single_mult,SyncPermutation,32,,,69543962.0,ns,222318
permutation__cmp__single_mult,SyncPermutation,32,,,71788728.0,ns,225540
permutation__cmp__single_mult,SyncPermutation,32,,,69836283.0,ns,228762
permutation__cmp__single_mult,SyncPermutation,32,,,71716423.0,ns,231984
