group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,WordPermutation,16,,,1008474.0,ns,5964
permutation__cmp__single_mult,WordPermutation,16,,,2029150.0,ns,11928
permutation__cmp__single_mult,WordPermutation,16,,,2990620.0,ns,17892
permutation__cmp__single_mult,WordPermutation,16,,,4046398.0,ns,23856
permutation__cmp__single_mult,WordPermutation,16,,,5103876.0,ns,29820
permutation__cmp__single_mult,WordPermutation,16,,,6055946.0,ns,35784
permutation__cmp__single_mult,WordPermutation,16,,,7084621.0,ns,41748
permutation__cmp__single_mult,WordPermutation,16,,,8009289.0,ns,47712
permutation__cmp__single_mult,WordPermutation,16,,,9066667.0,ns,53676
permutation__cmp__single_mult,WordPermutation,16,,,10048640.0,ns,59640
permutation__cmp__single_mult,WordPermutation,16,,,11214226.0,ns,65604
permutation__cmp__single_mult,WordPermutation,16,,,12013685.0,ns,71568
permutation__cmp__single_mult,WordPermutation,16,,,13222974.0,ns,77532
permutation__cmp__single_mult,WordPermutation,16,,,14083837.0,ns,83496
permutation__cmp__single_mult,WordPermutation,16,,,15142215.0,ns,89460
permutation__cmp__single_mult,WordPermutation,16,,,15846267.0,ns,95424
permutation__cmp__single_mult,WordPermutation,16,,,16880644.0,ns,101388
permutation__cmp__single_mult,WordPermutation,16,,,18164638.0,ns,107352
permutation__cmp__single_mult,WordPermutation,16,,,19137009.0,ns,113316
permutation__cmp__single_mult,WordPermutation,16,,,20083579.0,ns,119280
permutation__cmp__single_mult,WordPermutation,16,,,21183860.0,ns,125244
permutation__cmp__single_mult,WordPermutation,16,,,21758703.0,ns,131208
permutation__cmp__single_mult,WordPermutation,16,,,22783578.0,ns,137172
permutation__cmp__single_mult,WordPermutation,16,,,24053271.0,ns,143136
permutation__cmp__single_mult,WordPermutation,16,,,24832229.0,ns,149100
permutation__cmp__single_mult,WordPermutation,16,,,26427546.0,ns,155064
permutation__cmp__single_mult,WordPermutation,16,,,27110597.0,ns,161028
permutation__cmp__single_mult,WordPermutation,16,,,26909782.0,ns,166992
permutation__cmp__single_mult,WordPermutation,16,,,28920731.0,ns,172956
permutation__cmp__single_mult,WordPermutation,16,,,30370437.0,ns,178920
permutation__cmp__single_mult,WordPermutation,16,,,30826170.0,ns,184884
permutation__cmp__single_mult,WordPermutation,16,,,31813143.0,ns,190848
permutation__cmp__single_mult,WordPermutation,16,,,32996330.0,ns,196812
permutation__cmp__single_mult,WordPermutation,16,,,33731285.0,ns,202776
permutation__cmp__single_mult,WordPermutation,16,,,34593248.0,ns,208740
permutation__cmp__single_mult,WordPermutation,16,,,35217494.0,ns,214704
permutation__cmp__single_mult,WordPermutation,16,,,36122961.0,ns,220668
permutation__cmp__single_mult,WordPermutation,16,,,36825213.0,ns,226632
permutation__cmp__single_mult,WordPermutation,16,,,36220968.0,ns,232596
permutation__cmp__single_mult,WordPermutation,16,,,40176659.0,ns,238560
permutation__cmp__single_mult,WordPermutation,16,,,39767329.0,ns,244524
permutation__cmp__single_mult,WordPermutation,16,,,42500031.0,ns,250488
permutation__cmp__single_mult,WordPermutation,16,,,43470702.0,ns,256452
permutation__cmp__single_mult,WordPermutation,16,,,43811427.0,ns,262416
permutation__cmp__single_mult,WordPermutation,16,,,45078520.0,ns,268380
permutation__cmp__single_mult,WordPermutation,16,,,45828375.0,ns,274344
permutation__cmp__single_mult,WordPermutation,16,,,47253081.0,ns,280308
permutation__cmp__single_mult,WordPermutation,16,,,48410166.0,ns,286272
permutation__cmp__single_mult,WordPermutation,16,,,48491771.0,ns,292236
permutation__cmp__single_mult,WordPermutation,16,,,50190596.0,ns,298200
permutation__cmp__single_mult,WordPermutation,16,,,51640903.0,ns,304164
permutation__cmp__single_mult,WordPermutation,16,,,52383959.0,ns,310128
permutation__cmp__single_mult,WordPermutation,16,,,51977028.0,ns,316092
permutation__cmp__single_mult,WordPermutation,16,,,54404107.0,ns,322056
permutation__cmp__single_mult,WordPermutation,16,,,54987350.0,ns,328020
permutation__cmp__single_mult,WordPermutation,16,,,56492961.0,ns,333984
permutation__cmp__single_mult,WordPermutation,16,,,57626345.0,ns,339948
permutation__cmp__single_mult,WordPermutation,16,,,58471307.0,ns,345912
permutation__cmp__single_mult,WordPermutation,16,,,59423577.0,ns,351876
permutation__cmp__single_mult,WordPermutation,16,,,60651067.0,ns,357840
permutation__cmp__single_mult,WordPermutation,16,,,61894359.0,ns,363804
permutation__cmp__single_mult,WordPermutation,16,,,61922461.0,ns,369768
permutation__cmp__single_mult,WordPermutation,16,,,63416071.0,ns,375732
permutation__cmp__single_mult,WordPermutation,16,,,64318437.0,ns,381696
permutation__cmp__single_mult,WordPermutation,16,,,64358440.0,ns,387660
permutation__cmp__single_mult,WordPermutation,16,,,66745016.0,ns,393624
permutation__cmp__single_mult,WordPermutation,16,,,67146446.0,ns,399588
permutation__cmp__single_mult,WordPermutation,16,,,67162947.0,ns,405552
permutation__cmp__single_mult,WordPermutation,16,,,68400739.0,ns,411516
permutation__cmp__single_mult,WordPermutation,16,,,68810168.0,ns,417480
permutation__cmp__single_mult,WordPermutation,16,,,67356061.0,ns,423444
permutation__cmp__single_mult,WordPermutation,16,,,70183270.0,ns,429408
permutation__cmp__single_mult,WordPermutation,16,,,71965201.0,ns,435372
permutation__cmp__single_mult,WordPermutation,16,,,74082756.0,ns,441336
permutation__cmp__single_mult,WordPermutation,16,,,75107632.0,ns,447300
permutation__cmp__single_mult,WordPermutation,16,,,76416528.0,ns,453264
permutation__cmp__single_mult,WordPermutation,16,,,76717750.0,ns,459228
permutation__cmp__single_mult,WordPermutation,16,,,75158436.0,ns,465192
permutation__cmp__single_mult,WordPermutation,16,,,75116933.0,ns,471156
permutation__cmp__single_mult,WordPermutation,16,,,80398522.0,ns,477120
permutation__cmp__single_mult,WordPermutation,16,,,81984839.0,ns,483084
permutation__cmp__single_mult,WordPermutation,16,,,81815127.0,ns,489048
permutation__cmp__single_mult,WordPermutation,16,,,82721093.0,ns,495012
