group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__single_mult,WordPermutation,32,,,1017277.0,ns,5949
permutation__cmp__single_mult,WordPermutation,32,,,2027852.0,ns,11898
permutation__cmp__single_mult,WordPermutation,32,,,3028627.0,ns,17847
permutation__cmp__single_mult,WordPermutation,32,,,3625873.0,ns,23796
permutation__cmp__single_mult,WordPermutation,32,,,4728056.0,ns,29745
permutation__cmp__single_mult,WordPermutation,32,,,5846240.0,ns,35694
permutation__cmp__single_mult,WordPermutation,32,,,6952523.0,ns,41643
permutation__cmp__single_mult,WordPermutation,32,,,7881292.0,ns,47592
permutation__cmp__single_mult,WordPermutation,32,,,9055080.0,ns,53541
permutation__cmp__single_mult,WordPermutation,32,,,10035554.0,ns,59490
permutation__cmp__single_mult,WordPermutation,32,,,11140138.0,ns,65439
permutation__cmp__single_mult,WordPermutation,32,,,12055307.0,ns,71388
permutation__cmp__single_mult,WordPermutation,32,,,12911770.0,ns,77337
permutation__cmp__single_mult,WordPermutation,32,,,14066357.0,ns,83286
permutation__cmp__single_mult,WordPermutation,32,,,15177441.0,ns,89235
permutation__cmp__single_mult,WordPermutation,32,,,16078509.0,ns,95184
permutation__cmp__single_mult,WordPermutation,32,,,16372731.0,ns,101133
permutation__cmp__single_mult,WordPermutation,32,,,18137164.0,ns,107082
permutation__cmp__single_mult,WordPermutation,32,,,19242647.0,ns,113031
permutation__cmp__single_mult,WordPermutation,32,,,20180317.0,ns,118980
permutation__cmp__single_mult,WordPermutation,32,,,21100987.0,ns,124929
permutation__cmp__single_mult,WordPermutation,32,,,20924873.0,ns,130878
permutation__cmp__single_mult,WordPermutation,32,,,22419186.0,ns,136827
permutation__cmp__single_mult,WordPermutation,32,,,24038807.0,ns,142776
permutation__cmp__single_mult,WordPermutation,32,,,24940075.0,ns,148725
permutation__cmp__single_mult,WordPermutation,32,,,25931150.0,ns,154674
permutation__cmp__single_mult,WordPermutation,32,,,27212946.0,ns,160623
permutation__cmp__single_mult,WordPermutation,32,,,27801590.0,ns,166572
permutation__cmp__single_mult,WordPermutation,32,,,29005381.0,ns,172521
