group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__exp,multijoin,32,,,1000453.0,ns,456
permutation__exp,multijoin,32,,,1996006.0,ns,912
permutation__exp,multijoin,32,,,3013460.0,ns,1368
permutation__exp,multijoin,32,,,3946810.0,ns,1824
permutation__exp,multijoin,32,,,5032867.0,ns,2280
permutation__exp,multijoin,32,,,6229130.0,ns,2736
permutation__exp,multijoin,32,,,7366891.0,ns,3192
permutation__exp,multijoin,32,,,8494751.0,ns,3648
permutation__exp,multijoin,32,,,9016678.0,ns,4104
permutation__exp,multijoin,32,,,10032332.0,ns,4560
permutation__exp,multijoin,32,,,11020885.0,ns,5016
permutation__exp,multijoin,32,,,12282652.0,ns,5472
permutation__exp,multijoin,32,,,12874383.0,ns,5928
permutation__exp,multijoin,32,,,13836434.0,ns,6384
permutation__exp,multijoin,32,,,14817686.0,ns,6840
permutation__exp,multijoin,32,,,16043051.0,ns,7296
permutation__exp,multijoin,32,,,16974600.0,ns,7752
permutation__exp,multijoin,32,,,18092059.0,ns,8208
permutation__exp,multijoin,32,,,18751895.0,ns,8664
permutation__exp,multijoin,32,,,19928457.0,ns,9120
permutation__exp,multijoin,32,,,20763402.0,ns,9576
permutation__exp,multijoin,32,,,21712652.0,ns,10032
permutation__exp,multijoin,32,,,22689203.0,ns,10488
permutation__exp,multijoin,32,,,25403148.0,ns,10944
permutation__exp,multijoin,32,,,24922922.0,ns,11400
permutation__exp,multijoin,32,,,27365552.0,ns,11856
permutation__exp,multijoin,32,,,26776718.0,ns,12312
permutation__exp,multijoin,32,,,27254144.0,ns,12768
permutation__exp,multijoin,32,,,29543865.0,ns,13224
permutation__exp,multijoin,32,,,30164297.0,ns,13680
permutation__exp,multijoin,32,,,31626975.0,ns,14136
permutation__exp,multijoin,32,,,32213106.0,ns,14592
permutation__exp,multijoin,32,,,32642629.0,ns,15048
permutation__exp,multijoin,32,,,33639282.0,ns,15504
permutation__exp,multijoin,32,,,34633234.0,ns,15960
permutation__exp,multijoin,32,,,36198818.0,ns,16416
permutation__exp,multijoin,32,,,36580237.0,ns,16872
permutation__exp,multijoin,32,,,37534388.0,ns,17328
permutation__exp,multijoin,32,,,38551642.0,ns,17784
permutation__exp,multijoin,32,,,39508393.0,ns,18240
permutation__exp,multijoin,32,,,40539647.0,ns,18696
permutation__exp,multijoin,32,,,42541853.0,ns,19152
permutation__exp,multijoin,32,,,42489850.0,ns,19608
permutation__exp,multijoin,32,,,46290752.0,ns,20064
permutation__exp,multijoin,32,,,44484256.0,ns,20520
permutation__exp,multijoin,32,,,47882236.0,ns,20976
permutation__exp,multijoin,32,,,48663278.0,ns,21432
permutation__exp,multijoin,32,,,48199353.0,ns,21888
permutation__exp,multijoin,32,,,48421464.0,ns,22344
permutation__exp,multijoin,32,,,49418618.0,ns,22800
permutation__exp,multijoin,32,,,50378968.0,ns,23256
permutation__exp,multijoin,32,,,51417522.0,ns,23712
permutation__exp,multijoin,32,,,55162217.0,ns,24168
permutation__exp,multijoin,32,,,54269270.0,ns,24624
permutation__exp,multijoin,32,,,55405830.0,ns,25080
permutation__exp,multijoin,32,,,56475186.0,ns,25536
permutation__exp,multijoin,32,,,58985820.0,ns,25992
permutation__exp,multijoin,32,,,57294130.0,ns,26448
permutation__exp,multijoin,32,,,58284082.0,ns,26904
permutation__exp,multijoin,32,,,60422096.0,ns,27360
permutation__exp,multijoin,32,,,63198542.0,ns,27816
permutation__exp,multijoin,32,,,61209337.0,ns,28272
permutation__exp,multijoin,32,,,64106390.0,ns,28728
permutation__exp,multijoin,32,,,64072388.0,ns,29184
permutation__exp,multijoin,32,,,64842229.0,ns,29640
permutation__exp,multijoin,32,,,65238550.0,ns,30096
permutation__exp,multijoin,32,,,66261704.0,ns,30552
permutation__exp,multijoin,32,,,70111108.0,ns,31008
permutation__exp,multijoin,32,,,68232803.0,ns,31464
permutation__exp,multijoin,32,,,73814498.0,ns,31920
permutation__exp,multijoin,32,,,74982059.0,ns,32376
permutation__exp,multijoin,32,,,72334420.0,ns,32832
permutation__exp,multijoin,32,,,72199013.0,ns,33288
permutation__exp,multijoin,32,,,74816951.0,ns,33744
permutation__exp,multijoin,32,,,74139115.0,ns,34200
permutation__exp,multijoin,32,,,76296429.0,ns,34656
permutation__exp,multijoin,32,,,76092218.0,ns,35112
permutation__exp,multijoin,32,,,77022468.0,ns,35568
permutation__exp,multijoin,32,,,77924315.0,ns,36024
permutation__exp,multijoin,32,,,84925684.0,ns,36480
permutation__exp,multijoin,32,,,85834133.0,ns,36936
permutation__exp,multijoin,32,,,81073776.0,ns,37392
permutation__exp,multijoin,32,,,83414598.0,ns,37848
permutation__exp,multijoin,32,,,83079381.0,ns,38304
permutation__exp,multijoin,32,,,84060033.0,ns,38760
permutation__exp,multijoin,32,,,86360153.0,ns,39216
permutation__exp,multijoin,32,,,86025436.0,ns,39672
permutation__exp,multijoin,32,,,87424109.0,ns,40128
permutation__exp,multijoin,32,,,88014641.0,ns,40584
permutation__exp,multijoin,32,,,88998693.0,ns,41040
permutation__exp,multijoin,32,,,91404520.0,ns,41496
permutation__exp,multijoin,32,,,91205009.0,ns,41952
permutation__exp,multijoin,32,,,91808439.0,ns,42408
permutation__exp,multijoin,32,,,92829987.0,ns,42864
permutation__exp,multijoin,32,,,96635388.0,ns,43320
permutation__exp,multijoin,32,,,94850094.0,ns,43776
permutation__exp,multijoin,32,,,95770842.0,ns,44232
permutation__exp,multijoin,32,,,96704892.0,ns,44688
permutation__exp,multijoin,32,,,99451836.0,ns,45144
permutation__exp,multijoin,32,,,100261779.0,ns,45600
