group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__exp,multijoin,512,,,1315096.0,ns,3
permutation__exp,multijoin,512,,,2613291.0,ns,6
permutation__exp,multijoin,512,,,3947589.0,ns,9
permutation__exp,multijoin,512,,,5260484.0,ns,12
permutation__exp,multijoin,512,,,6490474.0,ns,15
permutation__exp,multijoin,512,,,7838172.0,ns,18
permutation__exp,multijoin,512,,,9173670.0,ns,21
permutation__exp,multijoin,512,,,10486866.0,ns,24
permutation__exp,multijoin,512,,,11769560.0,ns,27
permutation__exp,multijoin,512,,,13124459.0,ns,30
permutation__exp,multijoin,512,,,14378551.0,ns,33
permutation__exp,multijoin,512,,,15763551.0,ns,36
permutation__exp,multijoin,512,,,16869133.0,ns,39
permutation__exp,multijoin,512,,,18022316.0,ns,42
permutation__exp,multijoin,512,,,19242006.0,ns,45
permutation__exp,multijoin,512,,,20896027.0,ns,48
permutation__exp,multijoin,512,,,21825994.0,ns,51
permutation__exp,multijoin,512,,,23514718.0,ns,54
permutation__exp,multijoin,512,,,24740408.0,ns,57
permutation__exp,multijoin,512,,,25812486.0,ns,60
permutation__exp,multijoin,512,,,27049976.0,ns,63
permutation__exp,multijoin,512,,,28372473.0,ns,66
permutation__exp,multijoin,512,,,29793377.0,ns,69
permutation__exp,multijoin,512,,,31368292.0,ns,72
permutation__exp,multijoin,512,,,32171451.0,ns,75
permutation__exp,multijoin,512,,,33419341.0,ns,78
permutation__exp,multijoin,512,,,34916851.0,ns,81
permutation__exp,multijoin,512,,,36040133.0,ns,84
permutation__exp,multijoin,512,,,37396032.0,ns,87
permutation__exp,multijoin,512,,,39453182.0,ns,90
permutation__exp,multijoin,512,,,40025624.0,ns,93
permutation__exp,multijoin,512,,,41875759.0,ns,96
permutation__exp,multijoin,512,,,43152753.0,ns,99
permutation__exp,multijoin,512,,,44543854.0,ns,102
permutation__exp,multijoin,512,,,46896226.0,ns,105
permutation__exp,multijoin,512,,,47378362.0,ns,108
permutation__exp,multijoin,512,,,48675856.0,ns,111
permutation__exp,multijoin,512,,,49903246.0,ns,114
permutation__exp,multijoin,512,,,51048129.0,ns,117
permutation__exp,multijoin,512,,,52409229.0,ns,120
permutation__exp,multijoin,512,,,52944968.0,ns,123
permutation__exp,multijoin,512,,,53811332.0,ns,126
permutation__exp,multijoin,512,,,55981990.0,ns,129
permutation__exp,multijoin,512,,,59163523.0,ns,132
permutation__exp,multijoin,512,,,57965635.0,ns,135
permutation__exp,multijoin,512,,,58939406.0,ns,138
permutation__exp,multijoin,512,,,60230400.0,ns,141
permutation__exp,multijoin,512,,,61370983.0,ns,144
permutation__exp,multijoin,512,,,63964673.0,ns,147
permutation__exp,multijoin,512,,,63058507.0,ns,150
permutation__exp,multijoin,512,,,66372749.0,ns,153
permutation__exp,multijoin,512,,,67210511.0,ns,156
permutation__exp,multijoin,512,,,69153352.0,ns,159
permutation__exp,multijoin,512,,,69518179.0,ns,162
permutation__exp,multijoin,512,,,69864505.0,ns,165
permutation__exp,multijoin,512,,,70171127.0,ns,168
permutation__exp,multijoin,512,,,73296855.0,ns,171
permutation__exp,multijoin,512,,,75729632.0,ns,174
permutation__exp,multijoin,512,,,75605524.0,ns,177
permutation__exp,multijoin,512,,,75957949.0,ns,180
permutation__exp,multijoin,512,,,78981870.0,ns,183
permutation__exp,multijoin,512,,,80039648.0,ns,186
permutation__exp,multijoin,512,,,80071850.0,ns,189
permutation__exp,multijoin,512,,,83796521.0,ns,192
permutation__exp,multijoin,512,,,85098817.0,ns,195
permutation__exp,multijoin,512,,,86552523.0,ns,198
permutation__exp,multijoin,512,,,87779613.0,ns,201
permutation__exp,multijoin,512,,,88962699.0,ns,204
permutation__exp,multijoin,512,,,90595819.0,ns,207
permutation__exp,multijoin,512,,,88871192.0,ns,210
permutation__exp,multijoin,512,,,92446253.0,ns,213
permutation__exp,multijoin,512,,,93474129.0,ns,216
permutation__exp,multijoin,512,,,94075173.0,ns,219
permutation__exp,multijoin,512,,,96702065.0,ns,222
permutation__exp,multijoin,512,,,98334184.0,ns,225
permutation__exp,multijoin,512,,,98586202.0,ns,228
permutation__exp,multijoin,512,,,100805465.0,ns,231
permutation__exp,multijoin,512,,,102083558.0,ns,234
permutation__exp,multijoin,512,,,103727878.0,ns,237
permutation__exp,multijoin,512,,,103973896.0,ns,240
permutation__exp,multijoin,512,,,104786655.0,ns,243
permutation__exp,multijoin,512,,,105023673.0,ns,246
permutation__exp,multijoin,512,,,106734698.0,ns,249
permutation__exp,multijoin,512,,,108544230.0,ns,252
permutation__exp,multijoin,512,,,110672485.0,ns,255
permutation__exp,multijoin,512,,,111210725.0,ns,258
permutation__exp,multijoin,512,,,112720435.0,ns,261
permutation__exp,multijoin,512,,,111643556.0,ns,264
permutation__exp,multijoin,512,,,115683752.0,ns,267
permutation__exp,multijoin,512,,,117595491.0,ns,270
permutation__exp,multijoin,512,,,115440093.0,ns,273
permutation__exp,multijoin,512,,,117687055.0,ns,276
permutation__exp,multijoin,512,,,120273780.0,ns,279
permutation__exp,multijoin,512,,,122797505.0,ns,282
permutation__exp,multijoin,512,,,124080517.0,ns,285
permutation__exp,multijoin,512,,,125845035.0,ns,288
permutation__exp,multijoin,512,,,125630632.0,ns,291
permutation__exp,multijoin,512,,,127361049.0,ns,294
permutation__exp,multijoin,512,,,129661272.0,ns,297
permutation__exp,multijoin,512,,,130274978.0,ns,300
