group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__exp,pow,128,,,1011175.0,ns,329
permutation__exp,pow,128,,,2028451.0,ns,658
permutation__exp,pow,128,,,2984721.0,ns,987
permutation__exp,pow,128,,,4053500.0,ns,1316
permutation__exp,pow,128,,,4964968.0,ns,1645
permutation__exp,pow,128,,,5460904.0,ns,1974
permutation__exp,pow,128,,,6991018.0,ns,2303
permutation__exp,pow,128,,,8031694.0,ns,2632
permutation__exp,pow,128,,,9029969.0,ns,2961
permutation__exp,pow,128,,,9987140.0,ns,3290
permutation__exp,pow,128,,,10476676.0,ns,3619
permutation__exp,pow,128,,,12092396.0,ns,3948
permutation__exp,pow,128,,,12762446.0,ns,4277
permutation__exp,pow,128,,,13964034.0,ns,4606
permutation__exp,pow,128,,,15292232.0,ns,4935
permutation__exp,pow,128,,,16170397.0,ns,5264
permutation__exp,pow,128,,,16911052.0,ns,5593
permutation__exp,pow,128,,,18204148.0,ns,5922
permutation__exp,pow,128,,,19136217.0,ns,6251
permutation__exp,pow,128,,,19610652.0,ns,6580
permutation__exp,pow,128,,,20511019.0,ns,6909
permutation__exp,pow,128,,,21871219.0,ns,7238
permutation__exp,pow,128,,,23154514.0,ns,7567
permutation__exp,pow,128,,,23948573.0,ns,7896
permutation__exp,pow,128,,,25077057.0,ns,8225
permutation__exp,pow,128,,,26178539.0,ns,8554
permutation__exp,pow,128,,,27158412.0,ns,8883
permutation__exp,pow,128,,,28137484.0,ns,9212
permutation__exp,pow,128,,,28938843.0,ns,9541
permutation__exp,pow,128,,,30074027.0,ns,9870
permutation__exp,pow,128,,,30611867.0,ns,10199
permutation__exp,pow,128,,,29888413.0,ns,10528
permutation__exp,pow,128,,,33284465.0,ns,10857
permutation__exp,pow,128,,,34113927.0,ns,11186
permutation__exp,pow,128,,,35646140.0,ns,11515
permutation__exp,pow,128,,,36319790.0,ns,11844
permutation__exp,pow,128,,,36937036.0,ns,12173
permutation__exp,pow,128,,,36217582.0,ns,12502
permutation__exp,pow,128,,,39218504.0,ns,12831
permutation__exp,pow,128,,,38709367.0,ns,13160
permutation__exp,pow,128,,,40907229.0,ns,13489
permutation__exp,pow,128,,,42147622.0,ns,13818
permutation__exp,pow,128,,,42461945.0,ns,14147
permutation__exp,pow,128,,,40817323.0,ns,14476
permutation__exp,pow,128,,,44812219.0,ns,14805
permutation__exp,pow,128,,,45347758.0,ns,15134
permutation__exp,pow,128,,,46108614.0,ns,15463
permutation__exp,pow,128,,,46804366.0,ns,15792
permutation__exp,pow,128,,,49452163.0,ns,16121
permutation__exp,pow,128,,,49658877.0,ns,16450
permutation__exp,pow,128,,,48984427.0,ns,16779
permutation__exp,pow,128,,,50365430.0,ns,17108
permutation__exp,pow,128,,,52590395.0,ns,17437
permutation__exp,pow,128,,,54305522.0,ns,17766
permutation__exp,pow,128,,,55696025.0,ns,18095
permutation__exp,pow,128,,,56753903.0,ns,18424
permutation__exp,pow,128,,,55683823.0,ns,18753
permutation__exp,pow,128,,,57344046.0,ns,19082
permutation__exp,pow,128,,,58607440.0,ns,19411
permutation__exp,pow,128,,,59730624.0,ns,19740
permutation__exp,pow,128,,,60661792.0,ns,20069
permutation__exp,pow,128,,,61604962.0,ns,20398
permutation__exp,pow,128,,,62458526.0,ns,20727
permutation__exp,pow,128,,,64266159.0,ns,21056
permutation__exp,pow,128,,,64168152.0,ns,21385
permutation__exp,pow,128,,,66358914.0,ns,21714
permutation__exp,pow,128,,,67689613.0,ns,22043
permutation__exp,pow,128,,,68476671.0,ns,22372
permutation__exp,pow,128,,,69929478.0,ns,22701
permutation__exp,pow,128,,,69671559.0,ns,23030
permutation__exp,pow,128,,,70662433.0,ns,23359
permutation__exp,pow,128,,,71530397.0,ns,23688
permutation__exp,pow,128,,,72734686.0,ns,24017
permutation__exp,pow,128,,,73460940.0,ns,24346
permutation__exp,pow,128,,,74164392.0,ns,24675
permutation__exp,pow,128,,,76243846.0,ns,25004
permutation__exp,pow,128,,,77496239.0,ns,25333
permutation__exp,pow,128,,,78790034.0,ns,25662
permutation__exp,pow,128,,,78946346.0,ns,25991
permutation__exp,pow,128,,,79332375.0,ns,26320
permutation__exp,pow,128,,,80573167.0,ns,26649
permutation__exp,pow,128,,,82352699.0,ns,26978
permutation__exp,pow,128,,,83224764.0,ns,27307
permutation__exp,pow,128,,,83541387.0,ns,27636
permutation__exp,pow,128,,,83420977.0,ns,27965
permutation__exp,pow,128,,,86372293.0,ns,28294
permutation__exp,pow,128,,,85463026.0,ns,28623
permutation__exp,pow,128,,,86614911.0,ns,28952
permutation__exp,pow,128,,,88916681.0,ns,29281
permutation__exp,pow,128,,,89608333.0,ns,29610
permutation__exp,pow,128,,,90054966.0,ns,29939
permutation__exp,pow,128,,,91830598.0,ns,30268
permutation__exp,pow,128,,,92465544.0,ns,30597
permutation__exp,pow,128,,,95224348.0,ns,30926
permutation__exp,pow,128,,,95523570.0,ns,31255
permutation__exp,pow,128,,,95490668.0,ns,31584
permutation__exp,pow,128,,,97841142.0,ns,31913
permutation__exp,pow,128,,,98526793.0,ns,32242
permutation__exp,pow,128,,,99637975.0,ns,32571
permutation__exp,pow,128,,,100825963.0,ns,32900
