group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__exp,pow,32,,,988354.0,ns,1716
permutation__exp,pow,32,,,1959306.0,ns,3432
permutation__exp,pow,32,,,3171371.0,ns,5148
permutation__exp,pow,32,,,3938913.0,ns,6864
permutation__exp,pow,32,,,5110177.0,ns,8580
permutation__exp,pow,32,,,5907620.0,ns,10296
permutation__exp,pow,32,,,6899174.0,ns,12012
permutation__exp,pow,32,,,7773922.0,ns,13728
permutation__exp,pow,32,,,8854180.0,ns,15444
permutation__exp,pow,32,,,9854135.0,ns,17160
permutation__exp,pow,32,,,10810186.0,ns,18876
permutation__exp,pow,32,,,11687634.0,ns,20592
permutation__exp,pow,32,,,12802894.0,ns,22308
permutation__exp,pow,32,,,14039562.0,ns,24024
permutation__exp,pow,32,,,14741199.0,ns,25740
permutation__exp,pow,32,,,16019669.0,ns,27456
permutation__exp,pow,32,,,16702906.0,ns,29172
permutation__exp,pow,32,,,17729862.0,ns,30888
permutation__exp,pow,32,,,18719915.0,ns,32604
permutation__exp,pow,32,,,19680167.0,ns,34320
permutation__exp,pow,32,,,20653720.0,ns,36036
permutation__exp,pow,32,,,21620772.0,ns,37752
permutation__exp,pow,32,,,22560724.0,ns,39468
permutation__exp,pow,32,,,23270062.0,ns,41184
permutation__exp,pow,32,,,24617235.0,ns,42900
permutation__exp,pow,32,,,25547585.0,ns,44616
permutation__exp,pow,32,,,26509138.0,ns,46332
permutation__exp,pow,32,,,27564395.0,ns,48048
permutation__exp,pow,32,,,28973671.0,ns,49764
permutation__exp,pow,32,,,31038484.0,ns,51480
permutation__exp,pow,32,,,30568557.0,ns,53196
permutation__exp,pow,32,,,31478908.0,ns,54912
permutation__exp,pow,32,,,32419958.0,ns,56628
permutation__exp,pow,32,,,33469515.0,ns,58344
permutation__exp,pow,32,,,34445368.0,ns,60060
permutation__exp,pow,32,,,35361018.0,ns,61776
permutation__exp,pow,32,,,36301969.0,ns,63492
permutation__exp,pow,32,,,37440630.0,ns,65208
permutation__exp,pow,32,,,38320278.0,ns,66924
permutation__exp,pow,32,,,39312732.0,ns,68640
permutation__exp,pow,32,,,40350489.0,ns,70356
permutation__exp,pow,32,,,41243335.0,ns,72072
permutation__exp,pow,32,,,42395596.0,ns,73788
permutation__exp,pow,32,,,43236141.0,ns,75504
permutation__exp,pow,32,,,44143090.0,ns,77220
permutation__exp,pow,32,,,44828927.0,ns,78936
permutation__exp,pow,32,,,46228703.0,ns,80652
permutation__exp,pow,32,,,47163553.0,ns,82368
permutation__exp,pow,32,,,48280814.0,ns,84084
permutation__exp,pow,32,,,49227765.0,ns,85800
permutation__exp,pow,32,,,50206618.0,ns,87516
permutation__exp,pow,32,,,51080166.0,ns,89232
permutation__exp,pow,32,,,55897626.0,ns,90948
permutation__exp,pow,32,,,52990269.0,ns,92664
permutation__exp,pow,32,,,53990924.0,ns,94380
permutation__exp,pow,32,,,54997777.0,ns,96096
permutation__exp,pow,32,,,56019433.0,ns,97812
permutation__exp,pow,32,,,56971585.0,ns,99528
permutation__exp,pow,32,,,60607481.0,ns,101244
permutation__exp,pow,32,,,58869988.0,ns,102960
permutation__exp,pow,32,,,59953346.0,ns,104676
permutation__exp,pow,32,,,60930794.0,ns,106392
permutation__exp,pow,32,,,62009352.0,ns,108108
permutation__exp,pow,32,,,62927702.0,ns,109824
permutation__exp,pow,32,,,63939156.0,ns,111540
permutation__exp,pow,32,,,64832704.0,ns,113256
permutation__exp,pow,32,,,65926964.0,ns,114972
permutation__exp,pow,32,,,66830412.0,ns,116688
permutation__exp,pow,32,,,67967773.0,ns,118404
permutation__exp,pow,32,,,69930180.0,ns,120120
permutation__exp,pow,32,,,69740170.0,ns,121836
permutation__exp,pow,32,,,70744124.0,ns,123552
permutation__exp,pow,32,,,71723077.0,ns,125268
permutation__exp,pow,32,,,72792035.0,ns,126984
permutation__exp,pow,32,,,73683483.0,ns,128700
permutation__exp,pow,32,,,74602031.0,ns,130416
permutation__exp,pow,32,,,75586579.0,ns,132132
permutation__exp,pow,32,,,76724440.0,ns,133848
permutation__exp,pow,32,,,77585387.0,ns,135564
permutation__exp,pow,32,,,78712148.0,ns,137280
permutation__exp,pow,32,,,79565594.0,ns,138996
permutation__exp,pow,32,,,80615950.0,ns,140712
permutation__exp,pow,32,,,81521300.0,ns,142428
permutation__exp,pow,32,,,82452549.0,ns,144144
permutation__exp,pow,32,,,83728819.0,ns,145860
permutation__exp,pow,32,,,84566963.0,ns,147576
permutation__exp,pow,32,,,84508760.0,ns,149292
permutation__exp,pow,32,,,85405309.0,ns,151008
permutation__exp,pow,32,,,90002651.0,ns,152724
permutation__exp,pow,32,,,88311458.0,ns,154440
permutation__exp,pow,32,,,89389116.0,ns,156156
permutation__exp,pow,32,,,90464274.0,ns,157872
permutation__exp,pow,32,,,91412325.0,ns,159588
permutation__exp,pow,32,,,92414779.0,ns,161304
permutation__exp,pow,32,,,93256624.0,ns,163020
permutation__exp,pow,32,,,105996811.0,ns,164736
permutation__exp,pow,32,,,95498746.0,ns,166452
permutation__exp,pow,32,,,96364592.0,ns,168168
permutation__exp,pow,32,,,97387646.0,ns,169884
permutation__exp,pow,32,,,98166381.0,ns,171600
