group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__inv_prod,default,512,,,995374.0,ns,429
permutation__inv_prod,default,512,,,1991648.0,ns,858
permutation__inv_prod,default,512,,,3021025.0,ns,1287
permutation__inv_prod,default,512,,,4077003.0,ns,1716
permutation__inv_prod,default,512,,,5067275.0,ns,2145
permutation__inv_prod,default,512,,,5746026.0,ns,2574
permutation__inv_prod,default,512,,,6992819.0,ns,3003
permutation__inv_prod,default,512,,,7821180.0,ns,3432
permutation__inv_prod,default,512,,,9018668.0,ns,3861
permutation__inv_prod,default,512,,,10017243.0,ns,4290
permutation__inv_prod,default,512,,,10899108.0,ns,4719
permutation__inv_prod,default,512,,,11852379.0,ns,5148
permutation__inv_prod,default,512,,,13039067.0,ns,5577
permutation__inv_prod,default,512,,,13842127.0,ns,6006
permutation__inv_prod,default,512,,,15027014.0,ns,6435
permutation__inv_prod,default,512,,,15936782.0,ns,6864
permutation__inv_prod,default,512,,,17006161.0,ns,7293
permutation__inv_prod,default,512,,,17938130.0,ns,7722
permutation__inv_prod,default,512,,,18499872.0,ns,8151
permutation__inv_prod,default,512,,,19894075.0,ns,8580
permutation__inv_prod,default,512,,,20507621.0,ns,9009
permutation__inv_prod,default,512,,,21434090.0,ns,9438
permutation__inv_prod,default,512,,,22122341.0,ns,9867
permutation__inv_prod,default,512,,,23942175.0,ns,10296
permutation__inv_prod,default,512,,,24983953.0,ns,10725
permutation__inv_prod,default,512,,,25538094.0,ns,11154
permutation__inv_prod,default,512,,,26888994.0,ns,11583
permutation__inv_prod,default,512,,,27926871.0,ns,12012
permutation__inv_prod,default,512,,,28912344.0,ns,12441
permutation__inv_prod,default,512,,,29716104.0,ns,12870
permutation__inv_prod,default,512,,,30817885.0,ns,13299
permutation__inv_prod,default,512,,,31769253.0,ns,13728
permutation__inv_prod,default,512,,,32750627.0,ns,14157
permutation__inv_prod,default,512,,,34227736.0,ns,14586
permutation__inv_prod,default,512,,,35021795.0,ns,15015
permutation__inv_prod,default,512,,,35950264.0,ns,15444
permutation__inv_prod,default,512,,,37095649.0,ns,15873
permutation__inv_prod,default,512,,,37739696.0,ns,16302
permutation__inv_prod,default,512,,,38870280.0,ns,16731
permutation__inv_prod,default,512,,,39770946.0,ns,17160
permutation__inv_prod,default,512,,,40133074.0,ns,17589
permutation__inv_prod,default,512,,,41820898.0,ns,18018
permutation__inv_prod,default,512,,,42445045.0,ns,18447
permutation__inv_prod,default,512,,,43368913.0,ns,18876
permutation__inv_prod,default,512,,,44771617.0,ns,19305
permutation__inv_prod,default,512,,,45872699.0,ns,19734
permutation__inv_prod,default,512,,,46099516.0,ns,20163
permutation__inv_prod,default,512,,,46917675.0,ns,20592
permutation__inv_prod,default,512,,,49040733.0,ns,21021
permutation__inv_prod,default,512,,,49741385.0,ns,21450
permutation__inv_prod,default,512,,,50049608.0,ns,21879
permutation__inv_prod,default,512,,,51179692.0,ns,22308
permutation__inv_prod,default,512,,,52750508.0,ns,22737
