group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__inv_prod,default,8,,,967739.0,ns,5510
permutation__inv_prod,default,8,,,1934878.0,ns,11020
permutation__inv_prod,default,8,,,2903718.0,ns,16530
permutation__inv_prod,default,8,,,3851556.0,ns,22040
permutation__inv_prod,default,8,,,4814995.0,ns,27550
permutation__inv_prod,default,8,,,5931140.0,ns,33060
permutation__inv_prod,default,8,,,6845877.0,ns,38570
permutation__inv_prod,default,8,,,7784215.0,ns,44080
permutation__inv_prod,default,8,,,8911560.0,ns,49590
permutation__inv_prod,default,8,,,9774196.0,ns,55100
permutation__inv_prod,default,8,,,10889941.0,ns,60610
permutation__inv_prod,default,8,,,11842279.0,ns,66120
permutation__inv_prod,default,8,,,12767417.0,ns,71630
permutation__inv_prod,default,8,,,13832059.0,ns,77140
permutation__inv_prod,default,8,,,14465686.0,ns,82650
permutation__inv_prod,default,8,,,15391523.0,ns,88160
permutation__inv_prod,default,8,,,16429165.0,ns,93670
permutation__inv_prod,default,8,,,17648814.0,ns,99180
permutation__inv_prod,default,8,,,18587352.0,ns,104690
permutation__inv_prod,default,8,,,19295681.0,ns,110200
permutation__inv_prod,default,8,,,20500530.0,ns,115710
permutation__inv_prod,default,8,,,21288061.0,ns,121220
permutation__inv_prod,default,8,,,22214999.0,ns,126730
permutation__inv_prod,default,8,,,23506851.0,ns,132240
permutation__inv_prod,default,8,,,24530493.0,ns,137750
permutation__inv_prod,default,8,,,25553734.0,ns,143260
permutation__inv_prod,default,8,,,26071555.0,ns,148770
permutation__inv_prod,default,8,,,27052795.0,ns,154280
permutation__inv_prod,default,8,,,27980932.0,ns,159790
permutation__inv_prod,default,8,,,28938371.0,ns,165300
permutation__inv_prod,default,8,,,29967213.0,ns,170810
permutation__inv_prod,default,8,,,30906051.0,ns,176320
permutation__inv_prod,default,8,,,31775186.0,ns,181830
permutation__inv_prod,default,8,,,32857229.0,ns,187340
permutation__inv_prod,default,8,,,33900272.0,ns,192850
permutation__inv_prod,default,8,,,34821509.0,ns,198360
permutation__inv_prod,default,8,,,35975756.0,ns,203870
permutation__inv_prod,default,8,,,37223706.0,ns,209380
permutation__inv_prod,default,8,,,38132943.0,ns,214890
permutation__inv_prod,default,8,,,39161384.0,ns,220400
permutation__inv_prod,default,8,,,40201427.0,ns,225910
permutation__inv_prod,default,8,,,41130365.0,ns,231420
permutation__inv_prod,default,8,,,41541181.0,ns,236930
permutation__inv_prod,default,8,,,42994237.0,ns,242440
permutation__inv_prod,default,8,,,43500655.0,ns,247950
permutation__inv_prod,default,8,,,45307728.0,ns,253460
permutation__inv_prod,default,8,,,46275166.0,ns,258970
permutation__inv_prod,default,8,,,47086199.0,ns,264480
permutation__inv_prod,default,8,,,48050038.0,ns,269990
permutation__inv_prod,default,8,,,48852071.0,ns,275500
permutation__inv_prod,default,8,,,50153223.0,ns,281010
permutation__inv_prod,default,8,,,50879752.0,ns,286520
permutation__inv_prod,default,8,,,51986297.0,ns,292030
permutation__inv_prod,default,8,,,53087741.0,ns,297540
permutation__inv_prod,default,8,,,54105883.0,ns,303050
permutation__inv_prod,default,8,,,54977917.0,ns,308560
permutation__inv_prod,default,8,,,55998158.0,ns,314070
permutation__inv_prod,default,8,,,56873295.0,ns,319580
permutation__inv_prod,default,8,,,56976298.0,ns,325090
permutation__inv_prod,default,8,,,57996139.0,ns,330600
permutation__inv_prod,default,8,,,58884975.0,ns,336110
permutation__inv_prod,default,8,,,60105724.0,ns,341620
permutation__inv_prod,default,8,,,60905554.0,ns,347130
permutation__inv_prod,default,8,,,61837387.0,ns,352640
permutation__inv_prod,default,8,,,62770824.0,ns,358150
permutation__inv_prod,default,8,,,63802266.0,ns,363660
permutation__inv_prod,default,8,,,65563336.0,ns,369170
permutation__inv_prod,default,8,,,65754944.0,ns,374680
permutation__inv_prod,default,8,,,66692782.0,ns,380190
permutation__inv_prod,default,8,,,67772326.0,ns,385700
permutation__inv_prod,default,8,,,68667361.0,ns,391210
permutation__inv_prod,default,8,,,69600299.0,ns,396720
permutation__inv_prod,default,8,,,70626940.0,ns,402230
permutation__inv_prod,default,8,,,71534477.0,ns,407740
permutation__inv_prod,default,8,,,72538917.0,ns,413250
permutation__inv_prod,default,8,,,73529256.0,ns,418760
permutation__inv_prod,default,8,,,74589899.0,ns,424270
permutation__inv_prod,default,8,,,76079653.0,ns,429780
permutation__inv_prod,default,8,,,76362061.0,ns,435290
permutation__inv_prod,default,8,,,77388202.0,ns,440800
permutation__inv_prod,default,8,,,78401243.0,ns,446310
permutation__inv_prod,default,8,,,79340781.0,ns,451820
permutation__inv_prod,default,8,,,81285958.0,ns,457330
permutation__inv_prod,default,8,,,82315900.0,ns,462840
permutation__inv_prod,default,8,,,83409544.0,ns,468350
permutation__inv_prod,default,8,,,84506388.0,ns,473860
permutation__inv_prod,default,8,,,85219517.0,ns,479370
permutation__inv_prod,default,8,,,86431064.0,ns,484880
permutation__inv_prod,default,8,,,87645313.0,ns,490390
permutation__inv_prod,default,8,,,88535644.0,ns,495900
permutation__inv_prod,default,8,,,89413674.0,ns,501410
permutation__inv_prod,default,8,,,90266208.0,ns,506920
permutation__inv_prod,default,8,,,91337950.0,ns,512430
permutation__inv_prod,default,8,,,92029579.0,ns,517940
permutation__inv_prod,default,8,,,93295128.0,ns,523450
permutation__inv_prod,default,8,,,92625402.0,ns,528960
permutation__inv_prod,default,8,,,93601141.0,ns,534470
permutation__inv_prod,default,8,,,94731787.0,ns,539980
permutation__inv_prod,default,8,,,95688324.0,ns,545490
permutation__inv_prod,default,8,,,97924614.0,ns,551000
