group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__inv_prod,prod_of_inv,128,,,1015675.0,ns,920
permutation__inv_prod,prod_of_inv,128,,,2012349.0,ns,1840
permutation__inv_prod,prod_of_inv,128,,,3055626.0,ns,2760
permutation__inv_prod,prod_of_inv,128,,,4065200.0,ns,3680
permutation__inv_prod,prod_of_inv,128,,,4890161.0,ns,4600
permutation__inv_prod,prod_of_inv,128,,,6046746.0,ns,5520
permutation__inv_prod,prod_of_inv,128,,,6757399.0,ns,6440
permutation__inv_prod,prod_of_inv,128,,,7662565.0,ns,7360
permutation__inv_prod,prod_of_inv,128,,,8846754.0,ns,8280
permutation__inv_prod,prod_of_inv,128,,,9647512.0,ns,9200
permutation__inv_prod,prod_of_inv,128,,,10669188.0,ns,10120
permutation__inv_prod,prod_of_inv,128,,,11056016.0,ns,11040
permutation__inv_prod,prod_of_inv,128,,,12513024.0,ns,11960
permutation__inv_prod,prod_of_inv,128,,,13910328.0,ns,12880
permutation__inv_prod,prod_of_inv,128,,,14996807.0,ns,13800
permutation__inv_prod,prod_of_inv,128,,,15992581.0,ns,14720
permutation__inv_prod,prod_of_inv,128,,,16732536.0,ns,15640
permutation__inv_prod,prod_of_inv,128,,,17419186.0,ns,16560
permutation__inv_prod,prod_of_inv,128,,,19173816.0,ns,17480
permutation__inv_prod,prod_of_inv,128,,,20151488.0,ns,18400
permutation__inv_prod,prod_of_inv,128,,,21013852.0,ns,19320
permutation__inv_prod,prod_of_inv,128,,,21906817.0,ns,20240
permutation__inv_prod,prod_of_inv,128,,,23187313.0,ns,21160
permutation__inv_prod,prod_of_inv,128,,,24213588.0,ns,22080
permutation__inv_prod,prod_of_inv,128,,,25076146.0,ns,23000
permutation__inv_prod,prod_of_inv,128,,,26143314.0,ns,23920
permutation__inv_prod,prod_of_inv,128,,,27090682.0,ns,24840
permutation__inv_prod,prod_of_inv,128,,,27847238.0,ns,25760
permutation__inv_prod,prod_of_inv,128,,,29014023.0,ns,26680
permutation__inv_prod,prod_of_inv,128,,,29881187.0,ns,27600
permutation__inv_prod,prod_of_inv,128,,,31125878.0,ns,28520
permutation__inv_prod,prod_of_inv,128,,,31853931.0,ns,29440
permutation__inv_prod,prod_of_inv,128,,,32903908.0,ns,30360
permutation__inv_prod,prod_of_inv,128,,,34145499.0,ns,31280
permutation__inv_prod,prod_of_inv,128,,,35060966.0,ns,32200
permutation__inv_prod,prod_of_inv,128,,,36202649.0,ns,33120
permutation__inv_prod,prod_of_inv,128,,,36010536.0,ns,34040
permutation__inv_prod,prod_of_inv,128,,,37153620.0,ns,34960
permutation__inv_prod,prod_of_inv,128,,,37992681.0,ns,35880
permutation__inv_prod,prod_of_inv,128,,,40274247.0,ns,36800
permutation__inv_prod,prod_of_inv,128,,,40934996.0,ns,37720
permutation__inv_prod,prod_of_inv,128,,,41879565.0,ns,38640
permutation__inv_prod,prod_of_inv,128,,,42816833.0,ns,39560
permutation__inv_prod,prod_of_inv,128,,,43926615.0,ns,40480
permutation__inv_prod,prod_of_inv,128,,,44455553.0,ns,41400
permutation__inv_prod,prod_of_inv,128,,,45891759.0,ns,42320
permutation__inv_prod,prod_of_inv,128,,,46431998.0,ns,43240
permutation__inv_prod,prod_of_inv,128,,,48211928.0,ns,44160
permutation__inv_prod,prod_of_inv,128,,,49220602.0,ns,45080
permutation__inv_prod,prod_of_inv,128,,,49797945.0,ns,46000
permutation__inv_prod,prod_of_inv,128,,,50855122.0,ns,46920
permutation__inv_prod,prod_of_inv,128,,,51812392.0,ns,47840
permutation__inv_prod,prod_of_inv,128,,,53177692.0,ns,48760
permutation__inv_prod,prod_of_inv,128,,,54072157.0,ns,49680
permutation__inv_prod,prod_of_inv,128,,,55068530.0,ns,50600
permutation__inv_prod,prod_of_inv,128,,,56080104.0,ns,51520
permutation__inv_prod,prod_of_inv,128,,,57159383.0,ns,52440
permutation__inv_prod,prod_of_inv,128,,,57899838.0,ns,53360
permutation__inv_prod,prod_of_inv,128,,,58299066.0,ns,54280
permutation__inv_prod,prod_of_inv,128,,,58962915.0,ns,55200
permutation__inv_prod,prod_of_inv,128,,,61000165.0,ns,56120
permutation__inv_prod,prod_of_inv,128,,,61548704.0,ns,57040
permutation__inv_prod,prod_of_inv,128,,,63190424.0,ns,57960
permutation__inv_prod,prod_of_inv,128,,,64339109.0,ns,58880
permutation__inv_prod,prod_of_inv,128,,,64881648.0,ns,59800
permutation__inv_prod,prod_of_inv,128,,,66490466.0,ns,60720
permutation__inv_prod,prod_of_inv,128,,,66849993.0,ns,61640
permutation__inv_prod,prod_of_inv,128,,,66907796.0,ns,62560
permutation__inv_prod,prod_of_inv,128,,,68860040.0,ns,63480
permutation__inv_prod,prod_of_inv,128,,,69539389.0,ns,64400
permutation__inv_prod,prod_of_inv,128,,,70526161.0,ns,65320
permutation__inv_prod,prod_of_inv,128,,,70174736.0,ns,66240
permutation__inv_prod,prod_of_inv,128,,,72574111.0,ns,67160
permutation__inv_prod,prod_of_inv,128,,,72173582.0,ns,68080
permutation__inv_prod,prod_of_inv,128,,,72225885.0,ns,69000
permutation__inv_prod,prod_of_inv,128,,,75293610.0,ns,69920
permutation__inv_prod,prod_of_inv,128,,,74740869.0,ns,70840
permutation__inv_prod,prod_of_inv,128,,,76940731.0,ns,71760
permutation__inv_prod,prod_of_inv,128,,,79273602.0,ns,72680
permutation__inv_prod,prod_of_inv,128,,,80360881.0,ns,73600
permutation__inv_prod,prod_of_inv,128,,,81355754.0,ns,74520
permutation__inv_prod,prod_of_inv,128,,,82004901.0,ns,75440
permutation__inv_prod,prod_of_inv,128,,,82652449.0,ns,76360
permutation__inv_prod,prod_of_inv,128,,,71008697.0,ns,77280
permutation__inv_prod,prod_of_inv,128,,,84022949.0,ns,78200
permutation__inv_prod,prod_of_inv,128,,,87009368.0,ns,79120
permutation__inv_prod,prod_of_inv,128,,,87412597.0,ns,80040
permutation__inv_prod,prod_of_inv,128,,,88536079.0,ns,80960
permutation__inv_prod,prod_of_inv,128,,,88047944.0,ns,81880
permutation__inv_prod,prod_of_inv,128,,,89877777.0,ns,82800
permutation__inv_prod,prod_of_inv,128,,,88136851.0,ns,83720
permutation__inv_prod,prod_of_inv,128,,,90318409.0,ns,84640
permutation__inv_prod,prod_of_inv,128,,,89482048.0,ns,85560
permutation__inv_prod,prod_of_inv,128,,,89872077.0,ns,86480
permutation__inv_prod,prod_of_inv,128,,,92645980.0,ns,87400
permutation__inv_prod,prod_of_inv,128,,,93330931.0,ns,88320
permutation__inv_prod,prod_of_inv,128,,,94618925.0,ns,89240
permutation__inv_prod,prod_of_inv,128,,,95555593.0,ns,90160
permutation__inv_prod,prod_of_inv,128,,,98917639.0,ns,91080
permutation__inv_prod,prod_of_inv,128,,,99096253.0,ns,92000
