group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__inv_prod,prod_of_inv,512,,,965280.0,ns,400
permutation__inv_prod,prod_of_inv,512,,,1948960.0,ns,800
permutation__inv_prod,prod_of_inv,512,,,2923740.0,ns,1200
permutation__inv_prod,prod_of_inv,512,,,3965626.0,ns,1600
permutation__inv_prod,prod_of_inv,512,,,4985910.0,ns,2000
permutation__inv_prod,prod_of_inv,512,,,5893785.0,ns,2400
permutation__inv_prod,prod_of_inv,512,,,6862464.0,ns,2800
permutation__inv_prod,prod_of_inv,512,,,7849245.0,ns,3200
permutation__inv_prod,prod_of_inv,512,,,8894731.0,ns,3600
permutation__inv_prod,prod_of_inv,512,,,9861811.0,ns,4000
permutation__inv_prod,prod_of_inv,512,,,10846992.0,ns,4400
permutation__inv_prod,prod_of_inv,512,,,11869376.0,ns,4800
permutation__inv_prod,prod_of_inv,512,,,12834155.0,ns,5200
permutation__inv_prod,prod_of_inv,512,,,13990050.0,ns,5600
permutation__inv_prod,prod_of_inv,512,,,14839220.0,ns,6000
permutation__inv_prod,prod_of_inv,512,,,15822601.0,ns,6400
permutation__inv_prod,prod_of_inv,512,,,16748977.0,ns,6800
permutation__inv_prod,prod_of_inv,512,,,17794463.0,ns,7200
permutation__inv_prod,prod_of_inv,512,,,18881452.0,ns,7600
permutation__inv_prod,prod_of_inv,512,,,19840731.0,ns,8000
permutation__inv_prod,prod_of_inv,512,,,20808911.0,ns,8400
permutation__inv_prod,prod_of_inv,512,,,21779991.0,ns,8800
permutation__inv_prod,prod_of_inv,512,,,22820676.0,ns,9200
permutation__inv_prod,prod_of_inv,512,,,23862762.0,ns,9600
permutation__inv_prod,prod_of_inv,512,,,24847843.0,ns,10000
permutation__inv_prod,prod_of_inv,512,,,25697513.0,ns,10400
permutation__inv_prod,prod_of_inv,512,,,26708396.0,ns,10800
permutation__inv_prod,prod_of_inv,512,,,27883492.0,ns,11200
permutation__inv_prod,prod_of_inv,512,,,28756364.0,ns,11600
permutation__inv_prod,prod_of_inv,512,,,29783549.0,ns,12000
permutation__inv_prod,prod_of_inv,512,,,30661320.0,ns,12400
permutation__inv_prod,prod_of_inv,512,,,31665503.0,ns,12800
permutation__inv_prod,prod_of_inv,512,,,32795396.0,ns,13200
permutation__inv_prod,prod_of_inv,512,,,33789077.0,ns,13600
permutation__inv_prod,prod_of_inv,512,,,34612246.0,ns,14000
permutation__inv_prod,prod_of_inv,512,,,35701735.0,ns,14400
permutation__inv_prod,prod_of_inv,512,,,36712118.0,ns,14800
permutation__inv_prod,prod_of_inv,512,,,38063029.0,ns,15200
permutation__inv_prod,prod_of_inv,512,,,38887897.0,ns,15600
permutation__inv_prod,prod_of_inv,512,,,39544751.0,ns,16000
permutation__inv_prod,prod_of_inv,512,,,40652731.0,ns,16400
permutation__inv_prod,prod_of_inv,512,,,41667112.0,ns,16800
permutation__inv_prod,prod_of_inv,512,,,42776203.0,ns,17200
permutation__inv_prod,prod_of_inv,512,,,43530465.0,ns,17600
permutation__inv_prod,prod_of_inv,512,,,44529847.0,ns,18000
permutation__inv_prod,prod_of_inv,512,,,45608134.0,ns,18400
permutation__inv_prod,prod_of_inv,512,,,46681323.0,ns,18800
permutation__inv_prod,prod_of_inv,512,,,47758911.0,ns,19200
permutation__inv_prod,prod_of_inv,512,,,48530574.0,ns,19600
permutation__inv_prod,prod_of_inv,512,,,49611863.0,ns,20000
permutation__inv_prod,prod_of_inv,512,,,50561340.0,ns,20400
permutation__inv_prod,prod_of_inv,512,,,51590724.0,ns,20800
permutation__inv_prod,prod_of_inv,512,,,52507800.0,ns,21200
permutation__inv_prod,prod_of_inv,512,,,53854810.0,ns,21600
permutation__inv_prod,prod_of_inv,512,,,54720281.0,ns,22000
permutation__inv_prod,prod_of_inv,512,,,55833572.0,ns,22400
permutation__inv_prod,prod_of_inv,512,,,56672641.0,ns,22800
permutation__inv_prod,prod_of_inv,512,,,57672623.0,ns,23200
