group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__inverse,default,16,,,965271.0,ns,7943
permutation__inverse,default,16,,,2050952.0,ns,15886
permutation__inverse,default,16,,,3048026.0,ns,23829
permutation__inverse,default,16,,,4091103.0,ns,31772
permutation__inverse,default,16,,,4824257.0,ns,39715
permutation__inverse,default,16,,,6069850.0,ns,47658
permutation__inverse,default,16,,,6680995.0,ns,55601
permutation__inverse,default,16,,,8185506.0,ns,63544
permutation__inverse,default,16,,,9069072.0,ns,71487
permutation__inverse,default,16,,,10237358.0,ns,79430
permutation__inverse,default,16,,,10608085.0,ns,87373
permutation__inverse,default,16,,,11945485.0,ns,95316
permutation__inverse,default,16,,,12530329.0,ns,103259
permutation__inverse,default,16,,,14329361.0,ns,111202
permutation__inverse,default,16,,,15114620.0,ns,119145
permutation__inverse,default,16,,,16326910.0,ns,127088
permutation__inverse,default,16,,,15932780.0,ns,135031
permutation__inverse,default,16,,,17933129.0,ns,142974
permutation__inverse,default,16,,,18086139.0,ns,150917
permutation__inverse,default,16,,,20554022.0,ns,158860
permutation__inverse,default,16,,,20973754.0,ns,166803
permutation__inverse,default,16,,,22341655.0,ns,174746
permutation__inverse,default,16,,,21200871.0,ns,182689
permutation__inverse,default,16,,,24133888.0,ns,190632
permutation__inverse,default,16,,,23692355.0,ns,198575
permutation__inverse,default,16,,,26477661.0,ns,206518
permutation__inverse,default,16,,,27250918.0,ns,214461
permutation__inverse,default,16,,,28081081.0,ns,222404
permutation__inverse,default,16,,,27714153.0,ns,230347
permutation__inverse,default,16,,,29738803.0,ns,238290
permutation__inverse,default,16,,,28168887.0,ns,246233
permutation__inverse,default,16,,,23985877.0,ns,254176
permutation__inverse,default,16,,,33682495.0,ns,262119
permutation__inverse,default,16,,,32323795.0,ns,270062
permutation__inverse,default,16,,,34894585.0,ns,278005
permutation__inverse,default,16,,,36387895.0,ns,285948
permutation__inverse,default,16,,,37523480.0,ns,293891
permutation__inverse,default,16,,,36506605.0,ns,301834
permutation__inverse,default,16,,,39258108.0,ns,309777
permutation__inverse,default,16,,,38451649.0,ns,317720
permutation__inverse,default,16,,,41415368.0,ns,325663
permutation__inverse,default,16,,,42353337.0,ns,333606
permutation__inverse,default,16,,,33225162.0,ns,341549
permutation__inverse,default,16,,,44132469.0,ns,349492
permutation__inverse,default,16,,,43276606.0,ns,357435
permutation__inverse,default,16,,,45771491.0,ns,365378
permutation__inverse,default,16,,,47054286.0,ns,373321
permutation__inverse,default,16,,,45912901.0,ns,381264
permutation__inverse,default,16,,,49826591.0,ns,389207
permutation__inverse,default,16,,,50282724.0,ns,397150
permutation__inverse,default,16,,,48964927.0,ns,405093
permutation__inverse,default,16,,,51640926.0,ns,413036
permutation__inverse,default,16,,,53350752.0,ns,420979
permutation__inverse,default,16,,,51294300.0,ns,428922
permutation__inverse,default,16,,,55213690.0,ns,436865
permutation__inverse,default,16,,,56065754.0,ns,444808
permutation__inverse,default,16,,,54809060.0,ns,452751
permutation__inverse,default,16,,,57601867.0,ns,460694
permutation__inverse,default,16,,,58983370.0,ns,468637
permutation__inverse,default,16,,,56617294.0,ns,476580
permutation__inverse,default,16,,,61138529.0,ns,484523
permutation__inverse,default,16,,,61546860.0,ns,492466
permutation__inverse,default,16,,,60222061.0,ns,500409
permutation__inverse,default,16,,,64361468.0,ns,508352
permutation__inverse,default,16,,,66049693.0,ns,516295
permutation__inverse,default,16,,,63021869.0,ns,524238
permutation__inverse,default,16,,,66809149.0,ns,532181
permutation__inverse,default,16,,,66182603.0,ns,540124
permutation__inverse,default,16,,,65920584.0,ns,548067
permutation__inverse,default,16,,,68187551.0,ns,556010
permutation__inverse,default,16,,,52250571.0,ns,563953
permutation__inverse,default,16,,,71568802.0,ns,571896
permutation__inverse,default,16,,,72913601.0,ns,579839
permutation__inverse,default,16,,,69707264.0,ns,587782
permutation__inverse,default,16,,,75984629.0,ns,595725
permutation__inverse,default,16,,,72750490.0,ns,603668
permutation__inverse,default,16,,,77906471.0,ns,611611
permutation__inverse,default,16,,,78969450.0,ns,619554
permutation__inverse,default,16,,,79346778.0,ns,627497
permutation__inverse,default,16,,,76297253.0,ns,635440
permutation__inverse,default,16,,,81386829.0,ns,643383
permutation__inverse,default,16,,,77892770.0,ns,651326
permutation__inverse,default,16,,,83585692.0,ns,659269
permutation__inverse,default,16,,,84182537.0,ns,667212
permutation__inverse,default,16,,,85206912.0,ns,675155
permutation__inverse,default,16,,,64646589.0,ns,683098
permutation__inverse,default,16,,,66233507.0,ns,691041
permutation__inverse,default,16,,,84341948.0,ns,698984
permutation__inverse,default,16,,,89734647.0,ns,706927
permutation__inverse,default,16,,,90264386.0,ns,714870
permutation__inverse,default,16,,,91303964.0,ns,722813
permutation__inverse,default,16,,,85899864.0,ns,730756
permutation__inverse,default,16,,,90963738.0,ns,738699
permutation__inverse,default,16,,,88780176.0,ns,746642
permutation__inverse,default,16,,,96105720.0,ns,754585
permutation__inverse,default,16,,,97190400.0,ns,762528
permutation__inverse,default,16,,,96223328.0,ns,770471
permutation__inverse,default,16,,,92293237.0,ns,778414
permutation__inverse,default,16,,,96205827.0,ns,786357
permutation__inverse,default,16,,,94407293.0,ns,794300
