group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__inverse,default,512,,,1000974.0,ns,1716
permutation__inverse,default,512,,,1952145.0,ns,3432
permutation__inverse,default,512,,,2981321.0,ns,5148
permutation__inverse,default,512,,,3900089.0,ns,6864
permutation__inverse,default,512,,,5026973.0,ns,8580
permutation__inverse,default,512,,,6059750.0,ns,10296
permutation__inverse,default,512,,,7008320.0,ns,12012
permutation__inverse,default,512,,,7725873.0,ns,13728
permutation__inverse,default,512,,,9021769.0,ns,15444
permutation__inverse,default,512,,,10010642.0,ns,17160
permutation__inverse,default,512,,,10958513.0,ns,18876
permutation__inverse,default,512,,,12045094.0,ns,20592
permutation__inverse,default,512,,,12955561.0,ns,22308
permutation__inverse,default,512,,,13802523.0,ns,24024
permutation__inverse,default,512,,,14696791.0,ns,25740
permutation__inverse,default,512,,,15928182.0,ns,27456
permutation__inverse,default,512,,,16832948.0,ns,29172
permutation__inverse,default,512,,,17842924.0,ns,30888
permutation__inverse,default,512,,,18704287.0,ns,32604
permutation__inverse,default,512,,,19522648.0,ns,34320
permutation__inverse,default,512,,,20891950.0,ns,36036
permutation__inverse,default,512,,,21654106.0,ns,37752
permutation__inverse,default,512,,,21801017.0,ns,39468
permutation__inverse,default,512,,,22307655.0,ns,41184
permutation__inverse,default,512,,,24732734.0,ns,42900
permutation__inverse,default,512,,,25572397.0,ns,44616
permutation__inverse,default,512,,,26520467.0,ns,46332
permutation__inverse,default,512,,,27831365.0,ns,48048
permutation__inverse,default,512,,,28823538.0,ns,49764
permutation__inverse,default,512,,,29839713.0,ns,51480
permutation__inverse,default,512,,,30866290.0,ns,53196
permutation__inverse,default,512,,,31843662.0,ns,54912
permutation__inverse,default,512,,,32793833.0,ns,56628
permutation__inverse,default,512,,,33800307.0,ns,58344
permutation__inverse,default,512,,,35037999.0,ns,60060
permutation__inverse,default,512,,,36052274.0,ns,61776
permutation__inverse,default,512,,,37150556.0,ns,63492
permutation__inverse,default,512,,,37739599.0,ns,65208
permutation__inverse,default,512,,,38896485.0,ns,66924
permutation__inverse,default,512,,,39567435.0,ns,68640
permutation__inverse,default,512,,,40784626.0,ns,70356
permutation__inverse,default,512,,,41898608.0,ns,72072
permutation__inverse,default,512,,,42015417.0,ns,73788
permutation__inverse,default,512,,,43264109.0,ns,75504
permutation__inverse,default,512,,,44391993.0,ns,77220
permutation__inverse,default,512,,,45984411.0,ns,78936
permutation__inverse,default,512,,,46804371.0,ns,80652
permutation__inverse,default,512,,,48063366.0,ns,82368
permutation__inverse,default,512,,,49413665.0,ns,84084
permutation__inverse,default,512,,,49791193.0,ns,85800
permutation__inverse,default,512,,,49971007.0,ns,87516
permutation__inverse,default,512,,,52058462.0,ns,89232
permutation__inverse,default,512,,,52799916.0,ns,90948
permutation__inverse,default,512,,,53246150.0,ns,92664
permutation__inverse,default,512,,,53374159.0,ns,94380
permutation__inverse,default,512,,,55644828.0,ns,96096
permutation__inverse,default,512,,,56915622.0,ns,97812
permutation__inverse,default,512,,,57795287.0,ns,99528
permutation__inverse,default,512,,,57960600.0,ns,101244
permutation__inverse,default,512,,,59889542.0,ns,102960
permutation__inverse,default,512,,,60662900.0,ns,104676
permutation__inverse,default,512,,,62048603.0,ns,106392
permutation__inverse,default,512,,,63184286.0,ns,108108
permutation__inverse,default,512,,,63585117.0,ns,109824
permutation__inverse,default,512,,,64688398.0,ns,111540
permutation__inverse,default,512,,,65577665.0,ns,113256
permutation__inverse,default,512,,,66435728.0,ns,114972
permutation__inverse,default,512,,,66523134.0,ns,116688
permutation__inverse,default,512,,,68802403.0,ns,118404
permutation__inverse,default,512,,,69598263.0,ns,120120
permutation__inverse,default,512,,,70891158.0,ns,121836
permutation__inverse,default,512,,,71541607.0,ns,123552
permutation__inverse,default,512,,,71436299.0,ns,125268
permutation__inverse,default,512,,,72463175.0,ns,126984
permutation__inverse,default,512,,,72837203.0,ns,128700
permutation__inverse,default,512,,,75151474.0,ns,130416
permutation__inverse,default,512,,,76278758.0,ns,132132
permutation__inverse,default,512,,,77736666.0,ns,133848
permutation__inverse,default,512,,,78017487.0,ns,135564
permutation__inverse,default,512,,,79428292.0,ns,137280
permutation__inverse,default,512,,,80529773.0,ns,138996
permutation__inverse,default,512,,,81347835.0,ns,140712
permutation__inverse,default,512,,,82509120.0,ns,142428
permutation__inverse,default,512,,,83783015.0,ns,144144
permutation__inverse,default,512,,,84837493.0,ns,145860
permutation__inverse,default,512,,,85364732.0,ns,147576
permutation__inverse,default,512,,,86419010.0,ns,149292
permutation__inverse,default,512,,,87017055.0,ns,151008
permutation__inverse,default,512,,,88052731.0,ns,152724
permutation__inverse,default,512,,,89904269.0,ns,154440
permutation__inverse,default,512,,,89606747.0,ns,156156
permutation__inverse,default,512,,,91832212.0,ns,157872
permutation__inverse,default,512,,,92408954.0,ns,159588
permutation__inverse,default,512,,,93074504.0,ns,161304
permutation__inverse,default,512,,,94427005.0,ns,163020
permutation__inverse,default,512,,,95168659.0,ns,164736
permutation__inverse,default,512,,,96993395.0,ns,166452
permutation__inverse,default,512,,,97712348.0,ns,168168
permutation__inverse,default,512,,,99090951.0,ns,169884
permutation__inverse,default,512,,,99624689.0,ns,171600
