group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__is_id,,,,,986977.0,ns,470646
permutation__is_id,,,,,1965754.0,ns,941292
permutation__is_id,,,,,2954731.0,ns,1411938
permutation__is_id,,,,,3938007.0,ns,1882584
permutation__is_id,,,,,4921785.0,ns,2353230
permutation__is_id,,,,,5908261.0,ns,2823876
permutation__is_id,,,,,6890939.0,ns,3294522
permutation__is_id,,,,,7867714.0,ns,3765168
permutation__is_id,,,,,8916296.0,ns,4235814
permutation__is_id,,,,,9839468.0,ns,4706460
permutation__is_id,,,,,10879250.0,ns,5177106
permutation__is_id,,,,,11845325.0,ns,5647752
permutation__is_id,,,,,12907308.0,ns,6118398
permutation__is_id,,,,,13784877.0,ns,6589044
permutation__is_id,,,,,14985970.0,ns,7059690
permutation__is_id,,,,,15964147.0,ns,7530336
permutation__is_id,,,,,16894620.0,ns,8000982
permutation__is_id,,,,,17832193.0,ns,8471628
permutation__is_id,,,,,18988283.0,ns,8942274
permutation__is_id,,,,,19851050.0,ns,9412920
permutation__is_id,,,,,20836028.0,ns,9883566
permutation__is_id,,,,,21763095.0,ns,10354212
permutation__is_id,,,,,22678165.0,ns,10824858
permutation__is_id,,,,,23845856.0,ns,11295504
permutation__is_id,,,,,24689022.0,ns,11766150
permutation__is_id,,,,,25827310.0,ns,12236796
permutation__is_id,,,,,26623372.0,ns,12707442
permutation__is_id,,,,,27647052.0,ns,13178088
permutation__is_id,,,,,28709034.0,ns,13648734
permutation__is_id,,,,,29537799.0,ns,14119380
permutation__is_id,,,,,30509175.0,ns,14590026
permutation__is_id,,,,,31534954.0,ns,15060672
permutation__is_id,,,,,32780651.0,ns,15531318
permutation__is_id,,,,,33754627.0,ns,16001964
permutation__is_id,,,,,34603194.0,ns,16472610
permutation__is_id,,,,,35731281.0,ns,16943256
permutation__is_id,,,,,36593448.0,ns,17413902
permutation__is_id,,,,,37520220.0,ns,17884548
permutation__is_id,,,,,38461793.0,ns,18355194
permutation__is_id,,,,,39506975.0,ns,18825840
permutation__is_id,,,,,40476450.0,ns,19296486
permutation__is_id,,,,,41417924.0,ns,19767132
permutation__is_id,,,,,42605816.0,ns,20237778
permutation__is_id,,,,,43361275.0,ns,20708424
permutation__is_id,,,,,44553367.0,ns,21179070
permutation__is_id,,,,,45557746.0,ns,21649716
permutation__is_id,,,,,46588326.0,ns,22120362
permutation__is_id,,,,,47384388.0,ns,22591008
permutation__is_id,,,,,48653987.0,ns,23061654
permutation__is_id,,,,,49577051.0,ns,23532300
permutation__is_id,,,,,50811641.0,ns,24002946
permutation__is_id,,,,,51609003.0,ns,24473592
permutation__is_id,,,,,52352460.0,ns,24944238
permutation__is_id,,,,,53479748.0,ns,25414884
permutation__is_id,,,,,54275609.0,ns,25885530
permutation__is_id,,,,,55521806.0,ns,26356176
permutation__is_id,,,,,56243862.0,ns,26826822
permutation__is_id,,,,,57494259.0,ns,27297468
permutation__is_id,,,,,58325824.0,ns,27768114
permutation__is_id,,,,,59420808.0,ns,28238760
permutation__is_id,,,,,60342880.0,ns,28709406
permutation__is_id,,,,,61131541.0,ns,29180052
permutation__is_id,,,,,62162021.0,ns,29650698
permutation__is_id,,,,,63116995.0,ns,30121344
permutation__is_id,,,,,64145375.0,ns,30591990
permutation__is_id,,,,,65127551.0,ns,31062636
permutation__is_id,,,,,66232132.0,ns,31533282
permutation__is_id,,,,,67478015.0,ns,32003928
permutation__is_id,,,,,68136866.0,ns,32474574
permutation__is_id,,,,,69139844.0,ns,32945220
permutation__is_id,,,,,70316934.0,ns,33415866
permutation__is_id,,,,,71193202.0,ns,33886512
permutation__is_id,,,,,71987764.0,ns,34357158
permutation__is_id,,,,,73333167.0,ns,34827804
permutation__is_id,,,,,74452454.0,ns,35298450
permutation__is_id,,,,,75268517.0,ns,35769096
permutation__is_id,,,,,76367102.0,ns,36239742
permutation__is_id,,,,,77001551.0,ns,36710388
permutation__is_id,,,,,78442562.0,ns,37181034
permutation__is_id,,,,,79237024.0,ns,37651680
permutation__is_id,,,,,80071075.0,ns,38122326
permutation__is_id,,,,,81277859.0,ns,38592972
permutation__is_id,,,,,82459451.0,ns,39063618
permutation__is_id,,,,,83426225.0,ns,39534264
permutation__is_id,,,,,84069175.0,ns,40004910
permutation__is_id,,,,,85220163.0,ns,40475556
permutation__is_id,,,,,85886515.0,ns,40946202
permutation__is_id,,,,,86861890.0,ns,41416848
permutation__is_id,,,,,88635926.0,ns,41887494
permutation__is_id,,,,,88997554.0,ns,42358140
permutation__is_id,,,,,89690008.0,ns,42828786
permutation__is_id,,,,,91446042.0,ns,43299432
permutation__is_id,,,,,92061166.0,ns,43770078
permutation__is_id,,,,,93140549.0,ns,44240724
permutation__is_id,,,,,94292637.0,ns,44711370
permutation__is_id,,,,,95262811.0,ns,45182016
permutation__is_id,,,,,95927662.0,ns,45652662
permutation__is_id,,,,,96835832.0,ns,46123308
permutation__is_id,,,,,98196737.0,ns,46593954
permutation__is_id,,,,,98582666.0,ns,47064600
