group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,cycle,64,,,972763.0,ns,98
permutation__order_cmp,cycle,64,,,1898823.0,ns,196
permutation__order_cmp,cycle,64,,,3045097.0,ns,294
permutation__order_cmp,cycle,64,,,3898452.0,ns,392
permutation__order_cmp,cycle,64,,,4852814.0,ns,490
permutation__order_cmp,cycle,64,,,5870680.0,ns,588
permutation__order_cmp,cycle,64,,,6904448.0,ns,686
permutation__order_cmp,cycle,64,,,7978518.0,ns,784
permutation__order_cmp,cycle,64,,,8770869.0,ns,882
permutation__order_cmp,cycle,64,,,9833838.0,ns,980
permutation__order_cmp,cycle,64,,,10676592.0,ns,1078
permutation__order_cmp,cycle,64,,,11822767.0,ns,1176
permutation__order_cmp,cycle,64,,,12403704.0,ns,1274
permutation__order_cmp,cycle,64,,,13870999.0,ns,1372
permutation__order_cmp,cycle,64,,,14792659.0,ns,1470
permutation__order_cmp,cycle,64,,,15560709.0,ns,1568
permutation__order_cmp,cycle,64,,,16823091.0,ns,1666
permutation__order_cmp,cycle,64,,,17901461.0,ns,1764
permutation__order_cmp,cycle,64,,,18926927.0,ns,1862
permutation__order_cmp,cycle,64,,,19299952.0,ns,1960
permutation__order_cmp,cycle,64,,,20696842.0,ns,2058
permutation__order_cmp,cycle,64,,,21809514.0,ns,2156
permutation__order_cmp,cycle,64,,,22836180.0,ns,2254
permutation__order_cmp,cycle,64,,,23817444.0,ns,2352
permutation__order_cmp,cycle,64,,,25198334.0,ns,2450
permutation__order_cmp,cycle,64,,,25941482.0,ns,2548
permutation__order_cmp,cycle,64,,,26987450.0,ns,2646
permutation__order_cmp,cycle,64,,,27940512.0,ns,2744
permutation__order_cmp,cycle,64,,,28690760.0,ns,2842
permutation__order_cmp,cycle,64,,,29711827.0,ns,2940
permutation__order_cmp,cycle,64,,,30161256.0,ns,3038
permutation__order_cmp,cycle,64,,,31670954.0,ns,3136
permutation__order_cmp,cycle,64,,,31585748.0,ns,3234
permutation__order_cmp,cycle,64,,,33335462.0,ns,3332
permutation__order_cmp,cycle,64,,,34582642.0,ns,3430
permutation__order_cmp,cycle,64,,,35946230.0,ns,3528
permutation__order_cmp,cycle,64,,,37741547.0,ns,3626
permutation__order_cmp,cycle,64,,,35967632.0,ns,3724
permutation__order_cmp,cycle,64,,,37400725.0,ns,3822
permutation__order_cmp,cycle,64,,,38258181.0,ns,3920
permutation__order_cmp,cycle,64,,,40371418.0,ns,4018
permutation__order_cmp,cycle,64,,,40702637.0,ns,4116
permutation__order_cmp,cycle,64,,,41381881.0,ns,4214
permutation__order_cmp,cycle,64,,,42568858.0,ns,4312
permutation__order_cmp,cycle,64,,,43896843.0,ns,4410
permutation__order_cmp,cycle,64,,,44568087.0,ns,4508
permutation__order_cmp,cycle,64,,,47308165.0,ns,4606
permutation__order_cmp,cycle,64,,,48101017.0,ns,4704
permutation__order_cmp,cycle,64,,,47336367.0,ns,4802
permutation__order_cmp,cycle,64,,,49823828.0,ns,4900
permutation__order_cmp,cycle,64,,,51454033.0,ns,4998
permutation__order_cmp,cycle,64,,,50393364.0,ns,5096
permutation__order_cmp,cycle,64,,,51730751.0,ns,5194
permutation__order_cmp,cycle,64,,,55057867.0,ns,5292
permutation__order_cmp,cycle,64,,,54686543.0,ns,5390
permutation__order_cmp,cycle,64,,,55722410.0,ns,5488
permutation__order_cmp,cycle,64,,,55563299.0,ns,5586
permutation__order_cmp,cycle,64,,,55065767.0,ns,5684
permutation__order_cmp,cycle,64,,,55871620.0,ns,5782
permutation__order_cmp,cycle,64,,,58442686.0,ns,5880
permutation__order_cmp,cycle,64,,,60821340.0,ns,5978
permutation__order_cmp,cycle,64,,,60568921.0,ns,6076
permutation__order_cmp,cycle,64,,,60139593.0,ns,6174
permutation__order_cmp,cycle,64,,,63948439.0,ns,6272
permutation__order_cmp,cycle,64,,,62528348.0,ns,6370
permutation__order_cmp,cycle,64,,,63603617.0,ns,6468
permutation__order_cmp,cycle,64,,,66521506.0,ns,6566
permutation__order_cmp,cycle,64,,,65740056.0,ns,6664
permutation__order_cmp,cycle,64,,,68111109.0,ns,6762
permutation__order_cmp,cycle,64,,,68534236.0,ns,6860
permutation__order_cmp,cycle,64,,,67575174.0,ns,6958
permutation__order_cmp,cycle,64,,,71295915.0,ns,7056
permutation__order_cmp,cycle,64,,,69588404.0,ns,7154
permutation__order_cmp,cycle,64,,,71298515.0,ns,7252
permutation__order_cmp,cycle,64,,,73508558.0,ns,7350
permutation__order_cmp,cycle,64,,,74423517.0,ns,7448
permutation__order_cmp,cycle,64,,,75674594.0,ns,7546
permutation__order_cmp,cycle,64,,,73996585.0,ns,7644
permutation__order_cmp,cycle,64,,,77761229.0,ns,7742
permutation__order_cmp,cycle,64,,,79551545.0,ns,7840
permutation__order_cmp,cycle,64,,,79109316.0,ns,7938
permutation__order_cmp,cycle,64,,,82858659.0,ns,8036
permutation__order_cmp,cycle,64,,,80043677.0,ns,8134
permutation__order_cmp,cycle,64,,,83567105.0,ns,8232
permutation__order_cmp,cycle,64,,,82293522.0,ns,8330
permutation__order_cmp,cycle,64,,,83084674.0,ns,8428
permutation__order_cmp,cycle,64,,,83126576.0,ns,8526
permutation__order_cmp,cycle,64,,,86572599.0,ns,8624
permutation__order_cmp,cycle,64,,,87135932.0,ns,8722
permutation__order_cmp,cycle,64,,,89227966.0,ns,8820
permutation__order_cmp,cycle,64,,,88652329.0,ns,8918
permutation__order_cmp,cycle,64,,,90197028.0,ns,9016
permutation__order_cmp,cycle,64,,,89513484.0,ns,9114
permutation__order_cmp,cycle,64,,,89126059.0,ns,9212
permutation__order_cmp,cycle,64,,,95655681.0,ns,9310
permutation__order_cmp,cycle,64,,,91607319.0,ns,9408
permutation__order_cmp,cycle,64,,,97662411.0,ns,9506
permutation__order_cmp,cycle,64,,,96351626.0,ns,9604
permutation__order_cmp,cycle,64,,,95608478.0,ns,9702
permutation__order_cmp,cycle,64,,,97866119.0,ns,9800
