group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,cycle,64,,,906967.0,ns,105
permutation__order_cmp,cycle,64,,,1881939.0,ns,210
permutation__order_cmp,cycle,64,,,2865211.0,ns,315
permutation__order_cmp,cycle,64,,,3992794.0,ns,420
permutation__order_cmp,cycle,64,,,4808054.0,ns,525
permutation__order_cmp,cycle,64,,,5960039.0,ns,630
permutation__order_cmp,cycle,64,,,6783199.0,ns,735
permutation__order_cmp,cycle,64,,,7452949.0,ns,840
permutation__order_cmp,cycle,64,,,8397419.0,ns,945
permutation__order_cmp,cycle,64,,,9571405.0,ns,1050
permutation__order_cmp,cycle,64,,,10357463.0,ns,1155
permutation__order_cmp,cycle,64,,,11305933.0,ns,1260
permutation__order_cmp,cycle,64,,,11971682.0,ns,1365
permutation__order_cmp,cycle,64,,,13213473.0,ns,1470
permutation__order_cmp,cycle,64,,,14503268.0,ns,1575
permutation__order_cmp,cycle,64,,,15023207.0,ns,1680
permutation__order_cmp,cycle,64,,,16602924.0,ns,1785
permutation__order_cmp,cycle,64,,,16595122.0,ns,1890
permutation__order_cmp,cycle,64,,,17930221.0,ns,1995
permutation__order_cmp,cycle,64,,,19003700.0,ns,2100
permutation__order_cmp,cycle,64,,,20839335.0,ns,2205
permutation__order_cmp,cycle,64,,,21333271.0,ns,2310
permutation__order_cmp,cycle,64,,,22493157.0,ns,2415
permutation__order_cmp,cycle,64,,,23344720.0,ns,2520
permutation__order_cmp,cycle,64,,,24813228.0,ns,2625
permutation__order_cmp,cycle,64,,,26146327.0,ns,2730
permutation__order_cmp,cycle,64,,,26103823.0,ns,2835
permutation__order_cmp,cycle,64,,,27458623.0,ns,2940
permutation__order_cmp,cycle,64,,,28461197.0,ns,3045
permutation__order_cmp,cycle,64,,,29115445.0,ns,3150
permutation__order_cmp,cycle,64,,,29675486.0,ns,3255
permutation__order_cmp,cycle,64,,,31935153.0,ns,3360
permutation__order_cmp,cycle,64,,,32250176.0,ns,3465
permutation__order_cmp,cycle,64,,,33052635.0,ns,3570
permutation__order_cmp,cycle,64,,,34548346.0,ns,3675
permutation__order_cmp,cycle,64,,,34161717.0,ns,3780
permutation__order_cmp,cycle,64,,,36189566.0,ns,3885
permutation__order_cmp,cycle,64,,,36839014.0,ns,3990
permutation__order_cmp,cycle,64,,,37529565.0,ns,4095
permutation__order_cmp,cycle,64,,,38680549.0,ns,4200
permutation__order_cmp,cycle,64,,,40606492.0,ns,4305
permutation__order_cmp,cycle,64,,,43425699.0,ns,4410
permutation__order_cmp,cycle,64,,,40822407.0,ns,4515
permutation__order_cmp,cycle,64,,,43974940.0,ns,4620
permutation__order_cmp,cycle,64,,,44883007.0,ns,4725
permutation__order_cmp,cycle,64,,,44029844.0,ns,4830
permutation__order_cmp,cycle,64,,,46042692.0,ns,4935
permutation__order_cmp,cycle,64,,,47937832.0,ns,5040
permutation__order_cmp,cycle,64,,,48811996.0,ns,5145
permutation__order_cmp,cycle,64,,,47767519.0,ns,5250
permutation__order_cmp,cycle,64,,,50174497.0,ns,5355
permutation__order_cmp,cycle,64,,,50199498.0,ns,5460
permutation__order_cmp,cycle,64,,,52124940.0,ns,5565
permutation__order_cmp,cycle,64,,,50124792.0,ns,5670
permutation__order_cmp,cycle,64,,,53758960.0,ns,5775
permutation__order_cmp,cycle,64,,,56630072.0,ns,5880
permutation__order_cmp,cycle,64,,,54420309.0,ns,5985
permutation__order_cmp,cycle,64,,,57941669.0,ns,6090
permutation__order_cmp,cycle,64,,,58577416.0,ns,6195
permutation__order_cmp,cycle,64,,,58945942.0,ns,6300
permutation__order_cmp,cycle,64,,,61092600.0,ns,6405
permutation__order_cmp,cycle,64,,,60478855.0,ns,6510
permutation__order_cmp,cycle,64,,,60496956.0,ns,6615
permutation__order_cmp,cycle,64,,,62218383.0,ns,6720
permutation__order_cmp,cycle,64,,,63619587.0,ns,6825
permutation__order_cmp,cycle,64,,,64710867.0,ns,6930
permutation__order_cmp,cycle,64,,,64470750.0,ns,7035
permutation__order_cmp,cycle,64,,,65471624.0,ns,7140
permutation__order_cmp,cycle,64,,,68498946.0,ns,7245
permutation__order_cmp,cycle,64,,,65828049.0,ns,7350
permutation__order_cmp,cycle,64,,,68107317.0,ns,7455
permutation__order_cmp,cycle,64,,,69330108.0,ns,7560
permutation__order_cmp,cycle,64,,,72854068.0,ns,7665
permutation__order_cmp,cycle,64,,,73445011.0,ns,7770
permutation__order_cmp,cycle,64,,,75049629.0,ns,7875
permutation__order_cmp,cycle,64,,,76089806.0,ns,7980
permutation__order_cmp,cycle,64,,,76439532.0,ns,8085
permutation__order_cmp,cycle,64,,,77810432.0,ns,8190
permutation__order_cmp,cycle,64,,,74612496.0,ns,8295
permutation__order_cmp,cycle,64,,,78687797.0,ns,8400
permutation__order_cmp,cycle,64,,,79822981.0,ns,8505
permutation__order_cmp,cycle,64,,,82763397.0,ns,8610
permutation__order_cmp,cycle,64,,,78977619.0,ns,8715
permutation__order_cmp,cycle,64,,,80682144.0,ns,8820
permutation__order_cmp,cycle,64,,,83405945.0,ns,8925
permutation__order_cmp,cycle,64,,,82839503.0,ns,9030
permutation__order_cmp,cycle,64,,,82010942.0,ns,9135
permutation__order_cmp,cycle,64,,,85418892.0,ns,9240
permutation__order_cmp,cycle,64,,,86802595.0,ns,9345
permutation__order_cmp,cycle,64,,,87175322.0,ns,9450
permutation__order_cmp,cycle,64,,,86144247.0,ns,9555
permutation__order_cmp,cycle,64,,,89122066.0,ns,9660
permutation__order_cmp,cycle,64,,,90638278.0,ns,9765
permutation__order_cmp,cycle,64,,,88920251.0,ns,9870
permutation__order_cmp,cycle,64,,,94522664.0,ns,9975
permutation__order_cmp,cycle,64,,,92275698.0,ns,10080
permutation__order_cmp,cycle,64,,,94030828.0,ns,10185
permutation__order_cmp,cycle,64,,,96891538.0,ns,10290
permutation__order_cmp,cycle,64,,,96449606.0,ns,10395
permutation__order_cmp,cycle,64,,,98010921.0,ns,10500
