group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,default,16,,,967274.0,ns,370
permutation__order_cmp,default,16,,,1990353.0,ns,740
permutation__order_cmp,default,16,,,2851418.0,ns,1110
permutation__order_cmp,default,16,,,3986606.0,ns,1480
permutation__order_cmp,default,16,,,4691759.0,ns,1850
permutation__order_cmp,default,16,,,5835347.0,ns,2220
permutation__order_cmp,default,16,,,6741516.0,ns,2590
permutation__order_cmp,default,16,,,7812698.0,ns,2960
permutation__order_cmp,default,16,,,9765148.0,ns,3330
permutation__order_cmp,default,16,,,9373017.0,ns,3700
permutation__order_cmp,default,16,,,10936337.0,ns,4070
permutation__order_cmp,default,16,,,11948614.0,ns,4440
permutation__order_cmp,default,16,,,12485756.0,ns,4810
permutation__order_cmp,default,16,,,13150807.0,ns,5180
permutation__order_cmp,default,16,,,14784032.0,ns,5550
permutation__order_cmp,default,16,,,16027927.0,ns,5920
permutation__order_cmp,default,16,,,16231143.0,ns,6290
permutation__order_cmp,default,16,,,17723657.0,ns,6660
permutation__order_cmp,default,16,,,18775737.0,ns,7030
permutation__order_cmp,default,16,,,19313379.0,ns,7400
permutation__order_cmp,default,16,,,20976006.0,ns,7770
permutation__order_cmp,default,16,,,22085490.0,ns,8140
permutation__order_cmp,default,16,,,23010862.0,ns,8510
permutation__order_cmp,default,16,,,22706638.0,ns,8880
permutation__order_cmp,default,16,,,24276159.0,ns,9250
permutation__order_cmp,default,16,,,25806576.0,ns,9620
permutation__order_cmp,default,16,,,26706244.0,ns,9990
permutation__order_cmp,default,16,,,27517607.0,ns,10360
permutation__order_cmp,default,16,,,28857809.0,ns,10730
permutation__order_cmp,default,16,,,28008544.0,ns,11100
permutation__order_cmp,default,16,,,29020522.0,ns,11470
permutation__order_cmp,default,16,,,30629745.0,ns,11840
permutation__order_cmp,default,16,,,35621727.0,ns,12210
permutation__order_cmp,default,16,,,32294773.0,ns,12580
permutation__order_cmp,default,16,,,34138213.0,ns,12950
permutation__order_cmp,default,16,,,35873246.0,ns,13320
permutation__order_cmp,default,16,,,35991256.0,ns,13690
permutation__order_cmp,default,16,,,37267853.0,ns,14060
permutation__order_cmp,default,16,,,37469568.0,ns,14430
permutation__order_cmp,default,16,,,35706634.0,ns,14800
permutation__order_cmp,default,16,,,39488422.0,ns,15170
permutation__order_cmp,default,16,,,39546123.0,ns,15540
permutation__order_cmp,default,16,,,41317059.0,ns,15910
permutation__order_cmp,default,16,,,39123491.0,ns,16280
permutation__order_cmp,default,16,,,42309935.0,ns,16650
permutation__order_cmp,default,16,,,45359268.0,ns,17020
permutation__order_cmp,default,16,,,45256260.0,ns,17390
permutation__order_cmp,default,16,,,46042220.0,ns,17760
permutation__order_cmp,default,16,,,46031319.0,ns,18130
permutation__order_cmp,default,16,,,49413978.0,ns,18500
permutation__order_cmp,default,16,,,50264043.0,ns,18870
permutation__order_cmp,default,16,,,50714177.0,ns,19240
permutation__order_cmp,default,16,,,53031754.0,ns,19610
permutation__order_cmp,default,16,,,49595892.0,ns,19980
permutation__order_cmp,default,16,,,52030178.0,ns,20350
permutation__order_cmp,default,16,,,53462087.0,ns,20720
permutation__order_cmp,default,16,,,55753963.0,ns,21090
permutation__order_cmp,default,16,,,57315382.0,ns,21460
permutation__order_cmp,default,16,,,56166294.0,ns,21830
permutation__order_cmp,default,16,,,59371539.0,ns,22200
permutation__order_cmp,default,16,,,57025559.0,ns,22570
permutation__order_cmp,default,16,,,61262477.0,ns,22940
permutation__order_cmp,default,16,,,61209574.0,ns,23310
permutation__order_cmp,default,16,,,60072486.0,ns,23680
permutation__order_cmp,default,16,,,62022236.0,ns,24050
permutation__order_cmp,default,16,,,63611657.0,ns,24420
permutation__order_cmp,default,16,,,61159269.0,ns,24790
permutation__order_cmp,default,16,,,64278108.0,ns,25160
permutation__order_cmp,default,16,,,68440426.0,ns,25530
permutation__order_cmp,default,16,,,65450697.0,ns,25900
permutation__order_cmp,default,16,,,65979638.0,ns,26270
permutation__order_cmp,default,16,,,69298891.0,ns,26640
permutation__order_cmp,default,16,,,70020846.0,ns,27010
