group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,default,8,,,225019.0,ns,2206
permutation__order_cmp,default,8,,,2910445.0,ns,4412
permutation__order_cmp,default,8,,,5847994.0,ns,6618
permutation__order_cmp,default,8,,,3555100.0,ns,8824
permutation__order_cmp,default,8,,,5460561.0,ns,11030
permutation__order_cmp,default,8,,,7576439.0,ns,13236
permutation__order_cmp,default,8,,,15890341.0,ns,15442
permutation__order_cmp,default,8,,,18019021.0,ns,17648
permutation__order_cmp,default,8,,,5753686.0,ns,19854
permutation__order_cmp,default,8,,,10809612.0,ns,22060
permutation__order_cmp,default,8,,,2657224.0,ns,24266
permutation__order_cmp,default,8,,,15193682.0,ns,26472
permutation__order_cmp,default,8,,,18906396.0,ns,28678
permutation__order_cmp,default,8,,,17322962.0,ns,30884
permutation__order_cmp,default,8,,,42843014.0,ns,33090
permutation__order_cmp,default,8,,,20284809.0,ns,35296
permutation__order_cmp,default,8,,,10846514.0,ns,37502
permutation__order_cmp,default,8,,,4436174.0,ns,39708
permutation__order_cmp,default,8,,,37205935.0,ns,41914
permutation__order_cmp,default,8,,,21757833.0,ns,44120
permutation__order_cmp,default,8,,,26541136.0,ns,46326
permutation__order_cmp,default,8,,,13816164.0,ns,48532
permutation__order_cmp,default,8,,,29126354.0,ns,50738
permutation__order_cmp,default,8,,,30374659.0,ns,52944
permutation__order_cmp,default,8,,,15653819.0,ns,55150
permutation__order_cmp,default,8,,,32873469.0,ns,57356
permutation__order_cmp,default,8,,,29173858.0,ns,59562
permutation__order_cmp,default,8,,,17540778.0,ns,61768
permutation__order_cmp,default,8,,,25812974.0,ns,63974
permutation__order_cmp,default,8,,,32509239.0,ns,66180
permutation__order_cmp,default,8,,,45149204.0,ns,68386
permutation__order_cmp,default,8,,,91040670.0,ns,70592
permutation__order_cmp,default,8,,,21098678.0,ns,72798
permutation__order_cmp,default,8,,,49509071.0,ns,75004
permutation__order_cmp,default,8,,,21953050.0,ns,77210
permutation__order_cmp,default,8,,,107264737.0,ns,79416
permutation__order_cmp,default,8,,,53894040.0,ns,81622
permutation__order_cmp,default,8,,,89122209.0,ns,83828
permutation__order_cmp,default,8,,,88622967.0,ns,86034
permutation__order_cmp,default,8,,,43263345.0,ns,88240
permutation__order_cmp,default,8,,,42208555.0,ns,90446
permutation__order_cmp,default,8,,,26807555.0,ns,92652
permutation__order_cmp,default,8,,,46678826.0,ns,94858
permutation__order_cmp,default,8,,,130978318.0,ns,97064
permutation__order_cmp,default,8,,,48727100.0,ns,99270
permutation__order_cmp,default,8,,,85453588.0,ns,101476
permutation__order_cmp,default,8,,,50880580.0,ns,103682
permutation__order_cmp,default,8,,,108968367.0,ns,105888
permutation__order_cmp,default,8,,,51595440.0,ns,108094
permutation__order_cmp,default,8,,,142347975.0,ns,110300
permutation__order_cmp,default,8,,,114723251.0,ns,112506
permutation__order_cmp,default,8,,,12851581.0,ns,114712
permutation__order_cmp,default,8,,,12801677.0,ns,116918
permutation__order_cmp,default,8,,,13059499.0,ns,119124
permutation__order_cmp,default,8,,,129000151.0,ns,121330
permutation__order_cmp,default,8,,,60497284.0,ns,123536
permutation__order_cmp,default,8,,,83022673.0,ns,125742
permutation__order_cmp,default,8,,,163933169.0,ns,127948
permutation__order_cmp,default,8,,,62080114.0,ns,130154
permutation__order_cmp,default,8,,,114269197.0,ns,132360
permutation__order_cmp,default,8,,,77024669.0,ns,134566
permutation__order_cmp,default,8,,,121327490.0,ns,136772
permutation__order_cmp,default,8,,,186736584.0,ns,138978
permutation__order_cmp,default,8,,,15823929.0,ns,141184
permutation__order_cmp,default,8,,,41593093.0,ns,143390
permutation__order_cmp,default,8,,,96013763.0,ns,145596
permutation__order_cmp,default,8,,,84699503.0,ns,147802
permutation__order_cmp,default,8,,,201291780.0,ns,150008
permutation__order_cmp,default,8,,,135188536.0,ns,152214
permutation__order_cmp,default,8,,,75696348.0,ns,154420
permutation__order_cmp,default,8,,,89745226.0,ns,156626
permutation__order_cmp,default,8,,,77935736.0,ns,158832
permutation__order_cmp,default,8,,,32421519.0,ns,161038
permutation__order_cmp,default,8,,,76086080.0,ns,163244
permutation__order_cmp,default,8,,,81204710.0,ns,165450
permutation__order_cmp,default,8,,,81979075.0,ns,167656
permutation__order_cmp,default,8,,,112080492.0,ns,169862
