group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,iterated_mult,64,,,1564715.0,ns,1
permutation__order_cmp,iterated_mult,64,,,89306.0,ns,2
permutation__order_cmp,iterated_mult,64,,,297722.0,ns,3
permutation__order_cmp,iterated_mult,64,,,4059201.0,ns,4
permutation__order_cmp,iterated_mult,64,,,67805.0,ns,5
permutation__order_cmp,iterated_mult,64,,,2236266.0,ns,6
permutation__order_cmp,iterated_mult,64,,,331742081.0,ns,7
permutation__order_cmp,iterated_mult,64,,,842663.0,ns,8
permutation__order_cmp,iterated_mult,64,,,1550015.0,ns,9
permutation__order_cmp,iterated_mult,64,,,3320846.0,ns,10
permutation__order_cmp,iterated_mult,64,,,830062.0,ns,11
permutation__order_cmp,iterated_mult,64,,,18115342.0,ns,12
permutation__order_cmp,iterated_mult,64,,,1917542.0,ns,13
permutation__order_cmp,iterated_mult,64,,,28447408.0,ns,14
permutation__order_cmp,iterated_mult,64,,,2727002.0,ns,15
permutation__order_cmp,iterated_mult,64,,,3031825.0,ns,16
permutation__order_cmp,iterated_mult,64,,,1545515.0,ns,17
permutation__order_cmp,iterated_mult,64,,,3245841.0,ns,18
permutation__order_cmp,iterated_mult,64,,,1311097.0,ns,19
permutation__order_cmp,iterated_mult,64,,,1503312.0,ns,20
permutation__order_cmp,iterated_mult,64,,,311023.0,ns,21
permutation__order_cmp,iterated_mult,64,,,318124.0,ns,22
permutation__order_cmp,iterated_mult,64,,,332725.0,ns,23
permutation__order_cmp,iterated_mult,64,,,2943318.0,ns,24
permutation__order_cmp,iterated_mult,64,,,7869783.0,ns,25
permutation__order_cmp,iterated_mult,64,,,11012916.0,ns,26
permutation__order_cmp,iterated_mult,64,,,15555953.0,ns,27
permutation__order_cmp,iterated_mult,64,,,431232.0,ns,28
permutation__order_cmp,iterated_mult,64,,,846963.0,ns,29
permutation__order_cmp,iterated_mult,64,,,13957134.0,ns,30
permutation__order_cmp,iterated_mult,64,,,15882777.0,ns,31
permutation__order_cmp,iterated_mult,64,,,4515434.0,ns,32
