group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,iterated_mult,8,,,1566228.0,ns,3290
permutation__order_cmp,iterated_mult,8,,,725059.0,ns,6580
permutation__order_cmp,iterated_mult,8,,,4588877.0,ns,9870
permutation__order_cmp,iterated_mult,8,,,3786111.0,ns,13160
permutation__order_cmp,iterated_mult,8,,,4731189.0,ns,16450
permutation__order_cmp,iterated_mult,8,,,5673766.0,ns,19740
permutation__order_cmp,iterated_mult,8,,,15206950.0,ns,23030
permutation__order_cmp,iterated_mult,8,,,22144221.0,ns,26320
permutation__order_cmp,iterated_mult,8,,,30136877.0,ns,29610
permutation__order_cmp,iterated_mult,8,,,13263690.0,ns,32900
permutation__order_cmp,iterated_mult,8,,,20723204.0,ns,36190
permutation__order_cmp,iterated_mult,8,,,11365834.0,ns,39480
permutation__order_cmp,iterated_mult,8,,,12318513.0,ns,42770
permutation__order_cmp,iterated_mult,8,,,59234769.0,ns,46060
permutation__order_cmp,iterated_mult,8,,,66043829.0,ns,49350
permutation__order_cmp,iterated_mult,8,,,20798210.0,ns,52640
permutation__order_cmp,iterated_mult,8,,,16107724.0,ns,55930
permutation__order_cmp,iterated_mult,8,,,17018999.0,ns,59220
permutation__order_cmp,iterated_mult,8,,,30507208.0,ns,62510
permutation__order_cmp,iterated_mult,8,,,30595015.0,ns,65800
permutation__order_cmp,iterated_mult,8,,,33731472.0,ns,69090
permutation__order_cmp,iterated_mult,8,,,14487090.0,ns,72380
permutation__order_cmp,iterated_mult,8,,,102192588.0,ns,75670
permutation__order_cmp,iterated_mult,8,,,36705613.0,ns,78960
permutation__order_cmp,iterated_mult,8,,,54264053.0,ns,82250
permutation__order_cmp,iterated_mult,8,,,24624021.0,ns,85540
permutation__order_cmp,iterated_mult,8,,,58509902.0,ns,88830
permutation__order_cmp,iterated_mult,8,,,44877183.0,ns,92120
permutation__order_cmp,iterated_mult,8,,,46717835.0,ns,95410
permutation__order_cmp,iterated_mult,8,,,45838762.0,ns,98700
permutation__order_cmp,iterated_mult,8,,,48639792.0,ns,101990
permutation__order_cmp,iterated_mult,8,,,50648757.0,ns,105280
permutation__order_cmp,iterated_mult,8,,,71492468.0,ns,108570
permutation__order_cmp,iterated_mult,8,,,117509844.0,ns,111860
permutation__order_cmp,iterated_mult,8,,,53497190.0,ns,115150
permutation__order_cmp,iterated_mult,8,,,34086298.0,ns,118440
permutation__order_cmp,iterated_mult,8,,,69650917.0,ns,121730
permutation__order_cmp,iterated_mult,8,,,69749325.0,ns,125020
permutation__order_cmp,iterated_mult,8,,,14161562.0,ns,128310
permutation__order_cmp,iterated_mult,8,,,37162350.0,ns,131600
permutation__order_cmp,iterated_mult,8,,,38880588.0,ns,134890
