group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,parallel,64,,,1357587.0,ns,8
permutation__order_cmp,parallel,64,,,2096434.0,ns,16
permutation__order_cmp,parallel,64,,,3327213.0,ns,24
permutation__order_cmp,parallel,64,,,4234771.0,ns,32
permutation__order_cmp,parallel,64,,,5526954.0,ns,40
permutation__order_cmp,parallel,64,,,6421912.0,ns,48
permutation__order_cmp,parallel,64,,,7828602.0,ns,56
permutation__order_cmp,parallel,64,,,8763661.0,ns,64
permutation__order_cmp,parallel,64,,,10149950.0,ns,72
permutation__order_cmp,parallel,64,,,10873997.0,ns,80
permutation__order_cmp,parallel,64,,,12188781.0,ns,88
permutation__order_cmp,parallel,64,,,12803320.0,ns,96
permutation__order_cmp,parallel,64,,,14387222.0,ns,104
permutation__order_cmp,parallel,64,,,15183973.0,ns,112
permutation__order_cmp,parallel,64,,,16602063.0,ns,120
permutation__order_cmp,parallel,64,,,17308409.0,ns,128
permutation__order_cmp,parallel,64,,,18774103.0,ns,136
permutation__order_cmp,parallel,64,,,19221832.0,ns,144
permutation__order_cmp,parallel,64,,,20991845.0,ns,152
permutation__order_cmp,parallel,64,,,21319466.0,ns,160
permutation__order_cmp,parallel,64,,,23321494.0,ns,168
permutation__order_cmp,parallel,64,,,23420101.0,ns,176
permutation__order_cmp,parallel,64,,,25411728.0,ns,184
permutation__order_cmp,parallel,64,,,25547236.0,ns,192
permutation__order_cmp,parallel,64,,,27697674.0,ns,200
permutation__order_cmp,parallel,64,,,28050297.0,ns,208
permutation__order_cmp,parallel,64,,,30844477.0,ns,216
permutation__order_cmp,parallel,64,,,29983221.0,ns,224
permutation__order_cmp,parallel,64,,,31730933.0,ns,232
permutation__order_cmp,parallel,64,,,32467779.0,ns,240
permutation__order_cmp,parallel,64,,,34532611.0,ns,248
permutation__order_cmp,parallel,64,,,34184189.0,ns,256
permutation__order_cmp,parallel,64,,,36527739.0,ns,264
permutation__order_cmp,parallel,64,,,36704350.0,ns,272
permutation__order_cmp,parallel,64,,,34977639.0,ns,280
permutation__order_cmp,parallel,64,,,40379785.0,ns,288
permutation__order_cmp,parallel,64,,,39836050.0,ns,296
permutation__order_cmp,parallel,64,,,43027854.0,ns,304
permutation__order_cmp,parallel,64,,,43206766.0,ns,312
permutation__order_cmp,parallel,64,,,45419408.0,ns,320
permutation__order_cmp,parallel,64,,,44688061.0,ns,328
permutation__order_cmp,parallel,64,,,47107715.0,ns,336
permutation__order_cmp,parallel,64,,,47720155.0,ns,344
permutation__order_cmp,parallel,64,,,49252753.0,ns,352
permutation__order_cmp,parallel,64,,,47732455.0,ns,360
permutation__order_cmp,parallel,64,,,52010729.0,ns,368
permutation__order_cmp,parallel,64,,,50792952.0,ns,376
permutation__order_cmp,parallel,64,,,54057661.0,ns,384
permutation__order_cmp,parallel,64,,,53296412.0,ns,392
permutation__order_cmp,parallel,64,,,56460215.0,ns,400
permutation__order_cmp,parallel,64,,,56354308.0,ns,408
permutation__order_cmp,parallel,64,,,58704256.0,ns,416
permutation__order_cmp,parallel,64,,,57382371.0,ns,424
permutation__order_cmp,parallel,64,,,60681682.0,ns,432
permutation__order_cmp,parallel,64,,,59734621.0,ns,440
permutation__order_cmp,parallel,64,,,62759214.0,ns,448
permutation__order_cmp,parallel,64,,,60952099.0,ns,456
permutation__order_cmp,parallel,64,,,65960919.0,ns,464
permutation__order_cmp,parallel,64,,,63874486.0,ns,472
permutation__order_cmp,parallel,64,,,67192898.0,ns,480
permutation__order_cmp,parallel,64,,,66100428.0,ns,488
permutation__order_cmp,parallel,64,,,70300096.0,ns,496
permutation__order_cmp,parallel,64,,,67371809.0,ns,504
permutation__order_cmp,parallel,64,,,71252758.0,ns,512
permutation__order_cmp,parallel,64,,,69568850.0,ns,520
permutation__order_cmp,parallel,64,,,74849988.0,ns,528
permutation__order_cmp,parallel,64,,,71705385.0,ns,536
permutation__order_cmp,parallel,64,,,78402011.0,ns,544
permutation__order_cmp,parallel,64,,,76210871.0,ns,552
permutation__order_cmp,parallel,64,,,78818638.0,ns,560
permutation__order_cmp,parallel,64,,,78289304.0,ns,568
permutation__order_cmp,parallel,64,,,82269558.0,ns,576
permutation__order_cmp,parallel,64,,,80199825.0,ns,584
permutation__order_cmp,parallel,64,,,81804028.0,ns,592
permutation__order_cmp,parallel,64,,,80088418.0,ns,600
permutation__order_cmp,parallel,64,,,83939965.0,ns,608
permutation__order_cmp,parallel,64,,,82322861.0,ns,616
permutation__order_cmp,parallel,64,,,87383985.0,ns,624
permutation__order_cmp,parallel,64,,,84303587.0,ns,632
permutation__order_cmp,parallel,64,,,90109654.0,ns,640
permutation__order_cmp,parallel,64,,,88626660.0,ns,648
permutation__order_cmp,parallel,64,,,94744850.0,ns,656
permutation__order_cmp,parallel,64,,,91171822.0,ns,664
permutation__order_cmp,parallel,64,,,97813746.0,ns,672
permutation__order_cmp,parallel,64,,,94414329.0,ns,680
permutation__order_cmp,parallel,64,,,99381246.0,ns,688
permutation__order_cmp,parallel,64,,,94927262.0,ns,696
permutation__order_cmp,parallel,64,,,99173634.0,ns,704
permutation__order_cmp,parallel,64,,,97141703.0,ns,712
permutation__order_cmp,parallel,64,,,99718465.0,ns,720
permutation__order_cmp,parallel,64,,,99028719.0,ns,728
permutation__order_cmp,parallel,64,,,104983399.0,ns,736
permutation__order_cmp,parallel,64,,,100516714.0,ns,744
permutation__order_cmp,parallel,64,,,105407526.0,ns,752
permutation__order_cmp,parallel,64,,,103193485.0,ns,760
permutation__order_cmp,parallel,64,,,107409154.0,ns,768
permutation__order_cmp,parallel,64,,,104907194.0,ns,776
permutation__order_cmp,parallel,64,,,105051604.0,ns,784
permutation__order_cmp,parallel,64,,,106993127.0,ns,792
permutation__order_cmp,parallel,64,,,118159334.0,ns,800
