group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__order_cmp,parallel,8,,,908664.0,ns,68
permutation__order_cmp,parallel,8,,,2074247.0,ns,136
permutation__order_cmp,parallel,8,,,3029615.0,ns,204
permutation__order_cmp,parallel,8,,,4094190.0,ns,272
permutation__order_cmp,parallel,8,,,4987253.0,ns,340
permutation__order_cmp,parallel,8,,,5920819.0,ns,408
permutation__order_cmp,parallel,8,,,6888388.0,ns,476
permutation__order_cmp,parallel,8,,,8122775.0,ns,544
permutation__order_cmp,parallel,8,,,9167349.0,ns,612
permutation__order_cmp,parallel,8,,,9864199.0,ns,680
permutation__order_cmp,parallel,8,,,10257326.0,ns,748
permutation__order_cmp,parallel,8,,,12013151.0,ns,816
permutation__order_cmp,parallel,8,,,13248538.0,ns,884
permutation__order_cmp,parallel,8,,,13978889.0,ns,952
permutation__order_cmp,parallel,8,,,13915386.0,ns,1020
permutation__order_cmp,parallel,8,,,14895554.0,ns,1088
permutation__order_cmp,parallel,8,,,17254322.0,ns,1156
permutation__order_cmp,parallel,8,,,18460007.0,ns,1224
permutation__order_cmp,parallel,8,,,18607717.0,ns,1292
permutation__order_cmp,parallel,8,,,19514781.0,ns,1360
permutation__order_cmp,parallel,8,,,20050920.0,ns,1428
permutation__order_cmp,parallel,8,,,22587999.0,ns,1496
permutation__order_cmp,parallel,8,,,19325068.0,ns,1564
permutation__order_cmp,parallel,8,,,23603671.0,ns,1632
permutation__order_cmp,parallel,8,,,24504035.0,ns,1700
permutation__order_cmp,parallel,8,,,26080747.0,ns,1768
permutation__order_cmp,parallel,8,,,27170023.0,ns,1836
permutation__order_cmp,parallel,8,,,28418312.0,ns,1904
permutation__order_cmp,parallel,8,,,29054957.0,ns,1972
permutation__order_cmp,parallel,8,,,30248841.0,ns,2040
permutation__order_cmp,parallel,8,,,30318847.0,ns,2108
permutation__order_cmp,parallel,8,,,31401223.0,ns,2176
permutation__order_cmp,parallel,8,,,33672984.0,ns,2244
permutation__order_cmp,parallel,8,,,34661354.0,ns,2312
permutation__order_cmp,parallel,8,,,35122086.0,ns,2380
permutation__order_cmp,parallel,8,,,36256166.0,ns,2448
permutation__order_cmp,parallel,8,,,37352945.0,ns,2516
permutation__order_cmp,parallel,8,,,38689139.0,ns,2584
permutation__order_cmp,parallel,8,,,39974830.0,ns,2652
permutation__order_cmp,parallel,8,,,40432363.0,ns,2720
permutation__order_cmp,parallel,8,,,41195416.0,ns,2788
permutation__order_cmp,parallel,8,,,42656320.0,ns,2856
permutation__order_cmp,parallel,8,,,40115340.0,ns,2924
permutation__order_cmp,parallel,8,,,44637760.0,ns,2992
permutation__order_cmp,parallel,8,,,45106493.0,ns,3060
permutation__order_cmp,parallel,8,,,45477020.0,ns,3128
permutation__order_cmp,parallel,8,,,46555096.0,ns,3196
permutation__order_cmp,parallel,8,,,46730308.0,ns,3264
permutation__order_cmp,parallel,8,,,47956195.0,ns,3332
permutation__order_cmp,parallel,8,,,50502575.0,ns,3400
permutation__order_cmp,parallel,8,,,51733563.0,ns,3468
permutation__order_cmp,parallel,8,,,49986739.0,ns,3536
permutation__order_cmp,parallel,8,,,53112960.0,ns,3604
permutation__order_cmp,parallel,8,,,53783108.0,ns,3672
permutation__order_cmp,parallel,8,,,55932860.0,ns,3740
permutation__order_cmp,parallel,8,,,56841724.0,ns,3808
permutation__order_cmp,parallel,8,,,57966704.0,ns,3876
permutation__order_cmp,parallel,8,,,58203721.0,ns,3944
permutation__order_cmp,parallel,8,,,60090854.0,ns,4012
permutation__order_cmp,parallel,8,,,58140916.0,ns,4080
permutation__order_cmp,parallel,8,,,61493253.0,ns,4148
permutation__order_cmp,parallel,8,,,63357086.0,ns,4216
permutation__order_cmp,parallel,8,,,64865092.0,ns,4284
permutation__order_cmp,parallel,8,,,63964729.0,ns,4352
permutation__order_cmp,parallel,8,,,65292822.0,ns,4420
permutation__order_cmp,parallel,8,,,66367998.0,ns,4488
permutation__order_cmp,parallel,8,,,68204729.0,ns,4556
permutation__order_cmp,parallel,8,,,67444375.0,ns,4624
permutation__order_cmp,parallel,8,,,58109314.0,ns,4692
permutation__order_cmp,parallel,8,,,63550199.0,ns,4760
permutation__order_cmp,parallel,8,,,71188039.0,ns,4828
permutation__order_cmp,parallel,8,,,71255144.0,ns,4896
permutation__order_cmp,parallel,8,,,72855058.0,ns,4964
permutation__order_cmp,parallel,8,,,74818697.0,ns,5032
permutation__order_cmp,parallel,8,,,76058185.0,ns,5100
permutation__order_cmp,parallel,8,,,78040325.0,ns,5168
permutation__order_cmp,parallel,8,,,78690471.0,ns,5236
permutation__order_cmp,parallel,8,,,76635226.0,ns,5304
permutation__order_cmp,parallel,8,,,80406393.0,ns,5372
permutation__order_cmp,parallel,8,,,77533489.0,ns,5440
permutation__order_cmp,parallel,8,,,81813492.0,ns,5508
permutation__order_cmp,parallel,8,,,75902574.0,ns,5576
permutation__order_cmp,parallel,8,,,83853037.0,ns,5644
permutation__order_cmp,parallel,8,,,76684029.0,ns,5712
permutation__order_cmp,parallel,8,,,85601960.0,ns,5780
permutation__order_cmp,parallel,8,,,85490453.0,ns,5848
permutation__order_cmp,parallel,8,,,88078636.0,ns,5916
permutation__order_cmp,parallel,8,,,88294251.0,ns,5984
permutation__order_cmp,parallel,8,,,90079777.0,ns,6052
permutation__order_cmp,parallel,8,,,90412000.0,ns,6120
permutation__order_cmp,parallel,8,,,92189127.0,ns,6188
permutation__order_cmp,parallel,8,,,92448545.0,ns,6256
permutation__order_cmp,parallel,8,,,93546223.0,ns,6324
permutation__order_cmp,parallel,8,,,93816742.0,ns,6392
permutation__order_cmp,parallel,8,,,96497432.0,ns,6460
permutation__order_cmp,parallel,8,,,99130118.0,ns,6528
permutation__order_cmp,parallel,8,,,98468971.0,ns,6596
permutation__order_cmp,parallel,8,,,100623924.0,ns,6664
permutation__order_cmp,parallel,8,,,101042153.0,ns,6732
permutation__order_cmp,parallel,8,,,105858094.0,ns,6800
