group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__random_creation,default,128,,,990549.0,ns,156
permutation__random_creation,default,128,,,1997097.0,ns,312
permutation__random_creation,default,128,,,3057549.0,ns,468
permutation__random_creation,default,128,,,4027395.0,ns,624
permutation__random_creation,default,128,,,5024045.0,ns,780
permutation__random_creation,default,128,,,5982591.0,ns,936
permutation__random_creation,default,128,,,7019239.0,ns,1092
permutation__random_creation,default,128,,,8080091.0,ns,1248
permutation__random_creation,default,128,,,9047038.0,ns,1404
permutation__random_creation,default,128,,,10069087.0,ns,1560
permutation__random_creation,default,128,,,11059935.0,ns,1716
permutation__random_creation,default,128,,,12046783.0,ns,1872
permutation__random_creation,default,128,,,13028930.0,ns,2028
permutation__random_creation,default,128,,,13932074.0,ns,2184
permutation__random_creation,default,128,,,15028527.0,ns,2340
permutation__random_creation,default,128,,,16012575.0,ns,2496
permutation__random_creation,default,128,,,17071926.0,ns,2652
permutation__random_creation,default,128,,,17964069.0,ns,2808
permutation__random_creation,default,128,,,19001419.0,ns,2964
permutation__random_creation,default,128,,,20056771.0,ns,3120
permutation__random_creation,default,128,,,21129722.0,ns,3276
permutation__random_creation,default,128,,,22077268.0,ns,3432
permutation__random_creation,default,128,,,22885707.0,ns,3588
permutation__random_creation,default,128,,,23993661.0,ns,3744
permutation__random_creation,default,128,,,25096714.0,ns,3900
permutation__random_creation,default,128,,,26138165.0,ns,4056
permutation__random_creation,default,128,,,27005506.0,ns,4212
permutation__random_creation,default,128,,,28094959.0,ns,4368
permutation__random_creation,default,128,,,28988403.0,ns,4524
permutation__random_creation,default,128,,,30045253.0,ns,4680
permutation__random_creation,default,128,,,31021601.0,ns,4836
permutation__random_creation,default,128,,,31941045.0,ns,4992
permutation__random_creation,default,128,,,33086201.0,ns,5148
permutation__random_creation,default,128,,,34077249.0,ns,5304
permutation__random_creation,default,128,,,34970291.0,ns,5460
permutation__random_creation,default,128,,,36174851.0,ns,5616
permutation__random_creation,default,128,,,37082794.0,ns,5772
permutation__random_creation,default,128,,,38100143.0,ns,5928
permutation__random_creation,default,128,,,39018087.0,ns,6084
permutation__random_creation,default,128,,,40059438.0,ns,6240
permutation__random_creation,default,128,,,41033286.0,ns,6396
permutation__random_creation,default,128,,,42063935.0,ns,6552
permutation__random_creation,default,128,,,43202190.0,ns,6708
permutation__random_creation,default,128,,,44140135.0,ns,6864
permutation__random_creation,default,128,,,44975672.0,ns,7020
permutation__random_creation,default,128,,,46091618.0,ns,7176
permutation__random_creation,default,128,,,46993462.0,ns,7332
permutation__random_creation,default,128,,,47986809.0,ns,7488
permutation__random_creation,default,128,,,48939656.0,ns,7644
permutation__random_creation,default,128,,,49967205.0,ns,7800
permutation__random_creation,default,128,,,51052757.0,ns,7956
permutation__random_creation,default,128,,,52148909.0,ns,8112
permutation__random_creation,default,128,,,53064854.0,ns,8268
permutation__random_creation,default,128,,,53986298.0,ns,8424
permutation__random_creation,default,128,,,55106352.0,ns,8580
permutation__random_creation,default,128,,,55862088.0,ns,8736
permutation__random_creation,default,128,,,57069147.0,ns,8892
permutation__random_creation,default,128,,,58294705.0,ns,9048
permutation__random_creation,default,128,,,59256252.0,ns,9204
permutation__random_creation,default,128,,,60279601.0,ns,9360
permutation__random_creation,default,128,,,61216146.0,ns,9516
permutation__random_creation,default,128,,,62077188.0,ns,9672
permutation__random_creation,default,128,,,62906228.0,ns,9828
permutation__random_creation,default,128,,,64180373.0,ns,9984
permutation__random_creation,default,128,,,65353529.0,ns,10140
permutation__random_creation,default,128,,,66085464.0,ns,10296
permutation__random_creation,default,128,,,67221219.0,ns,10452
permutation__random_creation,default,128,,,68197465.0,ns,10608
permutation__random_creation,default,128,,,69366321.0,ns,10764
permutation__random_creation,default,128,,,70081756.0,ns,10920
permutation__random_creation,default,128,,,71134206.0,ns,11076
permutation__random_creation,default,128,,,72083151.0,ns,11232
permutation__random_creation,default,128,,,73098400.0,ns,11388
permutation__random_creation,default,128,,,74251655.0,ns,11544
permutation__random_creation,default,128,,,75286105.0,ns,11700
permutation__random_creation,default,128,,,76165847.0,ns,11856
permutation__random_creation,default,128,,,76920683.0,ns,12012
permutation__random_creation,default,128,,,77921915.0,ns,12168
permutation__random_creation,default,128,,,79078867.0,ns,12324
permutation__random_creation,default,128,,,80288824.0,ns,12480
permutation__random_creation,default,128,,,80994859.0,ns,12636
permutation__random_creation,default,128,,,82157213.0,ns,12792
permutation__random_creation,default,128,,,82907450.0,ns,12948
permutation__random_creation,default,128,,,84000501.0,ns,13104
permutation__random_creation,default,128,,,84971648.0,ns,13260
permutation__random_creation,default,128,,,86096201.0,ns,13416
permutation__random_creation,default,128,,,87150552.0,ns,13572
permutation__random_creation,default,128,,,88093396.0,ns,13728
permutation__random_creation,default,128,,,89230851.0,ns,13884
permutation__random_creation,default,128,,,90328383.0,ns,14040
permutation__random_creation,default,128,,,91146921.0,ns,14196
permutation__random_creation,default,128,,,92274773.0,ns,14352
permutation__random_creation,default,128,,,93045110.0,ns,14508
permutation__random_creation,default,128,,,93990155.0,ns,14664
permutation__random_creation,default,128,,,95307017.0,ns,14820
permutation__random_creation,default,128,,,96374068.0,ns,14976
permutation__random_creation,default,128,,,97441718.0,ns,15132
permutation__random_creation,default,128,,,97871539.0,ns,15288
permutation__random_creation,default,128,,,99081496.0,ns,15444
permutation__random_creation,default,128,,,100226342.0,ns,15600
