group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__random_creation,default,256,,,1004945.0,ns,77
permutation__random_creation,default,256,,,1987991.0,ns,154
permutation__random_creation,default,256,,,2989035.0,ns,231
permutation__random_creation,default,256,,,3986681.0,ns,308
permutation__random_creation,default,256,,,4978826.0,ns,385
permutation__random_creation,default,256,,,5978672.0,ns,462
permutation__random_creation,default,256,,,6972616.0,ns,539
permutation__random_creation,default,256,,,7973462.0,ns,616
permutation__random_creation,default,256,,,8968908.0,ns,693
permutation__random_creation,default,256,,,9964452.0,ns,770
permutation__random_creation,default,256,,,10959598.0,ns,847
permutation__random_creation,default,256,,,11951542.0,ns,924
permutation__random_creation,default,256,,,12934287.0,ns,1001
permutation__random_creation,default,256,,,13944334.0,ns,1078
permutation__random_creation,default,256,,,14943578.0,ns,1155
permutation__random_creation,default,256,,,15964525.0,ns,1232
permutation__random_creation,default,256,,,16953969.0,ns,1309
permutation__random_creation,default,256,,,17935214.0,ns,1386
permutation__random_creation,default,256,,,18945360.0,ns,1463
permutation__random_creation,default,256,,,19950806.0,ns,1540
permutation__random_creation,default,256,,,20934250.0,ns,1617
permutation__random_creation,default,256,,,21894594.0,ns,1694
permutation__random_creation,default,256,,,22938742.0,ns,1771
permutation__random_creation,default,256,,,23936186.0,ns,1848
permutation__random_creation,default,256,,,24952633.0,ns,1925
permutation__random_creation,default,256,,,25988180.0,ns,2002
permutation__random_creation,default,256,,,26915222.0,ns,2079
permutation__random_creation,default,256,,,27914567.0,ns,2156
permutation__random_creation,default,256,,,28938914.0,ns,2233
permutation__random_creation,default,256,,,29905258.0,ns,2310
permutation__random_creation,default,256,,,31027909.0,ns,2387
permutation__random_creation,default,256,,,31961151.0,ns,2464
permutation__random_creation,default,256,,,32924695.0,ns,2541
permutation__random_creation,default,256,,,33926140.0,ns,2618
permutation__random_creation,default,256,,,34902680.0,ns,2695
permutation__random_creation,default,256,,,35956725.0,ns,2772
permutation__random_creation,default,256,,,36966371.0,ns,2849
permutation__random_creation,default,256,,,37888712.0,ns,2926
permutation__random_creation,default,256,,,38908959.0,ns,3003
permutation__random_creation,default,256,,,39846700.0,ns,3080
permutation__random_creation,default,256,,,40902249.0,ns,3157
permutation__random_creation,default,256,,,41904694.0,ns,3234
permutation__random_creation,default,256,,,42872738.0,ns,3311
permutation__random_creation,default,256,,,43854382.0,ns,3388
permutation__random_creation,default,256,,,44874028.0,ns,3465
permutation__random_creation,default,256,,,45832471.0,ns,3542
permutation__random_creation,default,256,,,46874319.0,ns,3619
permutation__random_creation,default,256,,,47810761.0,ns,3696
permutation__random_creation,default,256,,,48826507.0,ns,3773
permutation__random_creation,default,256,,,49795750.0,ns,3850
permutation__random_creation,default,256,,,50841698.0,ns,3927
permutation__random_creation,default,256,,,51803541.0,ns,4004
permutation__random_creation,default,256,,,52865690.0,ns,4081
permutation__random_creation,default,256,,,53837933.0,ns,4158
permutation__random_creation,default,256,,,54762975.0,ns,4235
permutation__random_creation,default,256,,,55741519.0,ns,4312
permutation__random_creation,default,256,,,56890263.0,ns,4389
permutation__random_creation,default,256,,,57799600.0,ns,4466
permutation__random_creation,default,256,,,58877249.0,ns,4543
permutation__random_creation,default,256,,,59828492.0,ns,4620
permutation__random_creation,default,256,,,60802636.0,ns,4697
permutation__random_creation,default,256,,,61873384.0,ns,4774
permutation__random_creation,default,256,,,62797326.0,ns,4851
permutation__random_creation,default,256,,,63792370.0,ns,4928
permutation__random_creation,default,256,,,64811016.0,ns,5005
permutation__random_creation,default,256,,,65949168.0,ns,5082
permutation__random_creation,default,256,,,66913410.0,ns,5159
permutation__random_creation,default,256,,,67803451.0,ns,5236
permutation__random_creation,default,256,,,68853898.0,ns,5313
permutation__random_creation,default,256,,,69851643.0,ns,5390
permutation__random_creation,default,256,,,70782585.0,ns,5467
permutation__random_creation,default,256,,,71802527.0,ns,5544
permutation__random_creation,default,256,,,72811162.0,ns,5621
permutation__random_creation,default,256,,,73821407.0,ns,5698
permutation__random_creation,default,256,,,74812751.0,ns,5775
permutation__random_creation,default,256,,,75822697.0,ns,5852
permutation__random_creation,default,256,,,76756638.0,ns,5929
permutation__random_creation,default,256,,,77833887.0,ns,6006
permutation__random_creation,default,256,,,78785029.0,ns,6083
permutation__random_creation,default,256,,,79772374.0,ns,6160
permutation__random_creation,default,256,,,80802119.0,ns,6237
permutation__random_creation,default,256,,,81846067.0,ns,6314
permutation__random_creation,default,256,,,82802409.0,ns,6391
permutation__random_creation,default,256,,,83863957.0,ns,6468
permutation__random_creation,default,256,,,84816591.0,ns,6545
permutation__random_creation,default,256,,,85813728.0,ns,6622
permutation__random_creation,default,256,,,86779470.0,ns,6699
permutation__random_creation,default,256,,,87799716.0,ns,6776
permutation__random_creation,default,256,,,88745758.0,ns,6853
permutation__random_creation,default,256,,,89758203.0,ns,6930
permutation__random_creation,default,256,,,90811751.0,ns,7007
permutation__random_creation,default,256,,,91749092.0,ns,7084
permutation__random_creation,default,256,,,92739436.0,ns,7161
permutation__random_creation,default,256,,,93675478.0,ns,7238
permutation__random_creation,default,256,,,94782027.0,ns,7315
permutation__random_creation,default,256,,,95635658.0,ns,7392
permutation__random_creation,default,256,,,96672493.0,ns,7469
permutation__random_creation,default,256,,,97694839.0,ns,7546
permutation__random_creation,default,256,,,98627480.0,ns,7623
permutation__random_creation,default,256,,,99708528.0,ns,7700
