group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__small_exp,multijoin,11,,,1008069.0,ns,31
permutation__small_exp,multijoin,11,,,1756921.0,ns,62
permutation__small_exp,multijoin,11,,,3097513.0,ns,93
permutation__small_exp,multijoin,11,,,3844865.0,ns,124
permutation__small_exp,multijoin,11,,,5074149.0,ns,155
permutation__small_exp,multijoin,11,,,6206527.0,ns,186
permutation__small_exp,multijoin,11,,,7303903.0,ns,217
permutation__small_exp,multijoin,11,,,8309972.0,ns,248
permutation__small_exp,multijoin,11,,,9221335.0,ns,279
permutation__small_exp,multijoin,11,,,10193702.0,ns,310
permutation__small_exp,multijoin,11,,,11059961.0,ns,341
permutation__small_exp,multijoin,11,,,12225459.0,ns,372
permutation__small_exp,multijoin,11,,,13483648.0,ns,403
permutation__small_exp,multijoin,11,,,14370610.0,ns,434
permutation__small_exp,multijoin,11,,,15191167.0,ns,465
permutation__small_exp,multijoin,11,,,16443456.0,ns,496
permutation__small_exp,multijoin,11,,,17609937.0,ns,527
permutation__small_exp,multijoin,11,,,18300086.0,ns,558
permutation__small_exp,multijoin,11,,,19515871.0,ns,589
permutation__small_exp,multijoin,11,,,20373832.0,ns,620
permutation__small_exp,multijoin,11,,,21469609.0,ns,651
permutation__small_exp,multijoin,11,,,22781701.0,ns,682
permutation__small_exp,multijoin,11,,,23802772.0,ns,713
permutation__small_exp,multijoin,11,,,24658233.0,ns,744
permutation__small_exp,multijoin,11,,,25787713.0,ns,775
permutation__small_exp,multijoin,11,,,26870989.0,ns,806
permutation__small_exp,multijoin,11,,,27863058.0,ns,837
permutation__small_exp,multijoin,11,,,28671015.0,ns,868
permutation__small_exp,multijoin,11,,,29904601.0,ns,899
permutation__small_exp,multijoin,11,,,30575549.0,ns,930
permutation__small_exp,multijoin,11,,,31001679.0,ns,961
permutation__small_exp,multijoin,11,,,32688797.0,ns,992
permutation__small_exp,multijoin,11,,,32467482.0,ns,1023
permutation__small_exp,multijoin,11,,,35349384.0,ns,1054
permutation__small_exp,multijoin,11,,,36299051.0,ns,1085
permutation__small_exp,multijoin,11,,,36997800.0,ns,1116
permutation__small_exp,multijoin,11,,,37431730.0,ns,1147
permutation__small_exp,multijoin,11,,,38838829.0,ns,1178
permutation__small_exp,multijoin,11,,,39107948.0,ns,1209
permutation__small_exp,multijoin,11,,,40408639.0,ns,1240
permutation__small_exp,multijoin,11,,,42222967.0,ns,1271
permutation__small_exp,multijoin,11,,,42732403.0,ns,1302
permutation__small_exp,multijoin,11,,,44215507.0,ns,1333
permutation__small_exp,multijoin,11,,,45146272.0,ns,1364
permutation__small_exp,multijoin,11,,,46257351.0,ns,1395
permutation__small_exp,multijoin,11,,,45984332.0,ns,1426
permutation__small_exp,multijoin,11,,,48536111.0,ns,1457
permutation__small_exp,multijoin,11,,,48916738.0,ns,1488
permutation__small_exp,multijoin,11,,,49811400.0,ns,1519
permutation__small_exp,multijoin,11,,,51688632.0,ns,1550
permutation__small_exp,multijoin,11,,,52652500.0,ns,1581
permutation__small_exp,multijoin,11,,,53833083.0,ns,1612
permutation__small_exp,multijoin,11,,,54722446.0,ns,1643
