group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__small_exp,multijoin,5,,,1006871.0,ns,77
permutation__small_exp,multijoin,5,,,2016142.0,ns,154
permutation__small_exp,multijoin,5,,,3030013.0,ns,231
permutation__small_exp,multijoin,5,,,3818969.0,ns,308
permutation__small_exp,multijoin,5,,,4691530.0,ns,385
permutation__small_exp,multijoin,5,,,5931017.0,ns,462
permutation__small_exp,multijoin,5,,,6960690.0,ns,539
permutation__small_exp,multijoin,5,,,7930158.0,ns,616
permutation__small_exp,multijoin,5,,,9084640.0,ns,693
permutation__small_exp,multijoin,5,,,9812090.0,ns,770
permutation__small_exp,multijoin,5,,,10987573.0,ns,847
permutation__small_exp,multijoin,5,,,11556714.0,ns,924
permutation__small_exp,multijoin,5,,,13114024.0,ns,1001
permutation__small_exp,multijoin,5,,,13727666.0,ns,1078
permutation__small_exp,multijoin,5,,,14950352.0,ns,1155
permutation__small_exp,multijoin,5,,,15652502.0,ns,1232
permutation__small_exp,multijoin,5,,,17023298.0,ns,1309
permutation__small_exp,multijoin,5,,,18123476.0,ns,1386
permutation__small_exp,multijoin,5,,,19131547.0,ns,1463
permutation__small_exp,multijoin,5,,,20037410.0,ns,1540
permutation__small_exp,multijoin,5,,,21186791.0,ns,1617
permutation__small_exp,multijoin,5,,,21719929.0,ns,1694
permutation__small_exp,multijoin,5,,,23148129.0,ns,1771
permutation__small_exp,multijoin,5,,,23987988.0,ns,1848
permutation__small_exp,multijoin,5,,,25023461.0,ns,1925
permutation__small_exp,multijoin,5,,,25727411.0,ns,2002
permutation__small_exp,multijoin,5,,,27126409.0,ns,2079
permutation__small_exp,multijoin,5,,,28114179.0,ns,2156
permutation__small_exp,multijoin,5,,,29121050.0,ns,2233
permutation__small_exp,multijoin,5,,,30111020.0,ns,2310
permutation__small_exp,multijoin,5,,,31259500.0,ns,2387
permutation__small_exp,multijoin,5,,,32209567.0,ns,2464
permutation__small_exp,multijoin,5,,,33308745.0,ns,2541
permutation__small_exp,multijoin,5,,,33873884.0,ns,2618
permutation__small_exp,multijoin,5,,,35061968.0,ns,2695
permutation__small_exp,multijoin,5,,,36310756.0,ns,2772
permutation__small_exp,multijoin,5,,,36825193.0,ns,2849
permutation__small_exp,multijoin,5,,,38135885.0,ns,2926
permutation__small_exp,multijoin,5,,,39185658.0,ns,3003
permutation__small_exp,multijoin,5,,,40163027.0,ns,3080
permutation__small_exp,multijoin,5,,,41064690.0,ns,3157
permutation__small_exp,multijoin,5,,,42046660.0,ns,3234
permutation__small_exp,multijoin,5,,,43201741.0,ns,3311
permutation__small_exp,multijoin,5,,,44497632.0,ns,3388
permutation__small_exp,multijoin,5,,,45450399.0,ns,3465
permutation__small_exp,multijoin,5,,,46400866.0,ns,3542
permutation__small_exp,multijoin,5,,,47058712.0,ns,3619
permutation__small_exp,multijoin,5,,,47870570.0,ns,3696
permutation__small_exp,multijoin,5,,,49251467.0,ns,3773
permutation__small_exp,multijoin,5,,,49881111.0,ns,3850
permutation__small_exp,multijoin,5,,,51047293.0,ns,3927
permutation__small_exp,multijoin,5,,,52357885.0,ns,4004
permutation__small_exp,multijoin,5,,,52767714.0,ns,4081
permutation__small_exp,multijoin,5,,,54242718.0,ns,4158
permutation__small_exp,multijoin,5,,,54551040.0,ns,4235
permutation__small_exp,multijoin,5,,,56056846.0,ns,4312
permutation__small_exp,multijoin,5,,,57198326.0,ns,4389
permutation__small_exp,multijoin,5,,,57855073.0,ns,4466
permutation__small_exp,multijoin,5,,,59401582.0,ns,4543
permutation__small_exp,multijoin,5,,,60157335.0,ns,4620
permutation__small_exp,multijoin,5,,,59614396.0,ns,4697
permutation__small_exp,multijoin,5,,,61390221.0,ns,4774
permutation__small_exp,multijoin,5,,,61886656.0,ns,4851
permutation__small_exp,multijoin,5,,,64268024.0,ns,4928
permutation__small_exp,multijoin,5,,,65342800.0,ns,5005
permutation__small_exp,multijoin,5,,,65346299.0,ns,5082
permutation__small_exp,multijoin,5,,,66512982.0,ns,5159
permutation__small_exp,multijoin,5,,,67660263.0,ns,5236
permutation__small_exp,multijoin,5,,,67722567.0,ns,5313
permutation__small_exp,multijoin,5,,,69260176.0,ns,5390
permutation__small_exp,multijoin,5,,,69590099.0,ns,5467
permutation__small_exp,multijoin,5,,,71796054.0,ns,5544
permutation__small_exp,multijoin,5,,,72856729.0,ns,5621
permutation__small_exp,multijoin,5,,,74116117.0,ns,5698
permutation__small_exp,multijoin,5,,,75666126.0,ns,5775
permutation__small_exp,multijoin,5,,,76724701.0,ns,5852
permutation__small_exp,multijoin,5,,,77458452.0,ns,5929
permutation__small_exp,multijoin,5,,,77124129.0,ns,6006
permutation__small_exp,multijoin,5,,,78620734.0,ns,6083
permutation__small_exp,multijoin,5,,,80546170.0,ns,6160
permutation__small_exp,multijoin,5,,,80154942.0,ns,6237
permutation__small_exp,multijoin,5,,,82592414.0,ns,6314
permutation__small_exp,multijoin,5,,,83471576.0,ns,6391
permutation__small_exp,multijoin,5,,,84632058.0,ns,6468
permutation__small_exp,multijoin,5,,,85529120.0,ns,6545
permutation__small_exp,multijoin,5,,,86046857.0,ns,6622
permutation__small_exp,multijoin,5,,,85169896.0,ns,6699
permutation__small_exp,multijoin,5,,,87452555.0,ns,6776
permutation__small_exp,multijoin,5,,,88930960.0,ns,6853
permutation__small_exp,multijoin,5,,,90228651.0,ns,6930
permutation__small_exp,multijoin,5,,,90132445.0,ns,7007
permutation__small_exp,multijoin,5,,,91400933.0,ns,7084
permutation__small_exp,multijoin,5,,,93054150.0,ns,7161
permutation__small_exp,multijoin,5,,,93615078.0,ns,7238
permutation__small_exp,multijoin,5,,,93126441.0,ns,7315
permutation__small_exp,multijoin,5,,,95115180.0,ns,7392
permutation__small_exp,multijoin,5,,,97377040.0,ns,7469
permutation__small_exp,multijoin,5,,,97472947.0,ns,7546
permutation__small_exp,multijoin,5,,,99139664.0,ns,7623
permutation__small_exp,multijoin,5,,,100142434.0,ns,7700
