group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__small_exp,pow,11,,,1008770.0,ns,60
permutation__small_exp,pow,11,,,1955037.0,ns,120
permutation__small_exp,pow,11,,,2670788.0,ns,180
permutation__small_exp,pow,11,,,3982180.0,ns,240
permutation__small_exp,pow,11,,,4585221.0,ns,300
permutation__small_exp,pow,11,,,5952918.0,ns,360
permutation__small_exp,pow,11,,,6948188.0,ns,420
permutation__small_exp,pow,11,,,7590733.0,ns,480
permutation__small_exp,pow,11,,,9027233.0,ns,540
permutation__small_exp,pow,11,,,9927296.0,ns,600
permutation__small_exp,pow,11,,,10856061.0,ns,660
permutation__small_exp,pow,11,,,11892734.0,ns,720
permutation__small_exp,pow,11,,,12348366.0,ns,780
permutation__small_exp,pow,11,,,13381238.0,ns,840
permutation__small_exp,pow,11,,,14948149.0,ns,900
permutation__small_exp,pow,11,,,15826511.0,ns,960
permutation__small_exp,pow,11,,,16624166.0,ns,1020
permutation__small_exp,pow,11,,,17637737.0,ns,1080
permutation__small_exp,pow,11,,,18951429.0,ns,1140
permutation__small_exp,pow,11,,,19752686.0,ns,1200
permutation__small_exp,pow,11,,,19178246.0,ns,1260
permutation__small_exp,pow,11,,,22082949.0,ns,1320
permutation__small_exp,pow,11,,,22863104.0,ns,1380
permutation__small_exp,pow,11,,,23904377.0,ns,1440
permutation__small_exp,pow,11,,,25159965.0,ns,1500
permutation__small_exp,pow,11,,,26063529.0,ns,1560
permutation__small_exp,pow,11,,,26878886.0,ns,1620
permutation__small_exp,pow,11,,,27971262.0,ns,1680
permutation__small_exp,pow,11,,,28719815.0,ns,1740
permutation__small_exp,pow,11,,,29867595.0,ns,1800
permutation__small_exp,pow,11,,,30968272.0,ns,1860
permutation__small_exp,pow,11,,,32044148.0,ns,1920
permutation__small_exp,pow,11,,,32307166.0,ns,1980
permutation__small_exp,pow,11,,,33819773.0,ns,2040
permutation__small_exp,pow,11,,,35219571.0,ns,2100
permutation__small_exp,pow,11,,,35872017.0,ns,2160
permutation__small_exp,pow,11,,,37073901.0,ns,2220
permutation__small_exp,pow,11,,,37726547.0,ns,2280
permutation__small_exp,pow,11,,,38972734.0,ns,2340
permutation__small_exp,pow,11,,,39633380.0,ns,2400
permutation__small_exp,pow,11,,,40937372.0,ns,2460
permutation__small_exp,pow,11,,,40916471.0,ns,2520
permutation__small_exp,pow,11,,,41394004.0,ns,2580
permutation__small_exp,pow,11,,,43962984.0,ns,2640
permutation__small_exp,pow,11,,,44780442.0,ns,2700
permutation__small_exp,pow,11,,,45474491.0,ns,2760
permutation__small_exp,pow,11,,,46713778.0,ns,2820
permutation__small_exp,pow,11,,,47871058.0,ns,2880
