group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__small_exp,pow,5,,,985444.0,ns,143
permutation__small_exp,pow,5,,,1974988.0,ns,286
permutation__small_exp,pow,5,,,2968232.0,ns,429
permutation__small_exp,pow,5,,,3975077.0,ns,572
permutation__small_exp,pow,5,,,4959222.0,ns,715
permutation__small_exp,pow,5,,,5935765.0,ns,858
permutation__small_exp,pow,5,,,6905908.0,ns,1001
permutation__small_exp,pow,5,,,7917653.0,ns,1144
permutation__small_exp,pow,5,,,8873197.0,ns,1287
permutation__small_exp,pow,5,,,9891242.0,ns,1430
permutation__small_exp,pow,5,,,10880586.0,ns,1573
permutation__small_exp,pow,5,,,11868730.0,ns,1716
permutation__small_exp,pow,5,,,12851573.0,ns,1859
permutation__small_exp,pow,5,,,13812817.0,ns,2002
permutation__small_exp,pow,5,,,14771060.0,ns,2145
permutation__small_exp,pow,5,,,15753703.0,ns,2288
permutation__small_exp,pow,5,,,16749448.0,ns,2431
permutation__small_exp,pow,5,,,17796494.0,ns,2574
permutation__small_exp,pow,5,,,18756637.0,ns,2717
permutation__small_exp,pow,5,,,19716380.0,ns,2860
permutation__small_exp,pow,5,,,20767528.0,ns,3003
permutation__small_exp,pow,5,,,21709969.0,ns,3146
permutation__small_exp,pow,5,,,22748716.0,ns,3289
permutation__small_exp,pow,5,,,23702358.0,ns,3432
permutation__small_exp,pow,5,,,24710403.0,ns,3575
permutation__small_exp,pow,5,,,25695148.0,ns,3718
permutation__small_exp,pow,5,,,26605288.0,ns,3861
permutation__small_exp,pow,5,,,27665435.0,ns,4004
permutation__small_exp,pow,5,,,28625678.0,ns,4147
permutation__small_exp,pow,5,,,29546019.0,ns,4290
permutation__small_exp,pow,5,,,30705671.0,ns,4433
permutation__small_exp,pow,5,,,31605611.0,ns,4576
permutation__small_exp,pow,5,,,32664658.0,ns,4719
permutation__small_exp,pow,5,,,33606600.0,ns,4862
permutation__small_exp,pow,5,,,34460739.0,ns,5005
permutation__small_exp,pow,5,,,35480184.0,ns,5148
permutation__small_exp,pow,5,,,36458027.0,ns,5291
permutation__small_exp,pow,5,,,37417870.0,ns,5434
permutation__small_exp,pow,5,,,38474818.0,ns,5577
permutation__small_exp,pow,5,,,39411159.0,ns,5720
permutation__small_exp,pow,5,,,40414303.0,ns,5863
permutation__small_exp,pow,5,,,41428949.0,ns,6006
permutation__small_exp,pow,5,,,42468196.0,ns,6149
permutation__small_exp,pow,5,,,43462040.0,ns,6292
permutation__small_exp,pow,5,,,44419083.0,ns,6435
permutation__small_exp,pow,5,,,45442028.0,ns,6578
permutation__small_exp,pow,5,,,46476174.0,ns,6721
permutation__small_exp,pow,5,,,47370014.0,ns,6864
permutation__small_exp,pow,5,,,48364059.0,ns,7007
permutation__small_exp,pow,5,,,49386505.0,ns,7150
permutation__small_exp,pow,5,,,50391449.0,ns,7293
permutation__small_exp,pow,5,,,51383594.0,ns,7436
permutation__small_exp,pow,5,,,52382738.0,ns,7579
permutation__small_exp,pow,5,,,53308079.0,ns,7722
permutation__small_exp,pow,5,,,54149216.0,ns,7865
permutation__small_exp,pow,5,,,55256166.0,ns,8008
permutation__small_exp,pow,5,,,56296213.0,ns,8151
permutation__small_exp,pow,5,,,57264755.0,ns,8294
permutation__small_exp,pow,5,,,58136894.0,ns,8437
permutation__small_exp,pow,5,,,59256144.0,ns,8580
permutation__small_exp,pow,5,,,60255889.0,ns,8723
permutation__small_exp,pow,5,,,61136428.0,ns,8866
permutation__small_exp,pow,5,,,62065169.0,ns,9009
permutation__small_exp,pow,5,,,62981510.0,ns,9152
permutation__small_exp,pow,5,,,64254567.0,ns,9295
permutation__small_exp,pow,5,,,65218210.0,ns,9438
permutation__small_exp,pow,5,,,66162152.0,ns,9581
permutation__small_exp,pow,5,,,67166897.0,ns,9724
permutation__small_exp,pow,5,,,68157641.0,ns,9867
permutation__small_exp,pow,5,,,69288091.0,ns,10010
permutation__small_exp,pow,5,,,70163330.0,ns,10153
permutation__small_exp,pow,5,,,70992567.0,ns,10296
permutation__small_exp,pow,5,,,71967810.0,ns,10439
permutation__small_exp,pow,5,,,72757345.0,ns,10582
permutation__small_exp,pow,5,,,74043103.0,ns,10725
permutation__small_exp,pow,5,,,74883040.0,ns,10868
permutation__small_exp,pow,5,,,76036391.0,ns,11011
permutation__small_exp,pow,5,,,76962933.0,ns,11154
permutation__small_exp,pow,5,,,77796470.0,ns,11297
permutation__small_exp,pow,5,,,78836516.0,ns,11440
permutation__small_exp,pow,5,,,79964167.0,ns,11583
permutation__small_exp,pow,5,,,80999413.0,ns,11726
permutation__small_exp,pow,5,,,81861051.0,ns,11869
permutation__small_exp,pow,5,,,82876996.0,ns,12012
permutation__small_exp,pow,5,,,83916843.0,ns,12155
